execution_order,pair_id,run_id,arm,attempt_1_state,offline_finalize_state,route_precheck_status,prospective_action,owner_authorization_required,planned_denominator_effect
11,B1-TSB-06,B1-TSB-06-BASELINE,BASELINE,TECHNICAL_COMPLETE,OFFLINE_FINALIZED_FROM_ORIGINAL_B1_ARTIFACTS,INCOMPATIBLE,PRESERVE_ORIGINAL_ATTEMPT;NO_RERUN;USE_OFFLINE_FINALIZED_OFFICIAL_METRICS,NO,ORIGINAL_PAIR_COUNTS_ONCE;DENOMINATOR_REMAINS_20
12,B1-TSB-06,B1-TSB-06-TREATMENT,TREATMENT,TECHNICAL_COMPLETE,OFFLINE_FINALIZED_FROM_ORIGINAL_B1_ARTIFACTS,INCOMPATIBLE,PRESERVE_ORIGINAL_ATTEMPT;NO_RERUN;USE_OFFLINE_FINALIZED_OFFICIAL_METRICS,NO,ORIGINAL_PAIR_COUNTS_ONCE;DENOMINATOR_REMAINS_20
13,B1-TSB-07,B1-TSB-07-BASELINE,BASELINE,TECHNICAL_COMPLETE,OFFLINE_FINALIZED_FROM_ORIGINAL_B1_ARTIFACTS,COMPATIBLE,PRESERVE_ORIGINAL_ATTEMPT;NO_RERUN;USE_OFFLINE_FINALIZED_OFFICIAL_METRICS,NO,ORIGINAL_PAIR_COUNTS_ONCE;DENOMINATOR_REMAINS_20
14,B1-TSB-07,B1-TSB-07-TREATMENT,TREATMENT,TECHNICAL_COMPLETE,OFFLINE_FINALIZED_FROM_ORIGINAL_B1_ARTIFACTS,COMPATIBLE,PRESERVE_ORIGINAL_ATTEMPT;NO_RERUN;USE_OFFLINE_FINALIZED_OFFICIAL_METRICS,NO,ORIGINAL_PAIR_COUNTS_ONCE;DENOMINATOR_REMAINS_20
15,B1-TSB-08,B1-TSB-08-BASELINE,BASELINE,TECHNICAL_COMPLETE,OFFLINE_FINALIZED_FROM_ORIGINAL_B1_ARTIFACTS,COMPATIBLE,PRESERVE_ORIGINAL_ATTEMPT;NO_RERUN;USE_OFFLINE_FINALIZED_OFFICIAL_METRICS,NO,ORIGINAL_PAIR_COUNTS_ONCE;DENOMINATOR_REMAINS_20
16,B1-TSB-08,B1-TSB-08-TREATMENT,TREATMENT,TECHNICAL_COMPLETE,OFFLINE_FINALIZED_FROM_ORIGINAL_B1_ARTIFACTS,COMPATIBLE,PRESERVE_ORIGINAL_ATTEMPT;NO_RERUN;USE_OFFLINE_FINALIZED_OFFICIAL_METRICS,NO,ORIGINAL_PAIR_COUNTS_ONCE;DENOMINATOR_REMAINS_20
17,B1-TSB-09,B1-TSB-09-TREATMENT,TREATMENT,TECHNICAL_COMPLETE,OFFLINE_FINALIZED_FROM_ORIGINAL_B1_ARTIFACTS,COMPATIBLE,PRESERVE_ORIGINAL_ATTEMPT;NO_RERUN;USE_OFFLINE_FINALIZED_OFFICIAL_METRICS,NO,ORIGINAL_PAIR_COUNTS_ONCE;DENOMINATOR_REMAINS_20
18,B1-TSB-09,B1-TSB-09-BASELINE,BASELINE,TECHNICAL_COMPLETE,OFFLINE_FINALIZED_FROM_ORIGINAL_B1_ARTIFACTS,COMPATIBLE,PRESERVE_ORIGINAL_ATTEMPT;NO_RERUN;USE_OFFLINE_FINALIZED_OFFICIAL_METRICS,NO,ORIGINAL_PAIR_COUNTS_ONCE;DENOMINATOR_REMAINS_20
19,B1-TSB-10,B1-TSB-10-TREATMENT,TREATMENT,TECHNICAL_COMPLETE,OFFLINE_FINALIZED_FROM_ORIGINAL_B1_ARTIFACTS,INCOMPATIBLE,PRESERVE_ORIGINAL_ATTEMPT;NO_RERUN;USE_OFFLINE_FINALIZED_OFFICIAL_METRICS,NO,ORIGINAL_PAIR_COUNTS_ONCE;DENOMINATOR_REMAINS_20
20,B1-TSB-10,B1-TSB-10-BASELINE,BASELINE,TECHNICAL_COMPLETE,OFFLINE_FINALIZED_FROM_ORIGINAL_B1_ARTIFACTS,INCOMPATIBLE,PRESERVE_ORIGINAL_ATTEMPT;NO_RERUN;USE_OFFLINE_FINALIZED_OFFICIAL_METRICS,NO,ORIGINAL_PAIR_COUNTS_ONCE;DENOMINATOR_REMAINS_20
21,B1-TSB-11,B1-TSB-11-TREATMENT,TREATMENT,TECHNICAL_COMPLETE,OFFLINE_FINALIZED_FROM_ORIGINAL_B1_ARTIFACTS,COMPATIBLE,PRESERVE_ORIGINAL_ATTEMPT;NO_RERUN;USE_OFFLINE_FINALIZED_OFFICIAL_METRICS,NO,ORIGINAL_PAIR_COUNTS_ONCE;DENOMINATOR_REMAINS_20
22,B1-TSB-11,B1-TSB-11-BASELINE,BASELINE,TECHNICAL_COMPLETE,OFFLINE_FINALIZED_FROM_ORIGINAL_B1_ARTIFACTS,COMPATIBLE,PRESERVE_ORIGINAL_ATTEMPT;NO_RERUN;USE_OFFLINE_FINALIZED_OFFICIAL_METRICS,NO,ORIGINAL_PAIR_COUNTS_ONCE;DENOMINATOR_REMAINS_20
23,B1-TSB-12,B1-TSB-12-TREATMENT,TREATMENT,TECHNICAL_COMPLETE,OFFLINE_FINALIZED_FROM_ORIGINAL_B1_ARTIFACTS,COMPATIBLE,PRESERVE_ORIGINAL_ATTEMPT;NO_RERUN;USE_OFFLINE_FINALIZED_OFFICIAL_METRICS,NO,ORIGINAL_PAIR_COUNTS_ONCE;DENOMINATOR_REMAINS_20
24,B1-TSB-12,B1-TSB-12-BASELINE,BASELINE,TECHNICAL_COMPLETE,OFFLINE_FINALIZED_FROM_ORIGINAL_B1_ARTIFACTS,COMPATIBLE,PRESERVE_ORIGINAL_ATTEMPT;NO_RERUN;USE_OFFLINE_FINALIZED_OFFICIAL_METRICS,NO,ORIGINAL_PAIR_COUNTS_ONCE;DENOMINATOR_REMAINS_20
25,B1-TSB-13,B1-TSB-13-BASELINE,BASELINE,TECHNICAL_COMPLETE,OFFLINE_FINALIZED_FROM_ORIGINAL_B1_ARTIFACTS,COMPATIBLE,PRESERVE_ORIGINAL_ATTEMPT;NO_RERUN;USE_OFFLINE_FINALIZED_OFFICIAL_METRICS,NO,ORIGINAL_PAIR_COUNTS_ONCE;DENOMINATOR_REMAINS_20
26,B1-TSB-13,B1-TSB-13-TREATMENT,TREATMENT,TECHNICAL_COMPLETE,OFFLINE_FINALIZED_FROM_ORIGINAL_B1_ARTIFACTS,COMPATIBLE,PRESERVE_ORIGINAL_ATTEMPT;NO_RERUN;USE_OFFLINE_FINALIZED_OFFICIAL_METRICS,NO,ORIGINAL_PAIR_COUNTS_ONCE;DENOMINATOR_REMAINS_20
27,B1-TSB-14,B1-TSB-14-BASELINE,BASELINE,TECHNICAL_COMPLETE,OFFLINE_FINALIZED_FROM_ORIGINAL_B1_ARTIFACTS,INCOMPATIBLE,PRESERVE_ORIGINAL_ATTEMPT;NO_RERUN;USE_OFFLINE_FINALIZED_OFFICIAL_METRICS,NO,ORIGINAL_PAIR_COUNTS_ONCE;DENOMINATOR_REMAINS_20
28,B1-TSB-14,B1-TSB-14-TREATMENT,TREATMENT,TECHNICAL_COMPLETE,OFFLINE_FINALIZED_FROM_ORIGINAL_B1_ARTIFACTS,INCOMPATIBLE,PRESERVE_ORIGINAL_ATTEMPT;NO_RERUN;USE_OFFLINE_FINALIZED_OFFICIAL_METRICS,NO,ORIGINAL_PAIR_COUNTS_ONCE;DENOMINATOR_REMAINS_20
29,B1-TSB-15,B1-TSB-15-BASELINE,BASELINE,TECHNICAL_COMPLETE,OFFLINE_FINALIZED_FROM_ORIGINAL_B1_ARTIFACTS,COMPATIBLE,PRESERVE_ORIGINAL_ATTEMPT;NO_RERUN;USE_OFFLINE_FINALIZED_OFFICIAL_METRICS,NO,ORIGINAL_PAIR_COUNTS_ONCE;DENOMINATOR_REMAINS_20
30,B1-TSB-15,B1-TSB-15-TREATMENT,TREATMENT,TECHNICAL_COMPLETE,OFFLINE_FINALIZED_FROM_ORIGINAL_B1_ARTIFACTS,COMPATIBLE,PRESERVE_ORIGINAL_ATTEMPT;NO_RERUN;USE_OFFLINE_FINALIZED_OFFICIAL_METRICS,NO,ORIGINAL_PAIR_COUNTS_ONCE;DENOMINATOR_REMAINS_20
31,B1-TSB-16,B1-TSB-16-TREATMENT,TREATMENT,TECHNICAL_COMPLETE,OFFLINE_FINALIZED_FROM_ORIGINAL_B1_ARTIFACTS,COMPATIBLE,PRESERVE_ORIGINAL_ATTEMPT;NO_RERUN;USE_OFFLINE_FINALIZED_OFFICIAL_METRICS,NO,ORIGINAL_PAIR_COUNTS_ONCE;DENOMINATOR_REMAINS_20
32,B1-TSB-16,B1-TSB-16-BASELINE,BASELINE,TECHNICAL_COMPLETE,OFFLINE_FINALIZED_FROM_ORIGINAL_B1_ARTIFACTS,COMPATIBLE,PRESERVE_ORIGINAL_ATTEMPT;NO_RERUN;USE_OFFLINE_FINALIZED_OFFICIAL_METRICS,NO,ORIGINAL_PAIR_COUNTS_ONCE;DENOMINATOR_REMAINS_20
33,B1-TSB-17,B1-TSB-17-BASELINE,BASELINE,TECHNICAL_COMPLETE,OFFLINE_FINALIZED_FROM_ORIGINAL_B1_ARTIFACTS,COMPATIBLE,PRESERVE_ORIGINAL_ATTEMPT;NO_RERUN;USE_OFFLINE_FINALIZED_OFFICIAL_METRICS,NO,ORIGINAL_PAIR_COUNTS_ONCE;DENOMINATOR_REMAINS_20
34,B1-TSB-17,B1-TSB-17-TREATMENT,TREATMENT,TECHNICAL_COMPLETE,OFFLINE_FINALIZED_FROM_ORIGINAL_B1_ARTIFACTS,COMPATIBLE,PRESERVE_ORIGINAL_ATTEMPT;NO_RERUN;USE_OFFLINE_FINALIZED_OFFICIAL_METRICS,NO,ORIGINAL_PAIR_COUNTS_ONCE;DENOMINATOR_REMAINS_20
35,B1-TSB-18,B1-TSB-18-TREATMENT,TREATMENT,TECHNICAL_INCOMPLETE,NOT_APPLICABLE_INCOMPLETE_RUN,INCOMPATIBLE,PRESERVE_ATTEMPT_1;ATTEMPT_2_ONLY_AFTER_ROUTE_REPAIR_AND_EXPLICIT_OWNER_AUTHORIZATION,YES,ORIGINAL_PAIR_COUNTS_ONCE;DENOMINATOR_REMAINS_20
36,B1-TSB-18,B1-TSB-18-BASELINE,BASELINE,NOT_RUN,NOT_APPLICABLE_NOT_RUN,INCOMPATIBLE,DO_NOT_ENTER_RUNNER;ROUTE_INFRASTRUCTURE_REPAIR_AND_OWNER_AUTHORIZATION_REQUIRED,YES,ORIGINAL_PAIR_COUNTS_ONCE;DENOMINATOR_REMAINS_20
37,B1-TSB-19,B1-TSB-19-TREATMENT,TREATMENT,NOT_RUN,NOT_APPLICABLE_NOT_RUN,COMPATIBLE,FIRST_ATTEMPT_ONLY_AFTER_EXPLICIT_OWNER_RESUME_AUTHORIZATION,YES,ORIGINAL_PAIR_COUNTS_ONCE;DENOMINATOR_REMAINS_20
38,B1-TSB-19,B1-TSB-19-BASELINE,BASELINE,NOT_RUN,NOT_APPLICABLE_NOT_RUN,COMPATIBLE,FIRST_ATTEMPT_ONLY_AFTER_EXPLICIT_OWNER_RESUME_AUTHORIZATION,YES,ORIGINAL_PAIR_COUNTS_ONCE;DENOMINATOR_REMAINS_20
39,B1-TSB-20,B1-TSB-20-BASELINE,BASELINE,NOT_RUN,NOT_APPLICABLE_NOT_RUN,INCOMPATIBLE,DO_NOT_ENTER_RUNNER;ROUTE_INFRASTRUCTURE_REPAIR_AND_OWNER_AUTHORIZATION_REQUIRED,YES,ORIGINAL_PAIR_COUNTS_ONCE;DENOMINATOR_REMAINS_20
40,B1-TSB-20,B1-TSB-20-TREATMENT,TREATMENT,NOT_RUN,NOT_APPLICABLE_NOT_RUN,INCOMPATIBLE,DO_NOT_ENTER_RUNNER;ROUTE_INFRASTRUCTURE_REPAIR_AND_OWNER_AUTHORIZATION_REQUIRED,YES,ORIGINAL_PAIR_COUNTS_ONCE;DENOMINATOR_REMAINS_20
