dose,dose_role,view,view_status,representation,candidate,seed,probe_contract,probe_selection_parameter,evidence_level,target_id,semantic_family,target_kind,n_rows,n_log_clusters,uncertainty_contract,primary_metric,primary_point_estimate,ci95_lower,ci95_upper,mae,nrmse_sd,spearman,calibration_slope,auroc,macro_f1,class_support
dose0,PRIMARY,FULL,HISTORICAL,A_seed3407,A,3407,same frozen Waymo probe as D1 transfer; no Stage7L refit or selection,0.001,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,ego13.end_minus_start_speed,longitudinal,continuous,80,79,"5,000 log-cluster Poisson bootstrap; development diagnostic only",R2,-0.32585341464298256,-0.7519359234632385,-0.027484431467532197,1.902103866489646,1.1514570832831688,0.5263947491795593,0.8945815000639895,nan,nan,NOT_APPLICABLE
dose0,PRIMARY,FULL,HISTORICAL,A_seed3407,A,3407,same frozen Waymo probe as D1 transfer; no Stage7L refit or selection,1.0,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,ego13.rms_accel,longitudinal,continuous,80,79,"5,000 log-cluster Poisson bootstrap; development diagnostic only",R2,-22.254638837902018,-39.734366028931376,-12.717039353365205,0.473479296876115,4.822306381587758,-0.22494139709329586,-0.09209321384376874,nan,nan,NOT_APPLICABLE
dose0,PRIMARY,FULL,HISTORICAL,A_seed3407,A,3407,same frozen Waymo probe as D1 transfer; no Stage7L refit or selection,0.01,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,ego13.rms_yaw_rate,lateral,continuous,80,79,"5,000 log-cluster Poisson bootstrap; development diagnostic only",R2,-93.85155761070706,-190.2533484553303,-52.907822533643134,0.04800106220659588,9.739176433903795,-0.11797937177684015,-0.008153981855536596,nan,nan,NOT_APPLICABLE
dose0,PRIMARY,FULL,HISTORICAL,A_seed3407,A,3407,same frozen Waymo probe as D1 transfer; no Stage7L refit or selection,1.0,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,ego13.heading_change_abs_total,lateral,continuous,80,79,"5,000 log-cluster Poisson bootstrap; development diagnostic only",R2,-15.081787849194033,-28.542110404518727,-8.283155607361705,0.16494443654565227,4.010210449489407,-0.04409282700421942,0.004956316009502489,nan,nan,NOT_APPLICABLE
dose0,PRIMARY,FULL,HISTORICAL,A_seed3407,A,3407,same frozen Waymo probe as D1 transfer; no Stage7L refit or selection,1000.0,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,raw33.lane_change_count_proxy,lateral,categorical,80,79,"5,000 log-cluster Poisson bootstrap; development diagnostic only",balanced_accuracy,0.9605263157894737,0.9142801339285715,0.9879518072289157,nan,nan,nan,nan,0.9835526315789473,0.7651663405088063,class_0=4; class_1=76
dose0,PRIMARY,FULL,HISTORICAL,A_seed3407,A,3407,same frozen Waymo probe as D1 transfer; no Stage7L refit or selection,0.1,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,raw33.mean_front_distance,interaction,continuous,80,79,"5,000 log-cluster Poisson bootstrap; development diagnostic only",R2,0.9061987727089302,0.846744079103053,0.9440608510587022,5.088329632614888,0.3062698602394132,0.94537786501894,0.9171325316394991,nan,nan,NOT_APPLICABLE
dose0,PRIMARY,FULL,HISTORICAL,A_seed3407,A,3407,same frozen Waymo probe as D1 transfer; no Stage7L refit or selection,0.01,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,raw33.mean_rel_speed,interaction,continuous,80,79,"5,000 log-cluster Poisson bootstrap; development diagnostic only",R2,0.8126171487764499,0.7691687003995927,0.8557022749510165,3.20276548753604,0.43287740900115146,0.9325039150430816,1.393496914746016,nan,nan,NOT_APPLICABLE
dose0,PRIMARY,FULL,HISTORICAL,A_seed3407,A,3407,same frozen Waymo probe as D1 transfer; no Stage7L refit or selection,0.1,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,raw33.front_pressure_score,interaction,continuous,80,79,"5,000 log-cluster Poisson bootstrap; development diagnostic only",R2,0.807230283811891,0.6794450733081104,0.8790552230142682,1.4878495967245609,0.4390554819018993,0.7324281417016076,1.0603220533775564,nan,nan,NOT_APPLICABLE
dose0,PRIMARY,FULL,HISTORICAL,A_seed3408,A,3408,same frozen Waymo probe as D1 transfer; no Stage7L refit or selection,0.01,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,ego13.mean_speed,longitudinal,continuous,80,79,"5,000 log-cluster Poisson bootstrap; development diagnostic only",R2,-5.298589337927254,-8.915016885284695,-2.9680904006007847,1.5952062330208006,2.509699053258628,0.6014767932489452,0.24989927255660976,nan,nan,NOT_APPLICABLE
dose0,PRIMARY,FULL,HISTORICAL,A_seed3408,A,3408,same frozen Waymo probe as D1 transfer; no Stage7L refit or selection,0.01,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,ego13.end_minus_start_speed,longitudinal,continuous,80,79,"5,000 log-cluster Poisson bootstrap; development diagnostic only",R2,-0.013773464795108215,-0.6165313361642792,0.32438505025008474,1.750963162870692,1.006863180772397,0.4569620253164557,0.5127354041056268,nan,nan,NOT_APPLICABLE
dose0,PRIMARY,FULL,HISTORICAL,A_seed3408,A,3408,same frozen Waymo probe as D1 transfer; no Stage7L refit or selection,1.0,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,ego13.rms_accel,longitudinal,continuous,80,79,"5,000 log-cluster Poisson bootstrap; development diagnostic only",R2,-44.45248970513529,-79.01783054933681,-29.50761542099836,0.8496901859162135,6.741846164451936,-0.18764650726676046,-0.07171693485240356,nan,nan,NOT_APPLICABLE
dose0,PRIMARY,FULL,HISTORICAL,A_seed3408,A,3408,same frozen Waymo probe as D1 transfer; no Stage7L refit or selection,1.0,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,ego13.rms_yaw_rate,lateral,continuous,80,79,"5,000 log-cluster Poisson bootstrap; development diagnostic only",R2,-29.283632367767087,-60.461789238769825,-15.54911191476719,0.02515069802407326,5.503056638611589,-0.11516643225503985,0.0006124296231162451,nan,nan,NOT_APPLICABLE
dose0,PRIMARY,FULL,HISTORICAL,A_seed3408,A,3408,same frozen Waymo probe as D1 transfer; no Stage7L refit or selection,10.0,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,ego13.heading_change_abs_total,lateral,continuous,80,79,"5,000 log-cluster Poisson bootstrap; development diagnostic only",R2,-26.206894386153774,-47.209680478483904,-16.036904833963685,0.24355815856234814,5.216022851383396,-0.09714017815283639,-0.013504338070597853,nan,nan,NOT_APPLICABLE
dose0,PRIMARY,FULL,HISTORICAL,A_seed3408,A,3408,same frozen Waymo probe as D1 transfer; no Stage7L refit or selection,0.1,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,raw33.lane_change_count_proxy,lateral,categorical,80,79,"5,000 log-cluster Poisson bootstrap; development diagnostic only",balanced_accuracy,0.9144736842105263,0.859536156727168,0.9556962025316456,nan,nan,nan,nan,0.9473684210526316,0.643713600548133,class_0=4; class_1=76
dose0,PRIMARY,FULL,HISTORICAL,A_seed3408,A,3408,same frozen Waymo probe as D1 transfer; no Stage7L refit or selection,0.1,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,raw33.mean_front_distance,interaction,continuous,80,79,"5,000 log-cluster Poisson bootstrap; development diagnostic only",R2,0.915705857883347,0.8663035280516954,0.9500703470179871,4.741068693936604,0.29033453483292854,0.9426243372567489,0.959772503996555,nan,nan,NOT_APPLICABLE
dose0,PRIMARY,FULL,HISTORICAL,A_seed3408,A,3408,same frozen Waymo probe as D1 transfer; no Stage7L refit or selection,0.1,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,raw33.mean_rel_speed,interaction,continuous,80,79,"5,000 log-cluster Poisson bootstrap; development diagnostic only",R2,0.8567522868101156,0.8129145643407634,0.8983173591801548,2.6098135189634286,0.3784807963290666,0.9464406301201365,1.2803058301996855,nan,nan,NOT_APPLICABLE
dose0,PRIMARY,FULL,HISTORICAL,A_seed3408,A,3408,same frozen Waymo probe as D1 transfer; no Stage7L refit or selection,1.0,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,raw33.front_pressure_score,interaction,continuous,80,79,"5,000 log-cluster Poisson bootstrap; development diagnostic only",R2,0.7850760693156247,0.49844819286490494,0.9128616913505486,1.4045454966800766,0.46359888986533965,0.8305445379891929,0.9118843790495522,nan,nan,NOT_APPLICABLE
dose0,PRIMARY,FULL,HISTORICAL,A_seed3409,A,3409,same frozen Waymo probe as D1 transfer; no Stage7L refit or selection,0.1,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,ego13.mean_speed,longitudinal,continuous,80,79,"5,000 log-cluster Poisson bootstrap; development diagnostic only",R2,-3.6150888944933133,-5.96375595375236,-1.944959380885013,1.3397326547551103,2.148275795723937,0.703750586029067,0.31226807957144653,nan,nan,NOT_APPLICABLE
dose0,PRIMARY,FULL,HISTORICAL,A_seed3409,A,3409,same frozen Waymo probe as D1 transfer; no Stage7L refit or selection,0.01,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,ego13.end_minus_start_speed,longitudinal,continuous,80,79,"5,000 log-cluster Poisson bootstrap; development diagnostic only",R2,-4.044702628330493,-6.7947756920880185,-2.5934215347516076,4.311025716061333,2.246041546439089,0.4319268635724332,0.7346172910437708,nan,nan,NOT_APPLICABLE
dose0,PRIMARY,FULL,HISTORICAL,A_seed3409,A,3409,same frozen Waymo probe as D1 transfer; no Stage7L refit or selection,0.1,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,ego13.rms_accel,longitudinal,continuous,80,79,"5,000 log-cluster Poisson bootstrap; development diagnostic only",R2,-7.788561919110819,-14.41851171718072,-4.765065706851914,0.3327616015078415,2.9645508798316853,0.1722691045475856,0.014646350765476532,nan,nan,NOT_APPLICABLE
dose0,PRIMARY,FULL,HISTORICAL,A_seed3409,A,3409,same frozen Waymo probe as D1 transfer; no Stage7L refit or selection,1.0,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,ego13.rms_yaw_rate,lateral,continuous,80,79,"5,000 log-cluster Poisson bootstrap; development diagnostic only",R2,-42.081046359996186,-86.28858137074542,-22.37350043524592,0.030448807481442963,6.56361534217204,-0.12557430848570092,-0.00869408409222624,nan,nan,NOT_APPLICABLE
dose0,PRIMARY,FULL,HISTORICAL,A_seed3409,A,3409,same frozen Waymo probe as D1 transfer; no Stage7L refit or selection,10.0,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,ego13.heading_change_abs_total,lateral,continuous,80,79,"5,000 log-cluster Poisson bootstrap; development diagnostic only",R2,-33.48020769306063,-63.74102833798368,-18.960703606905348,0.2663276427995147,5.871984987468942,-0.20996249413970933,-0.004161717549320008,nan,nan,NOT_APPLICABLE
dose0,PRIMARY,FULL,HISTORICAL,A_seed3409,A,3409,same frozen Waymo probe as D1 transfer; no Stage7L refit or selection,100.0,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,raw33.lane_change_count_proxy,lateral,categorical,80,79,"5,000 log-cluster Poisson bootstrap; development diagnostic only",balanced_accuracy,0.9671052631578947,0.9088988476312422,0.9924270691994572,nan,nan,nan,nan,1.0,0.7906855049712193,class_0=4; class_1=76
dose0,PRIMARY,FULL,HISTORICAL,A_seed3409,A,3409,same frozen Waymo probe as D1 transfer; no Stage7L refit or selection,1.0,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,raw33.mean_front_distance,interaction,continuous,80,79,"5,000 log-cluster Poisson bootstrap; development diagnostic only",R2,0.927818490960469,0.8915724500712574,0.9562083674805093,4.172334634168665,0.2686661665329876,0.9482763152949305,1.0305241591196423,nan,nan,NOT_APPLICABLE
dose0,PRIMARY,FULL,HISTORICAL,A_seed3409,A,3409,same frozen Waymo probe as D1 transfer; no Stage7L refit or selection,1.0,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,raw33.mean_rel_speed,interaction,continuous,80,79,"5,000 log-cluster Poisson bootstrap; development diagnostic only",R2,0.778171363521569,0.7241428182635633,0.8314374122196447,3.2018234211854533,0.4709868750596253,0.9451604812482406,1.4259890147210585,nan,nan,NOT_APPLICABLE
dose0,PRIMARY,FULL,HISTORICAL,A_seed3409,A,3409,same frozen Waymo probe as D1 transfer; no Stage7L refit or selection,1.0,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,raw33.front_pressure_score,interaction,continuous,80,79,"5,000 log-cluster Poisson bootstrap; development diagnostic only",R2,0.8856078452459185,0.7855370054064436,0.9293254117686843,1.285100179579424,0.3382190928290144,0.7833517223449006,0.9631316528782687,nan,nan,NOT_APPLICABLE
dose0,PRIMARY,FULL,HISTORICAL,B_seed3407,B,3407,same frozen Waymo probe as D1 transfer; no Stage7L refit or selection,0.0001,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,ego13.mean_speed,longitudinal,continuous,80,79,"5,000 log-cluster Poisson bootstrap; development diagnostic only",R2,-0.8071648505943241,-1.4132232400314795,-0.3989911668482978,1.010571065725744,1.3443083167913246,0.8083684950773559,0.45568125811178406,nan,nan,NOT_APPLICABLE
dose0,PRIMARY,FULL,HISTORICAL,B_seed3407,B,3407,same frozen Waymo probe as D1 transfer; no Stage7L refit or selection,0.0001,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,ego13.end_minus_start_speed,longitudinal,continuous,80,79,"5,000 log-cluster Poisson bootstrap; development diagnostic only",R2,-4.290398431773175,-7.474936501179957,-2.578215577069942,4.230812470940147,2.300086613971999,0.25053914674167843,0.22112499972524582,nan,nan,NOT_APPLICABLE
dose0,PRIMARY,FULL,HISTORICAL,B_seed3407,B,3407,same frozen Waymo probe as D1 transfer; no Stage7L refit or selection,0.0001,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,ego13.rms_accel,longitudinal,continuous,80,79,"5,000 log-cluster Poisson bootstrap; development diagnostic only",R2,-112.90944910547876,-224.37511078134997,-62.654617261042546,1.1724687056776475,10.672836975494322,-0.30693858415377406,-0.015441168175081123,nan,nan,NOT_APPLICABLE
dose0,PRIMARY,FULL,HISTORICAL,B_seed3407,B,3407,same frozen Waymo probe as D1 transfer; no Stage7L refit or selection,10.0,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,ego13.rms_yaw_rate,lateral,continuous,80,79,"5,000 log-cluster Poisson bootstrap; development diagnostic only",R2,-12.968434477721868,-26.728124559862685,-7.253720087625482,0.018786918716144838,3.7374368861188634,0.08942803563056728,0.026390020459901468,nan,nan,NOT_APPLICABLE
dose0,PRIMARY,FULL,HISTORICAL,B_seed3407,B,3407,same frozen Waymo probe as D1 transfer; no Stage7L refit or selection,0.001,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,ego13.heading_change_abs_total,lateral,continuous,80,79,"5,000 log-cluster Poisson bootstrap; development diagnostic only",R2,-19.533417733130996,-36.43858362670163,-11.576872443273533,0.20778057092836918,4.5313814376116035,0.02545710267229255,0.013283189615873199,nan,nan,NOT_APPLICABLE
dose0,PRIMARY,FULL,HISTORICAL,B_seed3407,B,3407,same frozen Waymo probe as D1 transfer; no Stage7L refit or selection,0.1,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,raw33.lane_change_count_proxy,lateral,categorical,80,79,"5,000 log-cluster Poisson bootstrap; development diagnostic only",balanced_accuracy,0.9671052631578947,0.9275185577942736,0.9928571428571429,nan,nan,nan,nan,1.0,0.7906855049712193,class_0=4; class_1=76
dose0,PRIMARY,FULL,HISTORICAL,B_seed3407,B,3407,same frozen Waymo probe as D1 transfer; no Stage7L refit or selection,0.001,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,raw33.mean_front_distance,interaction,continuous,80,79,"5,000 log-cluster Poisson bootstrap; development diagnostic only",R2,0.9232087181554951,0.8798050489251977,0.9586734523701163,3.920130529073809,0.2771123992976586,0.9510298430571217,1.0620257101445663,nan,nan,NOT_APPLICABLE
dose0,PRIMARY,FULL,HISTORICAL,B_seed3407,B,3407,same frozen Waymo probe as D1 transfer; no Stage7L refit or selection,0.01,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,raw33.mean_rel_speed,interaction,continuous,80,79,"5,000 log-cluster Poisson bootstrap; development diagnostic only",R2,0.6946034596492782,0.6209280358843895,0.7692232564343794,3.6099927419831785,0.5526269450096709,0.9473826264598335,1.5346603410193722,nan,nan,NOT_APPLICABLE
dose0,PRIMARY,FULL,HISTORICAL,B_seed3407,B,3407,same frozen Waymo probe as D1 transfer; no Stage7L refit or selection,0.01,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,raw33.front_pressure_score,interaction,continuous,80,79,"5,000 log-cluster Poisson bootstrap; development diagnostic only",R2,0.8655698065775517,0.7184200445000472,0.9351726608138631,1.2272662335334024,0.36664723293984963,0.7657871718021605,0.902491450938747,nan,nan,NOT_APPLICABLE
dose0,PRIMARY,FULL,HISTORICAL,B_seed3408,B,3408,same frozen Waymo probe as D1 transfer; no Stage7L refit or selection,0.01,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,ego13.mean_speed,longitudinal,continuous,80,79,"5,000 log-cluster Poisson bootstrap; development diagnostic only",R2,-0.9381442106816289,-1.7672397825314623,-0.3295170619719449,0.9171752387165955,1.392172478783297,0.6838021565869667,0.4945026343036945,nan,nan,NOT_APPLICABLE
dose0,PRIMARY,FULL,HISTORICAL,B_seed3408,B,3408,same frozen Waymo probe as D1 transfer; no Stage7L refit or selection,0.001,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,ego13.end_minus_start_speed,longitudinal,continuous,80,79,"5,000 log-cluster Poisson bootstrap; development diagnostic only",R2,0.26818662391994896,-0.17171784013919594,0.5015279416040206,1.475196555792308,0.8554609144081634,0.6718940459446789,0.7139078505220967,nan,nan,NOT_APPLICABLE
dose0,PRIMARY,FULL,HISTORICAL,B_seed3408,B,3408,same frozen Waymo probe as D1 transfer; no Stage7L refit or selection,0.1,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,ego13.rms_accel,longitudinal,continuous,80,79,"5,000 log-cluster Poisson bootstrap; development diagnostic only",R2,-168.7424353259637,-318.36779712400454,-106.15968284304432,1.7039140403093405,13.028523912015654,0.5488279418659167,0.10662422904499703,nan,nan,NOT_APPLICABLE
dose0,PRIMARY,FULL,HISTORICAL,B_seed3408,B,3408,same frozen Waymo probe as D1 transfer; no Stage7L refit or selection,10.0,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,ego13.rms_yaw_rate,lateral,continuous,80,79,"5,000 log-cluster Poisson bootstrap; development diagnostic only",R2,-4024.9623396495804,-9306.675939312663,-1776.0195487533013,0.23100502815545915,63.450471547889855,-0.04472573839662448,-0.0005298695891460016,nan,nan,NOT_APPLICABLE
dose0,PRIMARY,FULL,HISTORICAL,B_seed3408,B,3408,same frozen Waymo probe as D1 transfer; no Stage7L refit or selection,0.1,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,ego13.heading_change_abs_total,lateral,continuous,80,79,"5,000 log-cluster Poisson bootstrap; development diagnostic only",R2,-245.35227186960185,-548.0600723164551,-113.16136955457341,0.5419798781666454,15.695613140925776,-0.16493202062822318,-0.005065659557236901,nan,nan,NOT_APPLICABLE
dose0,PRIMARY,FULL,HISTORICAL,B_seed3408,B,3408,same frozen Waymo probe as D1 transfer; no Stage7L refit or selection,1000.0,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,raw33.lane_change_count_proxy,lateral,categorical,80,79,"5,000 log-cluster Poisson bootstrap; development diagnostic only",balanced_accuracy,0.9210526315789473,0.8614374163319947,0.9605263157894737,nan,nan,nan,nan,0.9967105263157895,0.6571428571428571,class_0=4; class_1=76
dose0,PRIMARY,FULL,HISTORICAL,B_seed3408,B,3408,same frozen Waymo probe as D1 transfer; no Stage7L refit or selection,0.1,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,raw33.mean_front_distance,interaction,continuous,80,79,"5,000 log-cluster Poisson bootstrap; development diagnostic only",R2,0.9414160609925859,0.8915411153802544,0.9737310303530547,3.5478905250942034,0.24204119279042993,0.9491700041300276,0.9900603328564064,nan,nan,NOT_APPLICABLE
dose0,PRIMARY,FULL,HISTORICAL,B_seed3408,B,3408,same frozen Waymo probe as D1 transfer; no Stage7L refit or selection,1.0,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,raw33.mean_rel_speed,interaction,continuous,80,79,"5,000 log-cluster Poisson bootstrap; development diagnostic only",R2,0.7640301604176885,0.70639446521328,0.8225570588973522,3.2903988577699685,0.4857672689491455,0.9500878467174246,1.4332228102649864,nan,nan,NOT_APPLICABLE
dose0,PRIMARY,FULL,HISTORICAL,B_seed3408,B,3408,same frozen Waymo probe as D1 transfer; no Stage7L refit or selection,0.01,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,raw33.front_pressure_score,interaction,continuous,80,79,"5,000 log-cluster Poisson bootstrap; development diagnostic only",R2,0.8910572990458883,0.7406410589800072,0.9536144142090847,1.1256560300137375,0.3300646920743141,0.772458977822271,0.919942074750168,nan,nan,NOT_APPLICABLE
dose0,PRIMARY,FULL,HISTORICAL,B_seed3409,B,3409,same frozen Waymo probe as D1 transfer; no Stage7L refit or selection,0.0001,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,ego13.mean_speed,longitudinal,continuous,80,79,"5,000 log-cluster Poisson bootstrap; development diagnostic only",R2,-1.40346896032871,-2.6981519366574833,-0.5804691024538244,0.9761944843800194,1.550312536338628,0.4735349273323957,0.29199092656832426,nan,nan,NOT_APPLICABLE
dose0,PRIMARY,FULL,HISTORICAL,B_seed3409,B,3409,same frozen Waymo probe as D1 transfer; no Stage7L refit or selection,0.0001,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,ego13.end_minus_start_speed,longitudinal,continuous,80,79,"5,000 log-cluster Poisson bootstrap; development diagnostic only",R2,-2.168408701557787,-5.360831922585476,-0.5736525042712826,2.5083123711198647,1.780002444256127,0.09329582747304266,0.11602627939838064,nan,nan,NOT_APPLICABLE
dose0,PRIMARY,FULL,HISTORICAL,B_seed3409,B,3409,same frozen Waymo probe as D1 transfer; no Stage7L refit or selection,0.001,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,ego13.rms_accel,longitudinal,continuous,80,79,"5,000 log-cluster Poisson bootstrap; development diagnostic only",R2,-138.01574653200643,-265.9831241331831,-85.34871502859338,1.423080855439972,11.790493905346223,0.04730426629160807,0.02530207932991315,nan,nan,NOT_APPLICABLE
dose0,PRIMARY,FULL,HISTORICAL,B_seed3409,B,3409,same frozen Waymo probe as D1 transfer; no Stage7L refit or selection,1.0,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,ego13.rms_yaw_rate,lateral,continuous,80,79,"5,000 log-cluster Poisson bootstrap; development diagnostic only",R2,-125192.74411097288,-247833.61400079896,-75168.48274430967,1.9410075734997843,353.82728005479294,-0.06284575714955462,-0.0004824258046520438,nan,nan,NOT_APPLICABLE
