study,representation,candidate,seed,view,semantic_family,frozen_probe_loss_gate_target_count,refit_probe_loss_gate_target_count,frozen_probe_material_change_target_count,refit_probe_material_change_target_count,family_interpretation,n_core_targets,evidence_level
D0-C_SAME_HIDDEN_SEQUENCE_POOLING_STUDY,A_seed3408,A,3408,max,lateral,1,0,1,0,NO_MATERIAL_RETENTION_LOSS_SUPPORTED,3,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
D0-C_SAME_HIDDEN_SEQUENCE_POOLING_STUDY,A_seed3408,A,3408,max,interaction,3,0,3,1,COORDINATE_GEOMETRY_SHIFT_FAVORED,3,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
D0-C_SAME_HIDDEN_SEQUENCE_POOLING_STUDY,A_seed3409,A,3409,mean,longitudinal,3,0,3,0,COORDINATE_GEOMETRY_SHIFT_FAVORED,3,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
D0-C_SAME_HIDDEN_SEQUENCE_POOLING_STUDY,A_seed3409,A,3409,mean,lateral,2,0,2,0,COORDINATE_GEOMETRY_SHIFT_FAVORED,3,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
D0-C_SAME_HIDDEN_SEQUENCE_POOLING_STUDY,A_seed3409,A,3409,mean,interaction,2,0,2,2,MIXED_OR_UNRESOLVED,3,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
D0-C_SAME_HIDDEN_SEQUENCE_POOLING_STUDY,A_seed3409,A,3409,max,longitudinal,3,2,3,2,INFORMATION_RETENTION_LOSS_FAVORED,3,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
D0-C_SAME_HIDDEN_SEQUENCE_POOLING_STUDY,A_seed3409,A,3409,max,lateral,3,0,3,0,COORDINATE_GEOMETRY_SHIFT_FAVORED,3,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
D0-C_SAME_HIDDEN_SEQUENCE_POOLING_STUDY,A_seed3409,A,3409,max,interaction,3,3,3,3,INFORMATION_RETENTION_LOSS_FAVORED,3,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
D0-C_SAME_HIDDEN_SEQUENCE_POOLING_STUDY,B_seed3407,B,3407,mean,longitudinal,3,0,3,2,MIXED_OR_UNRESOLVED,3,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
D0-C_SAME_HIDDEN_SEQUENCE_POOLING_STUDY,B_seed3407,B,3407,mean,lateral,2,0,2,0,COORDINATE_GEOMETRY_SHIFT_FAVORED,3,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
D0-C_SAME_HIDDEN_SEQUENCE_POOLING_STUDY,B_seed3407,B,3407,mean,interaction,1,0,1,0,NO_MATERIAL_RETENTION_LOSS_SUPPORTED,3,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
D0-C_SAME_HIDDEN_SEQUENCE_POOLING_STUDY,B_seed3407,B,3407,max,longitudinal,3,1,3,1,MIXED_OR_UNRESOLVED,3,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
D0-C_SAME_HIDDEN_SEQUENCE_POOLING_STUDY,B_seed3407,B,3407,max,lateral,2,0,2,0,COORDINATE_GEOMETRY_SHIFT_FAVORED,3,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
D0-C_SAME_HIDDEN_SEQUENCE_POOLING_STUDY,B_seed3407,B,3407,max,interaction,3,3,3,3,INFORMATION_RETENTION_LOSS_FAVORED,3,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
D0-C_SAME_HIDDEN_SEQUENCE_POOLING_STUDY,B_seed3408,B,3408,mean,longitudinal,3,0,3,1,COORDINATE_GEOMETRY_SHIFT_FAVORED,3,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
D0-C_SAME_HIDDEN_SEQUENCE_POOLING_STUDY,B_seed3408,B,3408,mean,lateral,1,0,1,0,NO_MATERIAL_RETENTION_LOSS_SUPPORTED,3,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
D0-C_SAME_HIDDEN_SEQUENCE_POOLING_STUDY,B_seed3408,B,3408,mean,interaction,1,0,1,0,NO_MATERIAL_RETENTION_LOSS_SUPPORTED,3,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
D0-C_SAME_HIDDEN_SEQUENCE_POOLING_STUDY,B_seed3408,B,3408,max,longitudinal,3,1,3,2,MIXED_OR_UNRESOLVED,3,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
D0-C_SAME_HIDDEN_SEQUENCE_POOLING_STUDY,B_seed3408,B,3408,max,lateral,1,1,1,1,MIXED_OR_UNRESOLVED,3,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
D0-C_SAME_HIDDEN_SEQUENCE_POOLING_STUDY,B_seed3408,B,3408,max,interaction,3,2,3,2,INFORMATION_RETENTION_LOSS_FAVORED,3,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
D0-C_SAME_HIDDEN_SEQUENCE_POOLING_STUDY,B_seed3409,B,3409,mean,longitudinal,3,1,3,2,MIXED_OR_UNRESOLVED,3,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
D0-C_SAME_HIDDEN_SEQUENCE_POOLING_STUDY,B_seed3409,B,3409,mean,lateral,1,0,1,0,NO_MATERIAL_RETENTION_LOSS_SUPPORTED,3,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
D0-C_SAME_HIDDEN_SEQUENCE_POOLING_STUDY,B_seed3409,B,3409,mean,interaction,1,1,1,1,NO_MATERIAL_RETENTION_LOSS_SUPPORTED,3,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
D0-C_SAME_HIDDEN_SEQUENCE_POOLING_STUDY,B_seed3409,B,3409,max,longitudinal,3,3,3,3,INFORMATION_RETENTION_LOSS_FAVORED,3,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
D0-C_SAME_HIDDEN_SEQUENCE_POOLING_STUDY,B_seed3409,B,3409,max,lateral,2,0,2,0,COORDINATE_GEOMETRY_SHIFT_FAVORED,3,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
D0-C_SAME_HIDDEN_SEQUENCE_POOLING_STUDY,B_seed3409,B,3409,max,interaction,3,3,3,3,INFORMATION_RETENTION_LOSS_FAVORED,3,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
D0-C_SAME_HIDDEN_SEQUENCE_POOLING_STUDY,C_seed3407,C,3407,mean,longitudinal,3,0,3,3,MIXED_OR_UNRESOLVED,3,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
D0-C_SAME_HIDDEN_SEQUENCE_POOLING_STUDY,C_seed3407,C,3407,mean,lateral,2,0,2,1,MIXED_OR_UNRESOLVED,3,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
D0-C_SAME_HIDDEN_SEQUENCE_POOLING_STUDY,C_seed3407,C,3407,mean,interaction,2,0,2,0,COORDINATE_GEOMETRY_SHIFT_FAVORED,3,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
D0-C_SAME_HIDDEN_SEQUENCE_POOLING_STUDY,C_seed3407,C,3407,max,longitudinal,3,0,3,2,MIXED_OR_UNRESOLVED,3,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
D0-C_SAME_HIDDEN_SEQUENCE_POOLING_STUDY,C_seed3407,C,3407,max,lateral,3,1,3,1,MIXED_OR_UNRESOLVED,3,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
D0-C_SAME_HIDDEN_SEQUENCE_POOLING_STUDY,C_seed3407,C,3407,max,interaction,3,3,3,3,INFORMATION_RETENTION_LOSS_FAVORED,3,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
D0-C_SAME_HIDDEN_SEQUENCE_POOLING_STUDY,C_seed3408,C,3408,mean,longitudinal,3,0,3,3,MIXED_OR_UNRESOLVED,3,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
D0-C_SAME_HIDDEN_SEQUENCE_POOLING_STUDY,C_seed3408,C,3408,mean,lateral,2,0,2,0,COORDINATE_GEOMETRY_SHIFT_FAVORED,3,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
D0-C_SAME_HIDDEN_SEQUENCE_POOLING_STUDY,C_seed3408,C,3408,mean,interaction,0,0,0,0,NO_MATERIAL_RETENTION_LOSS_SUPPORTED,3,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
D0-C_SAME_HIDDEN_SEQUENCE_POOLING_STUDY,C_seed3408,C,3408,max,longitudinal,3,1,3,3,MIXED_OR_UNRESOLVED,3,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
D0-C_SAME_HIDDEN_SEQUENCE_POOLING_STUDY,C_seed3408,C,3408,max,lateral,3,1,3,1,MIXED_OR_UNRESOLVED,3,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
D0-C_SAME_HIDDEN_SEQUENCE_POOLING_STUDY,C_seed3408,C,3408,max,interaction,3,0,3,0,COORDINATE_GEOMETRY_SHIFT_FAVORED,3,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
D0-C_SAME_HIDDEN_SEQUENCE_POOLING_STUDY,C_seed3409,C,3409,mean,longitudinal,3,0,3,3,MIXED_OR_UNRESOLVED,3,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
D0-C_SAME_HIDDEN_SEQUENCE_POOLING_STUDY,C_seed3409,C,3409,mean,lateral,2,0,2,0,COORDINATE_GEOMETRY_SHIFT_FAVORED,3,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
D0-C_SAME_HIDDEN_SEQUENCE_POOLING_STUDY,C_seed3409,C,3409,mean,interaction,0,0,0,0,NO_MATERIAL_RETENTION_LOSS_SUPPORTED,3,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
D0-C_SAME_HIDDEN_SEQUENCE_POOLING_STUDY,C_seed3409,C,3409,max,longitudinal,3,2,3,2,INFORMATION_RETENTION_LOSS_FAVORED,3,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
D0-C_SAME_HIDDEN_SEQUENCE_POOLING_STUDY,C_seed3409,C,3409,max,lateral,3,2,3,2,INFORMATION_RETENTION_LOSS_FAVORED,3,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
D0-C_SAME_HIDDEN_SEQUENCE_POOLING_STUDY,C_seed3409,C,3409,max,interaction,3,3,3,3,INFORMATION_RETENTION_LOSS_FAVORED,3,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
D0-D_MASK_PADDING_SENSITIVITY,A_seed3407,A,3407,final_valid,longitudinal,0,0,0,0,NO_MATERIAL_RETENTION_LOSS_SUPPORTED,3,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
D0-D_MASK_PADDING_SENSITIVITY,A_seed3407,A,3407,final_valid,lateral,0,0,0,0,NO_MATERIAL_RETENTION_LOSS_SUPPORTED,3,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
D0-D_MASK_PADDING_SENSITIVITY,A_seed3407,A,3407,final_valid,interaction,0,0,0,1,NO_MATERIAL_RETENTION_LOSS_SUPPORTED,3,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
D0-D_MASK_PADDING_SENSITIVITY,A_seed3407,A,3407,masked_mean,longitudinal,3,0,3,0,COORDINATE_GEOMETRY_SHIFT_FAVORED,3,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
D0-D_MASK_PADDING_SENSITIVITY,A_seed3407,A,3407,masked_mean,lateral,0,0,0,0,NO_MATERIAL_RETENTION_LOSS_SUPPORTED,3,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
D0-D_MASK_PADDING_SENSITIVITY,A_seed3407,A,3407,masked_mean,interaction,0,0,0,1,NO_MATERIAL_RETENTION_LOSS_SUPPORTED,3,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
D0-D_MASK_PADDING_SENSITIVITY,A_seed3408,A,3408,final_valid,longitudinal,0,0,0,0,NO_MATERIAL_RETENTION_LOSS_SUPPORTED,3,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
D0-D_MASK_PADDING_SENSITIVITY,A_seed3408,A,3408,final_valid,lateral,0,0,0,0,NO_MATERIAL_RETENTION_LOSS_SUPPORTED,3,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
D0-D_MASK_PADDING_SENSITIVITY,A_seed3408,A,3408,final_valid,interaction,0,0,0,0,NO_MATERIAL_RETENTION_LOSS_SUPPORTED,3,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
D0-D_MASK_PADDING_SENSITIVITY,A_seed3408,A,3408,masked_mean,longitudinal,3,0,3,0,COORDINATE_GEOMETRY_SHIFT_FAVORED,3,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
D0-D_MASK_PADDING_SENSITIVITY,A_seed3408,A,3408,masked_mean,lateral,0,0,0,0,NO_MATERIAL_RETENTION_LOSS_SUPPORTED,3,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
D0-D_MASK_PADDING_SENSITIVITY,A_seed3408,A,3408,masked_mean,interaction,0,0,0,1,NO_MATERIAL_RETENTION_LOSS_SUPPORTED,3,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
D0-D_MASK_PADDING_SENSITIVITY,A_seed3409,A,3409,final_valid,longitudinal,0,0,0,0,NO_MATERIAL_RETENTION_LOSS_SUPPORTED,3,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
D0-D_MASK_PADDING_SENSITIVITY,A_seed3409,A,3409,final_valid,lateral,0,0,0,0,NO_MATERIAL_RETENTION_LOSS_SUPPORTED,3,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
D0-D_MASK_PADDING_SENSITIVITY,A_seed3409,A,3409,final_valid,interaction,0,0,0,1,NO_MATERIAL_RETENTION_LOSS_SUPPORTED,3,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
D0-D_MASK_PADDING_SENSITIVITY,A_seed3409,A,3409,masked_mean,longitudinal,3,0,3,0,COORDINATE_GEOMETRY_SHIFT_FAVORED,3,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
D0-D_MASK_PADDING_SENSITIVITY,A_seed3409,A,3409,masked_mean,lateral,2,0,2,0,COORDINATE_GEOMETRY_SHIFT_FAVORED,3,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
D0-D_MASK_PADDING_SENSITIVITY,A_seed3409,A,3409,masked_mean,interaction,2,0,2,2,MIXED_OR_UNRESOLVED,3,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
D0-D_MASK_PADDING_SENSITIVITY,B_seed3407,B,3407,final_valid,longitudinal,0,0,0,2,MIXED_OR_UNRESOLVED,3,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
D0-D_MASK_PADDING_SENSITIVITY,B_seed3407,B,3407,final_valid,lateral,2,0,2,0,COORDINATE_GEOMETRY_SHIFT_FAVORED,3,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
D0-D_MASK_PADDING_SENSITIVITY,B_seed3407,B,3407,final_valid,interaction,1,0,1,0,NO_MATERIAL_RETENTION_LOSS_SUPPORTED,3,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
D0-D_MASK_PADDING_SENSITIVITY,B_seed3407,B,3407,masked_mean,longitudinal,3,0,3,2,MIXED_OR_UNRESOLVED,3,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
D0-D_MASK_PADDING_SENSITIVITY,B_seed3407,B,3407,masked_mean,lateral,2,0,2,0,COORDINATE_GEOMETRY_SHIFT_FAVORED,3,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
D0-D_MASK_PADDING_SENSITIVITY,B_seed3407,B,3407,masked_mean,interaction,1,0,1,0,NO_MATERIAL_RETENTION_LOSS_SUPPORTED,3,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
D0-D_MASK_PADDING_SENSITIVITY,B_seed3408,B,3408,final_valid,longitudinal,0,0,0,2,MIXED_OR_UNRESOLVED,3,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
D0-D_MASK_PADDING_SENSITIVITY,B_seed3408,B,3408,final_valid,lateral,0,0,0,0,NO_MATERIAL_RETENTION_LOSS_SUPPORTED,3,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
D0-D_MASK_PADDING_SENSITIVITY,B_seed3408,B,3408,final_valid,interaction,0,0,0,0,NO_MATERIAL_RETENTION_LOSS_SUPPORTED,3,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
D0-D_MASK_PADDING_SENSITIVITY,B_seed3408,B,3408,masked_mean,longitudinal,3,0,3,1,COORDINATE_GEOMETRY_SHIFT_FAVORED,3,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
D0-D_MASK_PADDING_SENSITIVITY,B_seed3408,B,3408,masked_mean,lateral,1,0,1,0,NO_MATERIAL_RETENTION_LOSS_SUPPORTED,3,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
D0-D_MASK_PADDING_SENSITIVITY,B_seed3408,B,3408,masked_mean,interaction,1,0,1,0,NO_MATERIAL_RETENTION_LOSS_SUPPORTED,3,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
D0-D_MASK_PADDING_SENSITIVITY,B_seed3409,B,3409,final_valid,longitudinal,1,0,1,0,NO_MATERIAL_RETENTION_LOSS_SUPPORTED,3,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
D0-D_MASK_PADDING_SENSITIVITY,B_seed3409,B,3409,final_valid,lateral,1,0,1,0,NO_MATERIAL_RETENTION_LOSS_SUPPORTED,3,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
D0-D_MASK_PADDING_SENSITIVITY,B_seed3409,B,3409,final_valid,interaction,0,0,0,0,NO_MATERIAL_RETENTION_LOSS_SUPPORTED,3,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
D0-D_MASK_PADDING_SENSITIVITY,B_seed3409,B,3409,masked_mean,longitudinal,3,1,3,2,MIXED_OR_UNRESOLVED,3,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
D0-D_MASK_PADDING_SENSITIVITY,B_seed3409,B,3409,masked_mean,lateral,1,0,1,0,NO_MATERIAL_RETENTION_LOSS_SUPPORTED,3,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
D0-D_MASK_PADDING_SENSITIVITY,B_seed3409,B,3409,masked_mean,interaction,1,1,1,1,NO_MATERIAL_RETENTION_LOSS_SUPPORTED,3,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
D0-D_MASK_PADDING_SENSITIVITY,C_seed3407,C,3407,final_valid,longitudinal,2,0,2,3,MIXED_OR_UNRESOLVED,3,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
D0-D_MASK_PADDING_SENSITIVITY,C_seed3407,C,3407,final_valid,lateral,0,0,1,1,MIXED_OR_UNRESOLVED,3,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
D0-D_MASK_PADDING_SENSITIVITY,C_seed3407,C,3407,final_valid,interaction,0,0,0,0,NO_MATERIAL_RETENTION_LOSS_SUPPORTED,3,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
D0-D_MASK_PADDING_SENSITIVITY,C_seed3407,C,3407,masked_mean,longitudinal,3,0,3,3,MIXED_OR_UNRESOLVED,3,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
D0-D_MASK_PADDING_SENSITIVITY,C_seed3407,C,3407,masked_mean,lateral,2,0,2,1,MIXED_OR_UNRESOLVED,3,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
D0-D_MASK_PADDING_SENSITIVITY,C_seed3407,C,3407,masked_mean,interaction,2,0,2,0,COORDINATE_GEOMETRY_SHIFT_FAVORED,3,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
D0-D_MASK_PADDING_SENSITIVITY,C_seed3408,C,3408,final_valid,longitudinal,0,0,0,1,NO_MATERIAL_RETENTION_LOSS_SUPPORTED,3,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
D0-D_MASK_PADDING_SENSITIVITY,C_seed3408,C,3408,final_valid,lateral,0,0,0,0,NO_MATERIAL_RETENTION_LOSS_SUPPORTED,3,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
D0-D_MASK_PADDING_SENSITIVITY,C_seed3408,C,3408,final_valid,interaction,0,0,0,0,NO_MATERIAL_RETENTION_LOSS_SUPPORTED,3,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
D0-D_MASK_PADDING_SENSITIVITY,C_seed3408,C,3408,masked_mean,longitudinal,3,0,3,3,MIXED_OR_UNRESOLVED,3,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
D0-D_MASK_PADDING_SENSITIVITY,C_seed3408,C,3408,masked_mean,lateral,2,0,2,0,COORDINATE_GEOMETRY_SHIFT_FAVORED,3,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
D0-D_MASK_PADDING_SENSITIVITY,C_seed3408,C,3408,masked_mean,interaction,0,0,0,0,NO_MATERIAL_RETENTION_LOSS_SUPPORTED,3,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
D0-D_MASK_PADDING_SENSITIVITY,C_seed3409,C,3409,final_valid,longitudinal,2,0,2,1,COORDINATE_GEOMETRY_SHIFT_FAVORED,3,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
D0-D_MASK_PADDING_SENSITIVITY,C_seed3409,C,3409,final_valid,lateral,0,0,0,2,MIXED_OR_UNRESOLVED,3,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
D0-D_MASK_PADDING_SENSITIVITY,C_seed3409,C,3409,final_valid,interaction,0,1,0,1,NO_MATERIAL_RETENTION_LOSS_SUPPORTED,3,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
D0-D_MASK_PADDING_SENSITIVITY,C_seed3409,C,3409,masked_mean,longitudinal,3,0,3,3,MIXED_OR_UNRESOLVED,3,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
D0-D_MASK_PADDING_SENSITIVITY,C_seed3409,C,3409,masked_mean,lateral,2,0,2,0,COORDINATE_GEOMETRY_SHIFT_FAVORED,3,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
D0-D_MASK_PADDING_SENSITIVITY,C_seed3409,C,3409,masked_mean,interaction,0,0,0,0,NO_MATERIAL_RETENTION_LOSS_SUPPORTED,3,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
