roster_position,scenario_token,log_name,LAT.LANE_CHANGE,LAT.DYNAMICS,official_scenario_types_json,task_mask_definition_version,selection_timing
11,890dd94334685862,2021.09.10.17.09.03_veh-42_00818_01092,True,True,"[""following_lane_without_lead"",""high_magnitude_speed""]",stage7l_c2_pretreatment_task_masks_v1,pre_treatment
12,fd799ac5de4157bf,2021.09.30.13.08.26_veh-44_00797_01137,True,True,"[""following_lane_without_lead"",""high_magnitude_speed""]",stage7l_c2_pretreatment_task_masks_v1,pre_treatment
13,36e5f4f7533c55df,2021.08.23.14.27.31_veh-45_02387_02641,True,False,[],stage7l_c2_pretreatment_task_masks_v1,pre_treatment
14,78a6e2705fbb5d89,2021.09.28.16.09.49_veh-44_01006_01236,True,False,[],stage7l_c2_pretreatment_task_masks_v1,pre_treatment
15,d29e90ca6c39561b,2021.09.28.13.24.06_veh-44_02759_02879,True,False,[],stage7l_c2_pretreatment_task_masks_v1,pre_treatment
16,375853cf152654fa,2021.09.21.17.53.12_veh-08_00363_00445,True,True,"[""high_magnitude_speed""]",stage7l_c2_pretreatment_task_masks_v1,pre_treatment
17,38c31c1e83db5dd0,2021.09.20.14.38.07_veh-42_00760_00955,True,False,[],stage7l_c2_pretreatment_task_masks_v1,pre_treatment
18,3d48e012a51655ca,2021.08.17.14.45.12_veh-42_00542_00803,True,False,"[""following_lane_without_lead""]",stage7l_c2_pretreatment_task_masks_v1,pre_treatment
19,9b5db1520c74575e,2021.09.21.20.37.06_veh-45_01696_01802,True,True,"[""following_lane_without_lead"",""high_magnitude_speed""]",stage7l_c2_pretreatment_task_masks_v1,pre_treatment
20,c8eeb806cc7357e8,2021.08.17.16.57.11_veh-08_00354_01167,True,False,"[""near_long_vehicle""]",stage7l_c2_pretreatment_task_masks_v1,pre_treatment
21,2abe68357707569d,2021.09.20.13.46.45_veh-42_00401_00526,True,True,"[""following_lane_without_lead"",""high_magnitude_speed""]",stage7l_c2_pretreatment_task_masks_v1,pre_treatment
22,45be046d7b295c3d,2021.08.25.18.07.15_veh-45_00805_01036,True,True,"[""following_lane_without_lead"",""high_magnitude_speed""]",stage7l_c2_pretreatment_task_masks_v1,pre_treatment
23,066b292188f45a35,2021.09.17.17.36.45_veh-45_00338_00529,True,True,"[""high_magnitude_speed""]",stage7l_c2_pretreatment_task_masks_v1,pre_treatment
24,955250694a575f0e,2021.08.23.12.37.38_veh-45_02654_02741,True,False,[],stage7l_c2_pretreatment_task_masks_v1,pre_treatment
25,8b3d4b913ffb5f47,2021.09.17.20.30.55_veh-08_02379_02544,True,False,[],stage7l_c2_pretreatment_task_masks_v1,pre_treatment
26,8458114afc475926,2021.10.01.18.57.27_veh-44_00240_00661,True,False,[],stage7l_c2_pretreatment_task_masks_v1,pre_treatment
27,5596bed0e8f75e0e,2021.09.10.17.09.03_veh-42_01128_02369,True,True,"[""following_lane_without_lead"",""high_magnitude_speed""]",stage7l_c2_pretreatment_task_masks_v1,pre_treatment
28,2951a99500f554dd,2021.08.27.16.46.47_veh-45_00830_00910,True,False,[],stage7l_c2_pretreatment_task_masks_v1,pre_treatment
29,49dc1f4899c850c9,2021.08.27.14.14.40_veh-45_02267_02937,True,True,"[""following_lane_without_lead"",""high_magnitude_speed""]",stage7l_c2_pretreatment_task_masks_v1,pre_treatment
30,a0c39a745ed35aa4,2021.08.30.13.47.20_veh-08_01171_01317,True,True,"[""following_lane_without_lead"",""high_magnitude_speed""]",stage7l_c2_pretreatment_task_masks_v1,pre_treatment
31,cab8b79c488d59f0,2021.09.17.14.16.24_veh-45_02378_02497,True,True,"[""medium_magnitude_speed""]",stage7l_c2_pretreatment_task_masks_v1,pre_treatment
32,0eb3ca0a0f62531d,2021.09.17.18.42.25_veh-08_00029_00784,True,False,[],stage7l_c2_pretreatment_task_masks_v1,pre_treatment
33,dac99e085cc75ad3,2021.09.03.14.16.10_veh-08_01016_01133,True,False,[],stage7l_c2_pretreatment_task_masks_v1,pre_treatment
34,1523608443ff50e5,2021.09.15.14.30.33_veh-42_03011_03336,True,True,"[""medium_magnitude_speed""]",stage7l_c2_pretreatment_task_masks_v1,pre_treatment
35,0311254785735494,2021.08.23.13.17.08_veh-42_01731_01885,True,False,[],stage7l_c2_pretreatment_task_masks_v1,pre_treatment
36,da8e79c833175e59,2021.08.25.18.07.15_veh-45_01930_02011,True,False,[],stage7l_c2_pretreatment_task_masks_v1,pre_treatment
37,e9bccded492a5376,2021.08.25.18.29.43_veh-42_00791_00888,True,True,"[""high_magnitude_speed""]",stage7l_c2_pretreatment_task_masks_v1,pre_treatment
38,eae9f47b36bc5766,2021.10.01.12.54.53_veh-44_02651_03095,True,False,[],stage7l_c2_pretreatment_task_masks_v1,pre_treatment
39,f26c910b90b459a4,2021.09.28.16.09.49_veh-44_00389_00715,True,False,"[""following_lane_without_lead""]",stage7l_c2_pretreatment_task_masks_v1,pre_treatment
40,29ef8ded09a4547f,2021.08.26.15.12.21_veh-42_00210_00292,True,False,"[""following_lane_without_lead""]",stage7l_c2_pretreatment_task_masks_v1,pre_treatment
41,95c148bcf8a95a5f,2021.09.28.13.24.06_veh-44_00726_01083,True,False,[],stage7l_c2_pretreatment_task_masks_v1,pre_treatment
42,daa6388eba7d5b61,2021.09.20.12.58.53_veh-42_01902_02217,True,True,"[""high_magnitude_speed""]",stage7l_c2_pretreatment_task_masks_v1,pre_treatment
43,4a076ab93fc05c32,2021.09.10.13.58.49_veh-42_02196_02443,True,False,[],stage7l_c2_pretreatment_task_masks_v1,pre_treatment
44,d1941795bed356f2,2021.09.17.14.49.23_veh-42_01352_01463,True,False,"[""following_lane_without_lead""]",stage7l_c2_pretreatment_task_masks_v1,pre_treatment
45,5f79382136365f15,2021.09.27.18.51.35_veh-44_02009_02370,True,True,"[""high_magnitude_speed""]",stage7l_c2_pretreatment_task_masks_v1,pre_treatment
46,e0ba11f350b65ea4,2021.08.27.13.08.25_veh-42_00112_00352,True,True,"[""following_lane_without_lead"",""high_magnitude_speed""]",stage7l_c2_pretreatment_task_masks_v1,pre_treatment
47,c387e4fde4d15a95,2021.08.30.13.08.03_veh-08_00741_01280,True,True,"[""high_magnitude_speed""]",stage7l_c2_pretreatment_task_masks_v1,pre_treatment
48,f4b02c14bad35835,2021.09.28.13.24.06_veh-44_01757_01977,True,False,"[""following_lane_without_lead""]",stage7l_c2_pretreatment_task_masks_v1,pre_treatment
49,9f6628975b235ada,2021.08.27.13.48.56_veh-08_02322_02550,True,False,"[""following_lane_without_lead""]",stage7l_c2_pretreatment_task_masks_v1,pre_treatment
50,690c74a98aef5d91,2021.09.17.14.16.10_veh-42_00351_00579,True,False,[],stage7l_c2_pretreatment_task_masks_v1,pre_treatment
51,aab0443b21ff5e77,2021.09.15.13.06.21_veh-42_00169_00749,True,True,"[""following_lane_without_lead"",""high_magnitude_speed""]",stage7l_c2_pretreatment_task_masks_v1,pre_treatment
52,7d71488b79f95e5e,2021.09.30.17.20.14_veh-44_00665_01476,True,False,[],stage7l_c2_pretreatment_task_masks_v1,pre_treatment
53,b1c8afd8bf7b5d2e,2021.08.25.14.46.50_veh-45_01467_01688,True,False,"[""following_lane_without_lead""]",stage7l_c2_pretreatment_task_masks_v1,pre_treatment
54,bffc163f06bb55d9,2021.08.27.14.24.38_veh-42_00262_00839,True,True,"[""following_lane_without_lead"",""high_magnitude_speed""]",stage7l_c2_pretreatment_task_masks_v1,pre_treatment
55,7a8c3fc9217c54ac,2021.08.26.14.34.54_veh-08_01772_02335,True,True,"[""following_lane_without_lead"",""high_magnitude_speed""]",stage7l_c2_pretreatment_task_masks_v1,pre_treatment
56,f032b5cd5a465a1d,2021.09.10.14.26.51_veh-45_00718_01060,True,True,"[""following_lane_without_lead"",""high_magnitude_speed""]",stage7l_c2_pretreatment_task_masks_v1,pre_treatment
57,551549247f945403,2021.09.15.14.30.33_veh-42_01821_01974,True,True,"[""high_magnitude_speed""]",stage7l_c2_pretreatment_task_masks_v1,pre_treatment
58,11d17e185bac578e,2021.09.15.13.26.07_veh-45_00278_00999,True,True,"[""following_lane_without_lead"",""high_magnitude_speed""]",stage7l_c2_pretreatment_task_masks_v1,pre_treatment
59,5355cecc091b5b4f,2021.08.23.13.17.08_veh-42_02282_02392,True,False,[],stage7l_c2_pretreatment_task_masks_v1,pre_treatment
60,c90a7ebe48fe58c3,2021.09.28.15.17.00_veh-44_01916_02112,True,False,[],stage7l_c2_pretreatment_task_masks_v1,pre_treatment
61,cfd594aaf5045ef8,2021.09.03.17.02.10_veh-42_00363_00477,True,False,[],stage7l_c2_pretreatment_task_masks_v1,pre_treatment
62,afe5556da59c56c9,2021.08.23.12.33.24_veh-42_00864_01009,True,False,[],stage7l_c2_pretreatment_task_masks_v1,pre_treatment
63,c99a0c81086f5758,2021.09.30.17.20.14_veh-44_00422_00647,True,True,"[""following_lane_without_lead"",""high_magnitude_speed""]",stage7l_c2_pretreatment_task_masks_v1,pre_treatment
64,9c3c82db437256b4,2021.08.26.14.34.54_veh-08_00055_00161,True,False,"[""following_lane_without_lead""]",stage7l_c2_pretreatment_task_masks_v1,pre_treatment
65,507fd13a052959c8,2021.09.28.13.24.06_veh-44_01995_02739,True,False,[],stage7l_c2_pretreatment_task_masks_v1,pre_treatment
66,399c6c57b34359a5,2021.08.17.13.15.12_veh-45_00324_00489,True,True,"[""following_lane_without_lead"",""high_magnitude_speed""]",stage7l_c2_pretreatment_task_masks_v1,pre_treatment
67,9d978f9b3b7750cd,2021.09.21.20.04.35_veh-08_01935_02511,True,False,[],stage7l_c2_pretreatment_task_masks_v1,pre_treatment
68,48533dc814cf5e70,2021.09.28.14.23.32_veh-44_00888_01058,True,False,"[""following_lane_without_lead""]",stage7l_c2_pretreatment_task_masks_v1,pre_treatment
69,a2be561a3e5c532c,2021.09.09.19.17.35_veh-42_01051_01399,True,True,"[""high_magnitude_speed""]",stage7l_c2_pretreatment_task_masks_v1,pre_treatment
70,e595bfc4d71e5254,2021.08.23.13.17.08_veh-42_00276_00400,True,True,"[""following_lane_without_lead"",""high_magnitude_speed""]",stage7l_c2_pretreatment_task_masks_v1,pre_treatment
71,4f6088e90ebe5b45,2021.08.27.16.46.47_veh-45_02244_02729,True,True,"[""following_lane_without_lead"",""high_magnitude_speed""]",stage7l_c2_pretreatment_task_masks_v1,pre_treatment
72,3cbbbcb8102e573b,2021.08.25.17.17.57_veh-42_00327_01003,True,False,[],stage7l_c2_pretreatment_task_masks_v1,pre_treatment
73,ba8b92be379a5bec,2021.09.10.17.09.03_veh-42_00116_00277,True,False,[],stage7l_c2_pretreatment_task_masks_v1,pre_treatment
74,5d4b45a2ebad56be,2021.08.20.17.54.47_veh-45_01855_02076,True,True,"[""following_lane_without_lead"",""high_magnitude_speed""]",stage7l_c2_pretreatment_task_masks_v1,pre_treatment
75,d606843a395256bb,2021.09.23.13.07.52_veh-45_00951_01100,True,True,"[""medium_magnitude_speed""]",stage7l_c2_pretreatment_task_masks_v1,pre_treatment
76,0ec04a3455765f80,2021.08.23.18.22.47_veh-45_02267_02767,True,False,[],stage7l_c2_pretreatment_task_masks_v1,pre_treatment
77,b8376b8c8d435190,2021.08.27.14.37.47_veh-08_00986_01258,True,False,[],stage7l_c2_pretreatment_task_masks_v1,pre_treatment
78,ad3567e408e3523e,2021.09.13.18.55.23_veh-45_02099_02822,True,True,"[""following_lane_without_lead"",""high_magnitude_speed""]",stage7l_c2_pretreatment_task_masks_v1,pre_treatment
79,d02c23f0d3875202,2021.08.20.16.40.09_veh-45_01463_01693,True,False,"[""following_lane_without_lead""]",stage7l_c2_pretreatment_task_masks_v1,pre_treatment
80,d13d4fd5d0055b7e,2021.10.01.17.28.18_veh-44_00212_00444,True,False,"[""following_lane_without_lead""]",stage7l_c2_pretreatment_task_masks_v1,pre_treatment
