candidate_rank,selection_hash,session_id,scenario_token,exposure_class,decision,reason
36,9e07e3808093d99953a817aec3a6a7691964fc7287fd44e72a218fb3eb890c04,2021.09.13.18.55.23_veh-45,a1903899a7955289,E2_BENCHMARK_ENGINEERING,STATIC_B1_CONTEXT_INCOMPATIBLE,ValueError:OFFICIAL_MAP_LANE_AMBIGUITY_FAIL_CLOSED
37,9eda1b4ef188dc7926085722fec5ed7cd7f039c6b92bbd54fe40f5721c88adc8,2021.09.17.14.49.23_veh-42,9fe700abf47057f0,E2_BENCHMARK_ENGINEERING,SELECTED,
38,a3f0eadc27707f430961167c26e5972d9d5b848261c5c3d27968b85a7fe03a78,2021.09.28.18.22.59_veh-44,033fb29bdcaf5474,E2_BENCHMARK_ENGINEERING,STATIC_B1_CONTEXT_INCOMPATIBLE,ValueError:OFFICIAL_MAP_LANE_AMBIGUITY_FAIL_CLOSED
39,a5edecc49af063625ace8aa207284b1b437084209ceb659ec59392d6129efcab,2021.09.02.12.54.17_veh-08,bfd94d40dbf85a88,E2_BENCHMARK_ENGINEERING,STATIC_B1_CONTEXT_INCOMPATIBLE,ValueError:OFFICIAL_MAP_LANE_AMBIGUITY_FAIL_CLOSED
40,a9afb76767d247ee12c46358d9cdb18057a1e522c2e1b49f2b2589ab2c384d97,2021.08.27.14.14.40_veh-45,fdc4182015855898,E2_BENCHMARK_ENGINEERING,STATIC_B1_CONTEXT_INCOMPATIBLE,ValueError:OFFICIAL_MAP_LANE_AMBIGUITY_FAIL_CLOSED
41,aa23f5e17465579866560e0a28c62693a5207b3a8f261905f12c87a2b41763d6,2021.09.03.16.38.35_veh-08,dc276862ba4a5f1f,E2_BENCHMARK_ENGINEERING,STATIC_B1_CONTEXT_INCOMPATIBLE,ValueError:OFFICIAL_MAP_LANE_AMBIGUITY_FAIL_CLOSED
42,bad05ef0c6f33215a08f75f42e6e86dd89e7b5199cecfa5ce504cd563df99ad5,2021.08.26.17.14.36_veh-08,218e05d7125e5d96,E2_BENCHMARK_ENGINEERING,STATIC_B1_CONTEXT_INCOMPATIBLE,ValueError:OFFICIAL_MAP_LANE_AMBIGUITY_FAIL_CLOSED
43,bc3c8012b5849a9c1cabe20d452cd92dea5ec95fa5da6ecccd8f9fca64f5b925,2021.08.25.13.09.17_veh-08,821e9cb59afe5cfc,E2_BENCHMARK_ENGINEERING,STATIC_B1_CONTEXT_INCOMPATIBLE,ValueError:OFFICIAL_MAP_LANE_AMBIGUITY_FAIL_CLOSED
44,bec49477a8243d86a5307977d34a5ea3e658bba6667a2e36ad168073dc9ad57f,2021.09.23.14.44.24_veh-45,0806bd818a025b1b,E2_BENCHMARK_ENGINEERING,STATIC_B1_CONTEXT_INCOMPATIBLE,ValueError:OFFICIAL_MAP_LANE_AMBIGUITY_FAIL_CLOSED
45,bf620cae46b81121b1247d606c6f4bff05b520cfc309a3176f920ebef65c8d93,2021.09.21.17.53.12_veh-08,c16482c330895d07,E2_BENCHMARK_ENGINEERING,STATIC_B1_CONTEXT_INCOMPATIBLE,ValueError:OFFICIAL_MAP_LANE_AMBIGUITY_FAIL_CLOSED
46,c2908e27244b3fdc5e70bd5296b0055fc32c3f5d7f84af810c49b1b8807c9138,2021.08.23.14.27.31_veh-45,71b1e48986945289,E2_BENCHMARK_ENGINEERING,STATIC_B1_CONTEXT_INCOMPATIBLE,ValueError:OFFICIAL_MAP_LANE_AMBIGUITY_FAIL_CLOSED
47,c2b2ea3a29c9840d77f0d622c803125e6b0cd71f7220af389fef5c2ea33c90bb,2021.09.03.14.16.10_veh-08,6047a409901056ce,E2_BENCHMARK_ENGINEERING,SELECTED,
48,c82ba7aaff97b3b95ca9c5d5b617346a74690868eafee0befed96a44e337a0ea,2021.08.30.14.29.08_veh-45,764030fccd5b534c,E2_BENCHMARK_ENGINEERING,STATIC_B1_CONTEXT_INCOMPATIBLE,ValueError:OFFICIAL_MAP_LANE_AMBIGUITY_FAIL_CLOSED
49,c91072794043d4b626a9aa66604ccbdd3345dc487aabff7a8fa162dc408eed67,2021.08.31.14.55.32_veh-08,f2a6464a51905766,E2_BENCHMARK_ENGINEERING,STATIC_B1_CONTEXT_INCOMPATIBLE,ValueError:OFFICIAL_MAP_LANE_AMBIGUITY_FAIL_CLOSED
50,cb50edb1f04cfa79a9562de96d34ef8b6c42af125a2e46b4fa50ae1f15e1f6cf,2021.08.20.16.40.09_veh-45,15e8e80432dc5b3b,E2_BENCHMARK_ENGINEERING,STATIC_B1_CONTEXT_INCOMPATIBLE,ValueError:OFFICIAL_MAP_LANE_AMBIGUITY_FAIL_CLOSED
51,cbbe9d3bd7f6dbedb8ac7758d0abe42dbe37ea3491bb85398298f682788ddc7a,2021.09.28.14.23.32_veh-44,9e57714805a253f5,E2_BENCHMARK_ENGINEERING,STATIC_B1_CONTEXT_INCOMPATIBLE,ValueError:OFFICIAL_MAP_LANE_AMBIGUITY_FAIL_CLOSED
52,ce18b0e10f4f39120d92a0857be9889f054e3663e6b4aafa9a204003b6431a8a,2021.08.17.13.10.50_veh-08,1b62357f0af159f2,E2_BENCHMARK_ENGINEERING,SELECTED,
53,ce51c24a0d295858785a4438405b094b3b9fbbfe8d9691751a37150c52349e2a,2021.09.07.13.06.36_veh-42,b4d91b51e3715360,E2_BENCHMARK_ENGINEERING,STATIC_B1_CONTEXT_INCOMPATIBLE,ValueError:OFFICIAL_MAP_LANE_AMBIGUITY_FAIL_CLOSED
54,d1fd747dfb29d37013a6b712ebd775c48c0eda8b805e335b68d6783c69b98729,2021.09.28.18.57.35_veh-44,b2ffac16a91a5dc6,E2_BENCHMARK_ENGINEERING,STATIC_B1_CONTEXT_INCOMPATIBLE,ValueError:OFFICIAL_MAP_LANE_AMBIGUITY_FAIL_CLOSED
55,d3175adb476738d70b017240025df0fe9bb1d97c4dbe0683be20f997125c542f,2021.08.23.17.20.10_veh-45,2dc6aa6afd2d5eff,E2_BENCHMARK_ENGINEERING,STATIC_B1_CONTEXT_INCOMPATIBLE,ValueError:OFFICIAL_MAP_LANE_AMBIGUITY_FAIL_CLOSED
56,d4e06ab38ef2ec3f81eaf51b5cc37af360c945db3d7eb4ce0712f49da42c158b,2021.08.25.14.46.50_veh-45,355873ebea165a98,E2_BENCHMARK_ENGINEERING,STATIC_B1_CONTEXT_INCOMPATIBLE,ValueError:OFFICIAL_MAP_LANE_AMBIGUITY_FAIL_CLOSED
57,ebfafd298831584f438a5385d7d55c5292cb0f996192eb22c33a7d5b0b3e3ccd,2021.08.20.18.44.47_veh-08,6d45542ba9a35e59,E2_BENCHMARK_ENGINEERING,STATIC_B1_CONTEXT_INCOMPATIBLE,ValueError:OFFICIAL_MAP_LANE_AMBIGUITY_FAIL_CLOSED
58,f223d0c7907549ac9df2f654323f04ce0918713b8fada5988c61dc92f6dbccc6,2021.08.19.19.03.27_veh-45,4459774f0b375c7e,E2_BENCHMARK_ENGINEERING,STATIC_B1_CONTEXT_INCOMPATIBLE,ValueError:OFFICIAL_MAP_LANE_AMBIGUITY_FAIL_CLOSED
59,f6474030b383122a9239e5121efdbe30558963188b43edad1d4ccc3fcfe6c7a4,2021.08.25.20.03.37_veh-45,5b7bddc9f0b55823,E2_BENCHMARK_ENGINEERING,SELECTED,
60,f8de132529d96b6c31ae735c0633ef0955da792b4e221067097473f3db11148e,2021.09.20.17.42.50_veh-08,2aaa876730875879,E2_BENCHMARK_ENGINEERING,SELECTED,
61,fa2fe544f8d797af775abb1d02575751b8ffd84e099a9d83fe6fa69a91016392,2021.09.23.13.07.52_veh-45,92642617344d549f,E2_BENCHMARK_ENGINEERING,STATIC_B1_CONTEXT_INCOMPATIBLE,ValueError:OFFICIAL_MAP_LANE_AMBIGUITY_FAIL_CLOSED
62,fc85f683df1d084f3d1fd5635e47fd03f5e34904df0484a47c693526c916a352,2021.10.01.18.57.27_veh-44,a8946c565c575c3e,E2_BENCHMARK_ENGINEERING,STATIC_B1_CONTEXT_INCOMPATIBLE,ValueError:OFFICIAL_MAP_LANE_AMBIGUITY_FAIL_CLOSED
63,00472cfe5119bfe9d47e3323b8a9e07e12aa213dec19a4e602919f69e496dd0e,2021.10.01.14.49.24_veh-44,d30cf3c8b6a95b48,E1_UNRELATED_HISTORICAL_USE,STATIC_B1_CONTEXT_INCOMPATIBLE,ValueError:OFFICIAL_MAP_LANE_AMBIGUITY_FAIL_CLOSED
64,011f5f378083dc43170e72b819ecfe378d61b9841f149745c8e23e1e863a8947,2021.09.23.18.57.19_veh-45,ee90ac7c238d5336,E1_UNRELATED_HISTORICAL_USE,STATIC_B1_CONTEXT_INCOMPATIBLE,ValueError:OFFICIAL_MAP_LANE_AMBIGUITY_FAIL_CLOSED
65,012a500acab56cd730f4598b120cd9e2fd93dbd57c076f4347cd152255c99b88,2021.08.23.18.16.02_veh-42,ebf90b5ce0f15ff3,E1_UNRELATED_HISTORICAL_USE,STATIC_B1_CONTEXT_INCOMPATIBLE,ValueError:OFFICIAL_MAP_LANE_AMBIGUITY_FAIL_CLOSED
66,05794757911ff475d2a71f7adb1aa8b2ea370aca90df33c9034e25022a317518,2021.09.17.20.31.03_veh-45,6bd95fd9312752e3,E1_UNRELATED_HISTORICAL_USE,STATIC_B1_CONTEXT_INCOMPATIBLE,ValueError:OFFICIAL_MAP_LANE_AMBIGUITY_FAIL_CLOSED
67,0749d4ecf35ab2bea118f7c803fe57f5382957b9234d3eff4f9711ee70047ef7,2021.08.23.20.15.12_veh-45,2696f7d0ff87504c,E1_UNRELATED_HISTORICAL_USE,STATIC_B1_CONTEXT_INCOMPATIBLE,ValueError:OFFICIAL_MAP_LANE_AMBIGUITY_FAIL_CLOSED
68,09d956d55ce6a0ca5a06215f0672788553a41d7935eb1b79f327b183ab8a7bad,2021.06.14.18.42.45_veh-12,b3c6c44e95045321,E1_UNRELATED_HISTORICAL_USE,STATIC_B1_CONTEXT_INCOMPATIBLE,ValueError:OFFICIAL_MAP_LANE_AMBIGUITY_FAIL_CLOSED
69,0e3ca0ee761cdf8ab64bd203dca4e86eb5293d50151a29cd95f49c61d3b44f68,2021.09.23.17.03.56_veh-45,4fbf9c1eca615a6b,E1_UNRELATED_HISTORICAL_USE,STATIC_B1_CONTEXT_INCOMPATIBLE,ValueError:OFFICIAL_MAP_LANE_AMBIGUITY_FAIL_CLOSED
70,0fae95f2b55e607e297de5683dc48929c97056727117dbc7d20ba240a749ff22,2021.09.20.19.38.32_veh-08,2e50d6a6cd49598a,E1_UNRELATED_HISTORICAL_USE,STATIC_B1_CONTEXT_INCOMPATIBLE,ValueError:OFFICIAL_MAP_LANE_AMBIGUITY_FAIL_CLOSED
71,0fe4da4db3d4951f93fad969ff4fc756843a6891286301483a7e163b6b6dbf47,2021.10.01.14.16.29_veh-44,ab3a5fa1cbf65ff9,E1_UNRELATED_HISTORICAL_USE,STATIC_B1_CONTEXT_INCOMPATIBLE,ValueError:OFFICIAL_MAP_LANE_AMBIGUITY_FAIL_CLOSED
72,150f5aa3aa206fb4247a89a5a908b166089d066aeb155c5d4494bf59888e5ca2,2021.08.17.13.15.12_veh-45,f22d3eb465355897,E1_UNRELATED_HISTORICAL_USE,STATIC_B1_CONTEXT_INCOMPATIBLE,ValueError:OFFICIAL_MAP_LANE_AMBIGUITY_FAIL_CLOSED
73,15695f6718d0afbb37a2384483c96728ca3ec0f6fcdf3a8fba663d134c1bd086,2021.08.20.13.00.37_veh-08,b0df10d6df5e55c9,E1_UNRELATED_HISTORICAL_USE,STATIC_B1_CONTEXT_INCOMPATIBLE,ValueError:OFFICIAL_MAP_LANE_AMBIGUITY_FAIL_CLOSED
74,18a443f569beaa35130a97d4a9d295bc5ce4bbf84660027a17d377126a844419,2021.08.25.19.30.22_veh-08,5088b5a2ddc1532f,E1_UNRELATED_HISTORICAL_USE,STATIC_B1_CONTEXT_INCOMPATIBLE,ValueError:OFFICIAL_MAP_LANE_AMBIGUITY_FAIL_CLOSED
75,198c1c85e45d04a788aa37c85b618e4948efb0d0732f7b982550ad830df05226,2021.06.03.13.55.17_veh-35,6702b69f3e2e50b0,E1_UNRELATED_HISTORICAL_USE,STATIC_B1_CONTEXT_INCOMPATIBLE,ValueError:OFFICIAL_MAP_LANE_AMBIGUITY_FAIL_CLOSED
76,19aa5c92bf45f031ea9a75e7a3022711db753531b4c56ddafaca4d838fe5d2da,2021.09.23.13.54.40_veh-45,102397d06bdb59aa,E1_UNRELATED_HISTORICAL_USE,STATIC_B1_CONTEXT_INCOMPATIBLE,ValueError:OFFICIAL_MAP_LANE_AMBIGUITY_FAIL_CLOSED
77,1ab6e46f1200f9534794cdc9665e92ef045b6b3decae957f335f571dedf06f2b,2021.09.20.14.38.07_veh-42,e7e2a835cd3058e3,E1_UNRELATED_HISTORICAL_USE,STATIC_B1_CONTEXT_INCOMPATIBLE,ValueError:OFFICIAL_MAP_LANE_AMBIGUITY_FAIL_CLOSED
78,1dc4672ddabdd970d2adae754ab29c28fb72c25aeadfe654bc45f6a7f4067600,2021.09.09.20.07.29_veh-42,54018051607c55ce,E1_UNRELATED_HISTORICAL_USE,STATIC_B1_CONTEXT_INCOMPATIBLE,ValueError:OFFICIAL_MAP_LANE_AMBIGUITY_FAIL_CLOSED
79,1e7c66f8e0f525dc8e91ccc708d9be19d690518b3447f0515ecc6f534af407f0,2021.09.24.14.23.05_veh-45,26ccfa78f15f50a7,E1_UNRELATED_HISTORICAL_USE,STATIC_B1_CONTEXT_INCOMPATIBLE,ValueError:OFFICIAL_MAP_LANE_AMBIGUITY_FAIL_CLOSED
80,1eca8ed2a167b740ad659f34c3f216e147b9d725cd2001854180048129d8ffc0,2021.08.20.13.34.11_veh-45,ddedb03d69695925,E1_UNRELATED_HISTORICAL_USE,STATIC_B1_CONTEXT_INCOMPATIBLE,ValueError:OFFICIAL_MAP_LANE_AMBIGUITY_FAIL_CLOSED
81,216515a576ebe3f8b0b186153a83822d37b051ac702eea0c18ef72a7040092d0,2021.08.17.14.45.12_veh-42,2be79e58eb545880,E1_UNRELATED_HISTORICAL_USE,STATIC_B1_CONTEXT_INCOMPATIBLE,ValueError:OFFICIAL_MAP_LANE_AMBIGUITY_FAIL_CLOSED
82,226df4a8b2c4182721f3ea08a10646de4579c8bc9cfbcceaaa3791734184119c,2021.09.15.12.49.18_veh-45,405659bb185156da,E1_UNRELATED_HISTORICAL_USE,STATIC_B1_CONTEXT_INCOMPATIBLE,ValueError:OFFICIAL_MAP_LANE_AMBIGUITY_FAIL_CLOSED
83,245721856633e8cd9ee6d4f2434c314a2bcaea013f7d2c80f8aeece0a0371d1e,2021.09.20.14.04.18_veh-08,99464b3cf9dd5242,E1_UNRELATED_HISTORICAL_USE,STATIC_B1_CONTEXT_INCOMPATIBLE,ValueError:OFFICIAL_MAP_LANE_AMBIGUITY_FAIL_CLOSED
84,26a90a53f754c2cb99321f84b75d4bfb11273a82ddf3fa780617a5b2882cc47d,2021.08.30.13.08.03_veh-08,3c4050eab6365ec7,E1_UNRELATED_HISTORICAL_USE,SELECTED,
85,270a9d55577ea3c91386526287d5c1ce115086980bb0bdf33fc51e4b0201a3fa,2021.09.20.17.01.23_veh-08,cdc8f8f4b4285a8e,E1_UNRELATED_HISTORICAL_USE,STATIC_B1_CONTEXT_INCOMPATIBLE,ValueError:OFFICIAL_MAP_LANE_AMBIGUITY_FAIL_CLOSED
86,28fa5ebf4b4f081c712c04b595359e328ea0ab68f59f7cd7e2f39e07137b0113,2021.09.09.14.34.34_veh-43,9aa2e136863559e3,E1_UNRELATED_HISTORICAL_USE,STATIC_B1_CONTEXT_INCOMPATIBLE,ValueError:OFFICIAL_MAP_LANE_AMBIGUITY_FAIL_CLOSED
87,293b5631df1fa3476275ed9e8c3917b2da03287cda7d2601883fd8cb43f476bf,2021.08.17.18.54.02_veh-45,c531088f238856b5,E1_UNRELATED_HISTORICAL_USE,SELECTED,
88,2994584a28575ddf1495ef88a3d9012a6419a29ba4646bfca4a6d65e316aa943,2021.08.23.19.08.29_veh-42,74aa68d99cd154ec,E1_UNRELATED_HISTORICAL_USE,STATIC_B1_CONTEXT_INCOMPATIBLE,ValueError:OFFICIAL_MAP_LANE_AMBIGUITY_FAIL_CLOSED
89,29980aeef60937e833efa2d6eab42c97f19235e3ebd73eefb700694fd3d871ef,2021.06.14.18.33.41_veh-35,a9839b915307500b,E1_UNRELATED_HISTORICAL_USE,STATIC_B1_CONTEXT_INCOMPATIBLE,ValueError:OFFICIAL_MAP_LANE_AMBIGUITY_FAIL_CLOSED
90,2abb7ccdd9dad0e071737efc85c5af203d78bf8b0f83c911128af980e459b660,2021.09.09.18.12.06_veh-42,b0a3380acf8f596a,E1_UNRELATED_HISTORICAL_USE,STATIC_B1_CONTEXT_INCOMPATIBLE,ValueError:OFFICIAL_MAP_LANE_AMBIGUITY_FAIL_CLOSED
91,2c467c78fd933730f00e619d15bec5e9c274be2ac4c87445bed3a6116fc55196,2021.09.30.15.05.51_veh-44,c48451ac7fcb5ac3,E1_UNRELATED_HISTORICAL_USE,STATIC_B1_CONTEXT_INCOMPATIBLE,ValueError:OFFICIAL_MAP_LANE_AMBIGUITY_FAIL_CLOSED
92,2cbbabf0865367e4a3cc21f222f956728e95a848c2582cf3f8f3d4c41a45acaa,2021.09.30.19.11.40_veh-44,f35b48ec346657dd,E1_UNRELATED_HISTORICAL_USE,STATIC_B1_CONTEXT_INCOMPATIBLE,ValueError:OFFICIAL_MAP_LANE_AMBIGUITY_FAIL_CLOSED
93,2fca29e1fd28302d50d862d119b10f482f33d64e81026598c25a8c7925e5e9f5,2021.08.26.14.34.54_veh-08,78203b6f607d5faa,E1_UNRELATED_HISTORICAL_USE,STATIC_B1_CONTEXT_INCOMPATIBLE,ValueError:OFFICIAL_MAP_LANE_AMBIGUITY_FAIL_CLOSED
