scenario_token,log_id,family,baseline_run_id,treatment_run_id,technical_execution_pass,context_identity_pass,mechanism_pair_status,mechanism_pair_pass,primary_f_match_status,primary_f_match_pass,secondary_heading_change_abs_total_delta,endpoint_status,endpoint_pass,engineering_status,engineering_pass,pair_readiness
63f974504fa15b7d,2021.08.30.16.39.44_veh-45_00866_01142,R-TSB,R-TSB__63f974504fa15b7d__B2R1_BASELINE,R-TSB__63f974504fa15b7d__B2R1_TREATMENT,True,True,TSB_MECHANISM_PAIR_FAIL,False,F_MATCH_PASS,True,,NOT_APPLICABLE_TSB,True,DIAGNOSTIC_ONLY_TSB,True,PAIR_REQUIRED_GATE_FAILURE
f5f5831fd0c05819,2021.09.21.18.54.31_veh-45_01637_02127,R-TSB,R-TSB__f5f5831fd0c05819__B2R1_BASELINE,R-TSB__f5f5831fd0c05819__B2R1_TREATMENT,True,True,TSB_MECHANISM_PAIR_PASS,True,F_MATCH_PASS,True,,NOT_APPLICABLE_TSB,True,DIAGNOSTIC_ONLY_TSB,True,PAIR_REQUIRED_GATE_FAILURE
8a9802c7a8755477,2021.09.24.14.23.05_veh-45_02144_02442,R-TSB,R-TSB__8a9802c7a8755477__B2R1_BASELINE,R-TSB__8a9802c7a8755477__B2R1_TREATMENT,True,True,TSB_MECHANISM_PAIR_FAIL,False,F_MATCH_PASS,True,,NOT_APPLICABLE_TSB,True,DIAGNOSTIC_ONLY_TSB,True,PAIR_REQUIRED_GATE_FAILURE
75ccfab926d352d0,2021.09.03.17.40.20_veh-42_00950_01784,R-TSB,R-TSB__75ccfab926d352d0__B2R1_BASELINE,R-TSB__75ccfab926d352d0__B2R1_TREATMENT,True,True,TSB_MECHANISM_PAIR_FAIL,False,F_MATCH_PASS,True,,NOT_APPLICABLE_TSB,True,DIAGNOSTIC_ONLY_TSB,True,PAIR_REQUIRED_GATE_FAILURE
f5c321c583f95ac5,2021.09.24.14.23.05_veh-45_03426_03612,R-TSB,R-TSB__f5c321c583f95ac5__B2R1_BASELINE,R-TSB__f5c321c583f95ac5__B2R1_TREATMENT,True,True,TSB_MECHANISM_PAIR_FAIL,False,F_MATCH_PASS,True,,NOT_APPLICABLE_TSB,True,DIAGNOSTIC_ONLY_TSB,True,PAIR_REQUIRED_GATE_FAILURE
d0fbbbd27a6c5882,2021.09.21.17.53.12_veh-08_02449_02583,R-TSB,R-TSB__d0fbbbd27a6c5882__B2R1_BASELINE,R-TSB__d0fbbbd27a6c5882__B2R1_TREATMENT,True,True,TSB_MECHANISM_PAIR_PASS,True,F_MATCH_PASS,True,,NOT_APPLICABLE_TSB,True,DIAGNOSTIC_ONLY_TSB,True,PAIR_REQUIRED_GATE_FAILURE
f464a2a451d85356,2021.08.27.13.08.25_veh-42_00375_01720,R-TSB,R-TSB__f464a2a451d85356__B2R1_BASELINE,R-TSB__f464a2a451d85356__B2R1_TREATMENT,True,True,TSB_MECHANISM_PAIR_PASS,True,F_MATCH_PASS,True,,NOT_APPLICABLE_TSB,True,DIAGNOSTIC_ONLY_TSB,True,PAIR_REQUIRED_GATE_FAILURE
8e39a64c0e655afb,2021.10.01.19.16.42_veh-28_02011_02410,R-TSB,R-TSB__8e39a64c0e655afb__B2R1_BASELINE,R-TSB__8e39a64c0e655afb__B2R1_TREATMENT,True,True,TSB_MECHANISM_PAIR_PASS,True,F_MATCH_PASS,True,,NOT_APPLICABLE_TSB,True,DIAGNOSTIC_ONLY_TSB,True,PAIR_REQUIRED_GATE_FAILURE
bd57b58eddb55436,2021.08.20.13.00.37_veh-08_02328_02673,R-TSB,R-TSB__bd57b58eddb55436__B2R1_BASELINE,R-TSB__bd57b58eddb55436__B2R1_TREATMENT,True,True,TSB_MECHANISM_PAIR_FAIL,False,F_MATCH_PASS,True,,NOT_APPLICABLE_TSB,True,DIAGNOSTIC_ONLY_TSB,True,PAIR_REQUIRED_GATE_FAILURE
118dae215aa257e2,2021.09.17.18.16.32_veh-45_01447_01769,R-TSB,R-TSB__118dae215aa257e2__B2R1_BASELINE,R-TSB__118dae215aa257e2__B2R1_TREATMENT,True,True,TSB_MECHANISM_PAIR_FAIL,False,F_MATCH_PASS,True,,NOT_APPLICABLE_TSB,True,DIAGNOSTIC_ONLY_TSB,True,PAIR_REQUIRED_GATE_FAILURE
bb5670893b7954be,2021.09.09.18.12.06_veh-42_00446_01239,R-TSB,R-TSB__bb5670893b7954be__B2R1_BASELINE,R-TSB__bb5670893b7954be__B2R1_TREATMENT,True,True,TSB_MECHANISM_PAIR_FAIL,False,F_MATCH_PASS,True,,NOT_APPLICABLE_TSB,True,DIAGNOSTIC_ONLY_TSB,True,PAIR_REQUIRED_GATE_FAILURE
