run_id,scenario_token,log_id,family,smoke_arm,raw_pre_context_identity_status,raw_frames,raw_dynamic_vehicle_count_median,raw_dynamic_vehicle_count_min,raw_dynamic_vehicle_count_max,raw_stable_track_ids_ge8_frames,adapter_slot_valid_frames,adapter_target_or_front_valid_frames,neighbor_slots_from_official_observation,stable_slot_track_ids_instantiated,traffic_density_semantic_projection_instantiated,gap_relative_speed_thw_instantiated,hazard_multihot_from_official_signal_or_lead,missingness_semantically_derived,frozen_canonical_context_semantic_conformance,temporal_anchor_status,selected_offset_start_s,selected_offset_end_s,generator_common_prefix_requirement,first_planner_sample_relative_s
R-HLC__fd93956a3f9052dc__B2R1_BASELINE,fd93956a3f9052dc,2021.08.23.15.14.44_veh-08_00917_01175,R-HLC,HLC_BASELINE_DECISIVE_MONOTONIC_LANE_CHANGE,RAW_PRE_CONTEXT_IDENTITY_AVAILABLE,10,41.0,40,42,41,0,0,False,False,False,False,NOT_APPLICABLE,False,CONTEXT_CANONICALIZATION_IMPLEMENTATION_NONCONFORMANCE,TEMPORAL_ANCHOR_IMPLEMENTATION_NONCONFORMANCE,-0.9998,-0.1,"[0.0,1.1)",0.0
R-HLC__fd93956a3f9052dc__B2R1_TREATMENT,fd93956a3f9052dc,2021.08.23.15.14.44_veh-08_00917_01175,R-HLC,HLC_TREATMENT_HLC_GEN_V2_OPTION_B,RAW_PRE_CONTEXT_IDENTITY_AVAILABLE,10,41.0,40,42,41,0,0,False,False,False,False,NOT_APPLICABLE,False,CONTEXT_CANONICALIZATION_IMPLEMENTATION_NONCONFORMANCE,TEMPORAL_ANCHOR_IMPLEMENTATION_NONCONFORMANCE,-0.9998,-0.1,"[0.0,1.1)",0.0
R-HLC__5d3f971cd6ff5a3a__B2R1_BASELINE,5d3f971cd6ff5a3a,2021.08.19.17.14.40_veh-45_02585_02856,R-HLC,HLC_BASELINE_DECISIVE_MONOTONIC_LANE_CHANGE,RAW_PRE_CONTEXT_IDENTITY_AVAILABLE,10,15.0,13,16,14,0,0,False,False,False,False,NOT_APPLICABLE,False,CONTEXT_CANONICALIZATION_IMPLEMENTATION_NONCONFORMANCE,TEMPORAL_ANCHOR_IMPLEMENTATION_NONCONFORMANCE,-1.0002,-0.1001,"[0.0,1.1)",0.0
R-HLC__5d3f971cd6ff5a3a__B2R1_TREATMENT,5d3f971cd6ff5a3a,2021.08.19.17.14.40_veh-45_02585_02856,R-HLC,HLC_TREATMENT_HLC_GEN_V2_OPTION_B,RAW_PRE_CONTEXT_IDENTITY_AVAILABLE,10,15.0,13,16,14,0,0,False,False,False,False,NOT_APPLICABLE,False,CONTEXT_CANONICALIZATION_IMPLEMENTATION_NONCONFORMANCE,TEMPORAL_ANCHOR_IMPLEMENTATION_NONCONFORMANCE,-1.0002,-0.1001,"[0.0,1.1)",0.0
R-HLC__bfdbb19e4ff85027__B2R1_BASELINE,bfdbb19e4ff85027,2021.09.15.17.01.41_veh-45_00425_01226,R-HLC,HLC_BASELINE_DECISIVE_MONOTONIC_LANE_CHANGE,RAW_PRE_CONTEXT_IDENTITY_AVAILABLE,10,17.0,16,17,17,0,0,False,False,False,False,NOT_APPLICABLE,False,CONTEXT_CANONICALIZATION_IMPLEMENTATION_NONCONFORMANCE,TEMPORAL_ANCHOR_IMPLEMENTATION_NONCONFORMANCE,-0.9998,-0.0999,"[0.0,1.1)",0.0
R-HLC__bfdbb19e4ff85027__B2R1_TREATMENT,bfdbb19e4ff85027,2021.09.15.17.01.41_veh-45_00425_01226,R-HLC,HLC_TREATMENT_HLC_GEN_V2_OPTION_B,RAW_PRE_CONTEXT_IDENTITY_AVAILABLE,10,17.0,16,17,17,0,0,False,False,False,False,NOT_APPLICABLE,False,CONTEXT_CANONICALIZATION_IMPLEMENTATION_NONCONFORMANCE,TEMPORAL_ANCHOR_IMPLEMENTATION_NONCONFORMANCE,-0.9998,-0.0999,"[0.0,1.1)",0.0
R-HLC__84cd23d18b58550f__B2R1_BASELINE,84cd23d18b58550f,2021.06.23.16.54.19_veh-35_00808_01256,R-HLC,HLC_BASELINE_DECISIVE_MONOTONIC_LANE_CHANGE,RAW_PRE_CONTEXT_IDENTITY_AVAILABLE,10,186.5,183,188,169,0,0,False,False,False,False,NOT_APPLICABLE,False,CONTEXT_CANONICALIZATION_IMPLEMENTATION_NONCONFORMANCE,TEMPORAL_ANCHOR_IMPLEMENTATION_NONCONFORMANCE,-0.9997,-0.1,"[0.0,1.1)",0.0
R-HLC__84cd23d18b58550f__B2R1_TREATMENT,84cd23d18b58550f,2021.06.23.16.54.19_veh-35_00808_01256,R-HLC,HLC_TREATMENT_HLC_GEN_V2_OPTION_B,RAW_PRE_CONTEXT_IDENTITY_AVAILABLE,10,186.5,183,188,169,0,0,False,False,False,False,NOT_APPLICABLE,False,CONTEXT_CANONICALIZATION_IMPLEMENTATION_NONCONFORMANCE,TEMPORAL_ANCHOR_IMPLEMENTATION_NONCONFORMANCE,-0.9997,-0.1,"[0.0,1.1)",0.0
R-HLC__578993bfc973525e__B2R1_BASELINE,578993bfc973525e,2021.08.17.16.48.45_veh-43_02070_02652,R-HLC,HLC_BASELINE_DECISIVE_MONOTONIC_LANE_CHANGE,RAW_PRE_CONTEXT_IDENTITY_AVAILABLE,10,2.0,2,3,2,0,0,False,False,False,False,NOT_APPLICABLE,False,CONTEXT_CANONICALIZATION_IMPLEMENTATION_NONCONFORMANCE,TEMPORAL_ANCHOR_IMPLEMENTATION_NONCONFORMANCE,-1.0004,-0.1,"[0.0,1.1)",0.0
R-HLC__578993bfc973525e__B2R1_TREATMENT,578993bfc973525e,2021.08.17.16.48.45_veh-43_02070_02652,R-HLC,HLC_TREATMENT_HLC_GEN_V2_OPTION_B,RAW_PRE_CONTEXT_IDENTITY_AVAILABLE,10,2.0,2,3,2,0,0,False,False,False,False,NOT_APPLICABLE,False,CONTEXT_CANONICALIZATION_IMPLEMENTATION_NONCONFORMANCE,TEMPORAL_ANCHOR_IMPLEMENTATION_NONCONFORMANCE,-1.0004,-0.1,"[0.0,1.1)",0.0
R-HLC__d42842ff6aca5f6f__B2R1_BASELINE,d42842ff6aca5f6f,2021.09.23.17.03.56_veh-45_02539_02937,R-HLC,HLC_BASELINE_DECISIVE_MONOTONIC_LANE_CHANGE,RAW_PRE_CONTEXT_IDENTITY_AVAILABLE,10,35.0,34,37,34,0,0,False,False,False,False,NOT_APPLICABLE,False,CONTEXT_CANONICALIZATION_IMPLEMENTATION_NONCONFORMANCE,TEMPORAL_ANCHOR_IMPLEMENTATION_NONCONFORMANCE,-1.0008,-0.1,"[0.0,1.1)",0.0
R-HLC__d42842ff6aca5f6f__B2R1_TREATMENT,d42842ff6aca5f6f,2021.09.23.17.03.56_veh-45_02539_02937,R-HLC,HLC_TREATMENT_HLC_GEN_V2_OPTION_B,RAW_PRE_CONTEXT_IDENTITY_AVAILABLE,10,35.0,34,37,34,0,0,False,False,False,False,NOT_APPLICABLE,False,CONTEXT_CANONICALIZATION_IMPLEMENTATION_NONCONFORMANCE,TEMPORAL_ANCHOR_IMPLEMENTATION_NONCONFORMANCE,-1.0008,-0.1,"[0.0,1.1)",0.0
R-HLC__14f06b5194ff5c85__B2R1_BASELINE,14f06b5194ff5c85,2021.09.17.14.16.24_veh-45_01972_02284,R-HLC,HLC_BASELINE_DECISIVE_MONOTONIC_LANE_CHANGE,RAW_PRE_CONTEXT_IDENTITY_AVAILABLE,10,31.5,30,32,30,0,0,False,False,False,False,NOT_APPLICABLE,False,CONTEXT_CANONICALIZATION_IMPLEMENTATION_NONCONFORMANCE,TEMPORAL_ANCHOR_IMPLEMENTATION_NONCONFORMANCE,-1.0005,-0.1001,"[0.0,1.1)",0.0
R-HLC__14f06b5194ff5c85__B2R1_TREATMENT,14f06b5194ff5c85,2021.09.17.14.16.24_veh-45_01972_02284,R-HLC,HLC_TREATMENT_HLC_GEN_V2_OPTION_B,RAW_PRE_CONTEXT_IDENTITY_AVAILABLE,10,31.5,30,32,30,0,0,False,False,False,False,NOT_APPLICABLE,False,CONTEXT_CANONICALIZATION_IMPLEMENTATION_NONCONFORMANCE,TEMPORAL_ANCHOR_IMPLEMENTATION_NONCONFORMANCE,-1.0005,-0.1001,"[0.0,1.1)",0.0
R-TSB__ff152a4cf9c4503b__B2R1_BASELINE,ff152a4cf9c4503b,2021.08.25.17.17.57_veh-42_01356_01819,R-TSB,TSB_BASELINE_SINGLE_CONTINUOUS_BRAKING,RAW_PRE_CONTEXT_IDENTITY_AVAILABLE,10,41.0,39,43,37,0,0,False,False,False,False,False,False,CONTEXT_CANONICALIZATION_IMPLEMENTATION_NONCONFORMANCE,TEMPORAL_ANCHOR_IMPLEMENTATION_NONCONFORMANCE,-0.9996,-0.1,"[0.0,1.1)",0.0
R-TSB__ff152a4cf9c4503b__B2R1_TREATMENT,ff152a4cf9c4503b,2021.08.25.17.17.57_veh-42_01356_01819,R-TSB,TSB_TREATMENT_TSB_GEN_V2_OPTION_A,RAW_PRE_CONTEXT_IDENTITY_AVAILABLE,10,41.0,39,43,37,0,0,False,False,False,False,False,False,CONTEXT_CANONICALIZATION_IMPLEMENTATION_NONCONFORMANCE,TEMPORAL_ANCHOR_IMPLEMENTATION_NONCONFORMANCE,-0.9996,-0.1,"[0.0,1.1)",0.0
R-TSB__63f974504fa15b7d__B2R1_BASELINE,63f974504fa15b7d,2021.08.30.16.39.44_veh-45_00866_01142,R-TSB,TSB_BASELINE_SINGLE_CONTINUOUS_BRAKING,RAW_PRE_CONTEXT_IDENTITY_AVAILABLE,10,42.0,40,43,39,0,0,False,False,False,False,False,False,CONTEXT_CANONICALIZATION_IMPLEMENTATION_NONCONFORMANCE,TEMPORAL_ANCHOR_IMPLEMENTATION_NONCONFORMANCE,-0.9995,-0.1,"[0.0,1.1)",0.0
R-TSB__63f974504fa15b7d__B2R1_TREATMENT,63f974504fa15b7d,2021.08.30.16.39.44_veh-45_00866_01142,R-TSB,TSB_TREATMENT_TSB_GEN_V2_OPTION_A,RAW_PRE_CONTEXT_IDENTITY_AVAILABLE,10,42.0,40,43,39,0,0,False,False,False,False,False,False,CONTEXT_CANONICALIZATION_IMPLEMENTATION_NONCONFORMANCE,TEMPORAL_ANCHOR_IMPLEMENTATION_NONCONFORMANCE,-0.9995,-0.1,"[0.0,1.1)",0.0
R-TSB__f5f5831fd0c05819__B2R1_BASELINE,f5f5831fd0c05819,2021.09.21.18.54.31_veh-45_01637_02127,R-TSB,TSB_BASELINE_SINGLE_CONTINUOUS_BRAKING,RAW_PRE_CONTEXT_IDENTITY_AVAILABLE,10,8.0,8,8,8,0,0,False,False,False,False,False,False,CONTEXT_CANONICALIZATION_IMPLEMENTATION_NONCONFORMANCE,TEMPORAL_ANCHOR_IMPLEMENTATION_NONCONFORMANCE,-0.9994,-0.0999,"[0.0,1.1)",0.0
R-TSB__f5f5831fd0c05819__B2R1_TREATMENT,f5f5831fd0c05819,2021.09.21.18.54.31_veh-45_01637_02127,R-TSB,TSB_TREATMENT_TSB_GEN_V2_OPTION_A,RAW_PRE_CONTEXT_IDENTITY_AVAILABLE,10,8.0,8,8,8,0,0,False,False,False,False,False,False,CONTEXT_CANONICALIZATION_IMPLEMENTATION_NONCONFORMANCE,TEMPORAL_ANCHOR_IMPLEMENTATION_NONCONFORMANCE,-0.9994,-0.0999,"[0.0,1.1)",0.0
R-TSB__8a9802c7a8755477__B2R1_BASELINE,8a9802c7a8755477,2021.09.24.14.23.05_veh-45_02144_02442,R-TSB,TSB_BASELINE_SINGLE_CONTINUOUS_BRAKING,RAW_PRE_CONTEXT_IDENTITY_AVAILABLE,10,36.0,36,37,36,0,0,False,False,False,False,False,False,CONTEXT_CANONICALIZATION_IMPLEMENTATION_NONCONFORMANCE,TEMPORAL_ANCHOR_IMPLEMENTATION_NONCONFORMANCE,-1.0001,-0.1001,"[0.0,1.1)",0.0
R-TSB__8a9802c7a8755477__B2R1_TREATMENT,8a9802c7a8755477,2021.09.24.14.23.05_veh-45_02144_02442,R-TSB,TSB_TREATMENT_TSB_GEN_V2_OPTION_A,RAW_PRE_CONTEXT_IDENTITY_AVAILABLE,10,36.0,36,37,36,0,0,False,False,False,False,False,False,CONTEXT_CANONICALIZATION_IMPLEMENTATION_NONCONFORMANCE,TEMPORAL_ANCHOR_IMPLEMENTATION_NONCONFORMANCE,-1.0001,-0.1001,"[0.0,1.1)",0.0
R-TSB__75ccfab926d352d0__B2R1_BASELINE,75ccfab926d352d0,2021.09.03.17.40.20_veh-42_00950_01784,R-TSB,TSB_BASELINE_SINGLE_CONTINUOUS_BRAKING,RAW_PRE_CONTEXT_IDENTITY_AVAILABLE,10,19.0,19,20,19,0,0,False,False,False,False,False,False,CONTEXT_CANONICALIZATION_IMPLEMENTATION_NONCONFORMANCE,TEMPORAL_ANCHOR_IMPLEMENTATION_NONCONFORMANCE,-0.9999,-0.1,"[0.0,1.1)",0.0
R-TSB__75ccfab926d352d0__B2R1_TREATMENT,75ccfab926d352d0,2021.09.03.17.40.20_veh-42_00950_01784,R-TSB,TSB_TREATMENT_TSB_GEN_V2_OPTION_A,RAW_PRE_CONTEXT_IDENTITY_AVAILABLE,10,19.0,19,20,19,0,0,False,False,False,False,False,False,CONTEXT_CANONICALIZATION_IMPLEMENTATION_NONCONFORMANCE,TEMPORAL_ANCHOR_IMPLEMENTATION_NONCONFORMANCE,-0.9999,-0.1,"[0.0,1.1)",0.0
R-TSB__f5c321c583f95ac5__B2R1_BASELINE,f5c321c583f95ac5,2021.09.24.14.23.05_veh-45_03426_03612,R-TSB,TSB_BASELINE_SINGLE_CONTINUOUS_BRAKING,RAW_PRE_CONTEXT_IDENTITY_AVAILABLE,10,14.0,14,15,14,0,0,False,False,False,False,False,False,CONTEXT_CANONICALIZATION_IMPLEMENTATION_NONCONFORMANCE,TEMPORAL_ANCHOR_IMPLEMENTATION_NONCONFORMANCE,-0.9999,-0.1001,"[0.0,1.1)",0.0
R-TSB__f5c321c583f95ac5__B2R1_TREATMENT,f5c321c583f95ac5,2021.09.24.14.23.05_veh-45_03426_03612,R-TSB,TSB_TREATMENT_TSB_GEN_V2_OPTION_A,RAW_PRE_CONTEXT_IDENTITY_AVAILABLE,10,14.0,14,15,14,0,0,False,False,False,False,False,False,CONTEXT_CANONICALIZATION_IMPLEMENTATION_NONCONFORMANCE,TEMPORAL_ANCHOR_IMPLEMENTATION_NONCONFORMANCE,-0.9999,-0.1001,"[0.0,1.1)",0.0
R-TSB__d0fbbbd27a6c5882__B2R1_BASELINE,d0fbbbd27a6c5882,2021.09.21.17.53.12_veh-08_02449_02583,R-TSB,TSB_BASELINE_SINGLE_CONTINUOUS_BRAKING,RAW_PRE_CONTEXT_IDENTITY_AVAILABLE,10,35.5,34,37,32,0,0,False,False,False,False,False,False,CONTEXT_CANONICALIZATION_IMPLEMENTATION_NONCONFORMANCE,TEMPORAL_ANCHOR_IMPLEMENTATION_NONCONFORMANCE,-0.9996,-0.1,"[0.0,1.1)",0.0
R-TSB__d0fbbbd27a6c5882__B2R1_TREATMENT,d0fbbbd27a6c5882,2021.09.21.17.53.12_veh-08_02449_02583,R-TSB,TSB_TREATMENT_TSB_GEN_V2_OPTION_A,RAW_PRE_CONTEXT_IDENTITY_AVAILABLE,10,35.5,34,37,32,0,0,False,False,False,False,False,False,CONTEXT_CANONICALIZATION_IMPLEMENTATION_NONCONFORMANCE,TEMPORAL_ANCHOR_IMPLEMENTATION_NONCONFORMANCE,-0.9996,-0.1,"[0.0,1.1)",0.0
R-TSB__f464a2a451d85356__B2R1_BASELINE,f464a2a451d85356,2021.08.27.13.08.25_veh-42_00375_01720,R-TSB,TSB_BASELINE_SINGLE_CONTINUOUS_BRAKING,RAW_PRE_CONTEXT_IDENTITY_AVAILABLE,10,9.5,9,10,7,0,0,False,False,False,False,False,False,CONTEXT_CANONICALIZATION_IMPLEMENTATION_NONCONFORMANCE,TEMPORAL_ANCHOR_IMPLEMENTATION_NONCONFORMANCE,-0.9998,-0.1,"[0.0,1.1)",0.0
R-TSB__f464a2a451d85356__B2R1_TREATMENT,f464a2a451d85356,2021.08.27.13.08.25_veh-42_00375_01720,R-TSB,TSB_TREATMENT_TSB_GEN_V2_OPTION_A,RAW_PRE_CONTEXT_IDENTITY_AVAILABLE,10,9.5,9,10,7,0,0,False,False,False,False,False,False,CONTEXT_CANONICALIZATION_IMPLEMENTATION_NONCONFORMANCE,TEMPORAL_ANCHOR_IMPLEMENTATION_NONCONFORMANCE,-0.9998,-0.1,"[0.0,1.1)",0.0
R-TSB__8e39a64c0e655afb__B2R1_BASELINE,8e39a64c0e655afb,2021.10.01.19.16.42_veh-28_02011_02410,R-TSB,TSB_BASELINE_SINGLE_CONTINUOUS_BRAKING,RAW_PRE_CONTEXT_IDENTITY_AVAILABLE,10,98.5,90,103,90,0,0,False,False,False,False,False,False,CONTEXT_CANONICALIZATION_IMPLEMENTATION_NONCONFORMANCE,TEMPORAL_ANCHOR_IMPLEMENTATION_NONCONFORMANCE,-0.9999,-0.1,"[0.0,1.1)",0.0
R-TSB__8e39a64c0e655afb__B2R1_TREATMENT,8e39a64c0e655afb,2021.10.01.19.16.42_veh-28_02011_02410,R-TSB,TSB_TREATMENT_TSB_GEN_V2_OPTION_A,RAW_PRE_CONTEXT_IDENTITY_AVAILABLE,10,98.5,90,103,90,0,0,False,False,False,False,False,False,CONTEXT_CANONICALIZATION_IMPLEMENTATION_NONCONFORMANCE,TEMPORAL_ANCHOR_IMPLEMENTATION_NONCONFORMANCE,-0.9999,-0.1,"[0.0,1.1)",0.0
R-TSB__bd57b58eddb55436__B2R1_BASELINE,bd57b58eddb55436,2021.08.20.13.00.37_veh-08_02328_02673,R-TSB,TSB_BASELINE_SINGLE_CONTINUOUS_BRAKING,RAW_PRE_CONTEXT_IDENTITY_AVAILABLE,10,9.0,8,10,8,0,0,False,False,False,False,False,False,CONTEXT_CANONICALIZATION_IMPLEMENTATION_NONCONFORMANCE,TEMPORAL_ANCHOR_CONFORMANT,-1.0,-0.1,"[0.0,1.1)",0.0
R-TSB__bd57b58eddb55436__B2R1_TREATMENT,bd57b58eddb55436,2021.08.20.13.00.37_veh-08_02328_02673,R-TSB,TSB_TREATMENT_TSB_GEN_V2_OPTION_A,RAW_PRE_CONTEXT_IDENTITY_AVAILABLE,10,9.0,8,10,8,0,0,False,False,False,False,False,False,CONTEXT_CANONICALIZATION_IMPLEMENTATION_NONCONFORMANCE,TEMPORAL_ANCHOR_CONFORMANT,-1.0,-0.1,"[0.0,1.1)",0.0
R-TSB__118dae215aa257e2__B2R1_BASELINE,118dae215aa257e2,2021.09.17.18.16.32_veh-45_01447_01769,R-TSB,TSB_BASELINE_SINGLE_CONTINUOUS_BRAKING,RAW_PRE_CONTEXT_IDENTITY_AVAILABLE,10,43.0,41,44,41,0,0,False,False,False,False,False,False,CONTEXT_CANONICALIZATION_IMPLEMENTATION_NONCONFORMANCE,TEMPORAL_ANCHOR_IMPLEMENTATION_NONCONFORMANCE,-0.9995,-0.0999,"[0.0,1.1)",0.0
R-TSB__118dae215aa257e2__B2R1_TREATMENT,118dae215aa257e2,2021.09.17.18.16.32_veh-45_01447_01769,R-TSB,TSB_TREATMENT_TSB_GEN_V2_OPTION_A,RAW_PRE_CONTEXT_IDENTITY_AVAILABLE,10,43.0,41,44,41,0,0,False,False,False,False,False,False,CONTEXT_CANONICALIZATION_IMPLEMENTATION_NONCONFORMANCE,TEMPORAL_ANCHOR_IMPLEMENTATION_NONCONFORMANCE,-0.9995,-0.0999,"[0.0,1.1)",0.0
R-TSB__bb5670893b7954be__B2R1_BASELINE,bb5670893b7954be,2021.09.09.18.12.06_veh-42_00446_01239,R-TSB,TSB_BASELINE_SINGLE_CONTINUOUS_BRAKING,RAW_PRE_CONTEXT_IDENTITY_AVAILABLE,10,40.0,39,40,38,0,0,False,False,False,False,False,False,CONTEXT_CANONICALIZATION_IMPLEMENTATION_NONCONFORMANCE,TEMPORAL_ANCHOR_IMPLEMENTATION_NONCONFORMANCE,-0.9996,-0.1,"[0.0,1.1)",0.0
R-TSB__bb5670893b7954be__B2R1_TREATMENT,bb5670893b7954be,2021.09.09.18.12.06_veh-42_00446_01239,R-TSB,TSB_TREATMENT_TSB_GEN_V2_OPTION_A,RAW_PRE_CONTEXT_IDENTITY_AVAILABLE,10,40.0,39,40,38,0,0,False,False,False,False,False,False,CONTEXT_CANONICALIZATION_IMPLEMENTATION_NONCONFORMANCE,TEMPORAL_ANCHOR_IMPLEMENTATION_NONCONFORMANCE,-0.9996,-0.1,"[0.0,1.1)",0.0
