scenario_token,log_id,family,baseline_run_id,treatment_run_id,raw_history_canonical_hash_equal,canonical_context_json_hash_equal,pair_context_identity_pass,baseline_raw_history_canonical_hash,treatment_raw_history_canonical_hash,baseline_canonical_context_json_hash,treatment_canonical_context_json_hash
d42842ff6aca5f6f,2021.09.23.17.03.56_veh-45_02539_02937,R-HLC,R-HLC__d42842ff6aca5f6f__B2R1_BASELINE,R-HLC__d42842ff6aca5f6f__B2R1_TREATMENT,True,True,True,5e4f1533092253a2b4de746ba9979fb0a6f2b29bf23d2a21f63a9a96353c4a45,5e4f1533092253a2b4de746ba9979fb0a6f2b29bf23d2a21f63a9a96353c4a45,71a324a45b33322686674ef98b29b934bdb2a4b3fac982598012c8031f549ca8,71a324a45b33322686674ef98b29b934bdb2a4b3fac982598012c8031f549ca8
14f06b5194ff5c85,2021.09.17.14.16.24_veh-45_01972_02284,R-HLC,R-HLC__14f06b5194ff5c85__B2R1_BASELINE,R-HLC__14f06b5194ff5c85__B2R1_TREATMENT,True,True,True,4b81769aaa89f68c7d708d6a074cac8bc943e957bd50e03e1692fb23393f2bd3,4b81769aaa89f68c7d708d6a074cac8bc943e957bd50e03e1692fb23393f2bd3,5f1178abf00ff7b2c70e899b2cda1c6899051cf94d5eacc7b4a484e38a7b50e6,5f1178abf00ff7b2c70e899b2cda1c6899051cf94d5eacc7b4a484e38a7b50e6
ff152a4cf9c4503b,2021.08.25.17.17.57_veh-42_01356_01819,R-TSB,R-TSB__ff152a4cf9c4503b__B2R1_BASELINE,R-TSB__ff152a4cf9c4503b__B2R1_TREATMENT,True,True,True,e0bda2030a348cd226ac735234c4d0e264d3e4ac6a82e2ef5c67070fed17830f,e0bda2030a348cd226ac735234c4d0e264d3e4ac6a82e2ef5c67070fed17830f,0959ced78fd9fcf8109d12c63bca865192ba66d82047668ba5d90f1991a4e1e6,0959ced78fd9fcf8109d12c63bca865192ba66d82047668ba5d90f1991a4e1e6
63f974504fa15b7d,2021.08.30.16.39.44_veh-45_00866_01142,R-TSB,R-TSB__63f974504fa15b7d__B2R1_BASELINE,R-TSB__63f974504fa15b7d__B2R1_TREATMENT,True,True,True,f5173892f040894af4428dd7e9a350f5470f344d7b1ff523aa6649feb40f3253,f5173892f040894af4428dd7e9a350f5470f344d7b1ff523aa6649feb40f3253,7e62e90b0d03c1e9f2239b7012f05de84a4d01459077d734133e1a9c6bcef866,7e62e90b0d03c1e9f2239b7012f05de84a4d01459077d734133e1a9c6bcef866
f5f5831fd0c05819,2021.09.21.18.54.31_veh-45_01637_02127,R-TSB,R-TSB__f5f5831fd0c05819__B2R1_BASELINE,R-TSB__f5f5831fd0c05819__B2R1_TREATMENT,True,True,True,4c06bcbe1769e1a5e77fb1742082e1e1b51b4ec98b3a7ba3f1406e368618228a,4c06bcbe1769e1a5e77fb1742082e1e1b51b4ec98b3a7ba3f1406e368618228a,9f2b915684ea142461cbb80a0403b5dc8d1ba757921fcbd9b6546c2c74b78963,9f2b915684ea142461cbb80a0403b5dc8d1ba757921fcbd9b6546c2c74b78963
8a9802c7a8755477,2021.09.24.14.23.05_veh-45_02144_02442,R-TSB,R-TSB__8a9802c7a8755477__B2R1_BASELINE,R-TSB__8a9802c7a8755477__B2R1_TREATMENT,True,True,True,a397ad61cd300859c0c5cc02e1858638d50ec48871acb7765dbc77ff33425c8e,a397ad61cd300859c0c5cc02e1858638d50ec48871acb7765dbc77ff33425c8e,308ac641391c29e1db99f046c4d4f7255dc9c551460f8f4bd2cf02a546287a0a,308ac641391c29e1db99f046c4d4f7255dc9c551460f8f4bd2cf02a546287a0a
75ccfab926d352d0,2021.09.03.17.40.20_veh-42_00950_01784,R-TSB,R-TSB__75ccfab926d352d0__B2R1_BASELINE,R-TSB__75ccfab926d352d0__B2R1_TREATMENT,True,True,True,0ff9aea974f8204be31e8ac4d9e2a74c2a8b783eb7d086a86eab60ace89be413,0ff9aea974f8204be31e8ac4d9e2a74c2a8b783eb7d086a86eab60ace89be413,e29ddb69aca4a4e898b64c1029705c8e1e90ebc252465d3e011d0dd1abda0ad5,e29ddb69aca4a4e898b64c1029705c8e1e90ebc252465d3e011d0dd1abda0ad5
f5c321c583f95ac5,2021.09.24.14.23.05_veh-45_03426_03612,R-TSB,R-TSB__f5c321c583f95ac5__B2R1_BASELINE,R-TSB__f5c321c583f95ac5__B2R1_TREATMENT,True,True,True,21bd46e5826de2820e4b0c3f645f6176da1e24c50b5ceda2b9018aa9cf96e7c3,21bd46e5826de2820e4b0c3f645f6176da1e24c50b5ceda2b9018aa9cf96e7c3,e7ff02f268593f34c07cf60651f072868b6e8b6d318c3c7fdedaa746a5465f15,e7ff02f268593f34c07cf60651f072868b6e8b6d318c3c7fdedaa746a5465f15
d0fbbbd27a6c5882,2021.09.21.17.53.12_veh-08_02449_02583,R-TSB,R-TSB__d0fbbbd27a6c5882__B2R1_BASELINE,R-TSB__d0fbbbd27a6c5882__B2R1_TREATMENT,True,True,True,1bd171232da2d606a03d0dbb26c9e4627683d06f09f050cf15139b9915668785,1bd171232da2d606a03d0dbb26c9e4627683d06f09f050cf15139b9915668785,dce9401bef7398523a0646302043954d38593ba77e30b545117370c8be9a7045,dce9401bef7398523a0646302043954d38593ba77e30b545117370c8be9a7045
f464a2a451d85356,2021.08.27.13.08.25_veh-42_00375_01720,R-TSB,R-TSB__f464a2a451d85356__B2R1_BASELINE,R-TSB__f464a2a451d85356__B2R1_TREATMENT,True,True,True,57600661e018d6f0e65a7166d888c523d151b60ea174d1363af667bb9bfa489a,57600661e018d6f0e65a7166d888c523d151b60ea174d1363af667bb9bfa489a,9f96b076fa35a83025cf5430125ad94ac932c529817605e670f4a06b113e60c0,9f96b076fa35a83025cf5430125ad94ac932c529817605e670f4a06b113e60c0
8e39a64c0e655afb,2021.10.01.19.16.42_veh-28_02011_02410,R-TSB,R-TSB__8e39a64c0e655afb__B2R1_BASELINE,R-TSB__8e39a64c0e655afb__B2R1_TREATMENT,True,True,True,ed32d80bad06c955fe1af03249634314c78859df6c0006d571c4b8a4b83fd7fd,ed32d80bad06c955fe1af03249634314c78859df6c0006d571c4b8a4b83fd7fd,f0c04ab6b2da8e16f5e10a1a42b92c44b53a56c6c045a3ff8e807665d7909c9c,f0c04ab6b2da8e16f5e10a1a42b92c44b53a56c6c045a3ff8e807665d7909c9c
bd57b58eddb55436,2021.08.20.13.00.37_veh-08_02328_02673,R-TSB,R-TSB__bd57b58eddb55436__B2R1_BASELINE,R-TSB__bd57b58eddb55436__B2R1_TREATMENT,True,True,True,da153dfdc66ec7e734b5215d5ba060fdf1fff6c84b688c282709fc1dc293217c,da153dfdc66ec7e734b5215d5ba060fdf1fff6c84b688c282709fc1dc293217c,72c2aea60e04a4c7173560a1b0388306ddc05aceeeef950b0b4c848668625f31,72c2aea60e04a4c7173560a1b0388306ddc05aceeeef950b0b4c848668625f31
118dae215aa257e2,2021.09.17.18.16.32_veh-45_01447_01769,R-TSB,R-TSB__118dae215aa257e2__B2R1_BASELINE,R-TSB__118dae215aa257e2__B2R1_TREATMENT,True,True,True,bc3642635726fbe6727178ec5016560a625752ac215580ae000c0ee04ec026a1,bc3642635726fbe6727178ec5016560a625752ac215580ae000c0ee04ec026a1,7e0494f4a01763b237c33b4af27d6e328933cdc49a34b9400f8f40bb1789d296,7e0494f4a01763b237c33b4af27d6e328933cdc49a34b9400f8f40bb1789d296
bb5670893b7954be,2021.09.09.18.12.06_veh-42_00446_01239,R-TSB,R-TSB__bb5670893b7954be__B2R1_BASELINE,R-TSB__bb5670893b7954be__B2R1_TREATMENT,True,True,True,f4ba108266b1beede4aa025c053fd99f9293333bdaaac1898df6dec9739a535c,f4ba108266b1beede4aa025c053fd99f9293333bdaaac1898df6dec9739a535c,1d77c8123f8b1285e14b333b8bc3edc05abc85835b1e7c487e9d63556ae3c40a,1d77c8123f8b1285e14b333b8bc3edc05abc85835b1e7c487e9d63556ae3c40a
