scenario_token,log_id,measurement_source,initial_speed_mps,baseline_status,treatment_status,baseline_phase_count,treatment_phase_count,treatment_release_fraction,treatment_second_peak_ratio,mechanism_pair_pass,failure_reasons,forensic_class,tsb_replan_anchor_defect,straight_line_route_realization_limitation,baseline_continuity_position_max_m,treatment_continuity_position_max_m,baseline_collision,treatment_collision,baseline_offroad,treatment_offroad,pair_safety_pass
f5c321c583f95ac5,2021.09.24.14.23.05_veh-45_03426_03612,PLANNED_FIRST_OUTPUT,0.000603,LOW_SPEED_ENDSTOP,LOW_SPEED_ENDSTOP,,,,,False,MEASUREMENT_NOT_OK|BASELINE_PHASE_COUNT_NOT_ONE|TREATMENT_PHASE_COUNT_NOT_EXACTLY_TWO|RELEASE_FRACTION_LT_0P15|SECOND_PEAK_RATIO_LT_0P50,LOW_SPEED_ENDSTOP,True,True,2.738529,2.838262,False,False,False,False,True
f5c321c583f95ac5,2021.09.24.14.23.05_veh-45_03426_03612,REALIZED_EGO_SEQUENCE,0.000603,LOW_SPEED_ENDSTOP,LOW_SPEED_ENDSTOP,,,,,False,MEASUREMENT_NOT_OK|BASELINE_PHASE_COUNT_NOT_ONE|TREATMENT_PHASE_COUNT_NOT_EXACTLY_TWO|RELEASE_FRACTION_LT_0P15|SECOND_PEAK_RATIO_LT_0P50,LOW_SPEED_ENDSTOP,True,True,2.738529,2.838262,False,False,False,False,True
d0fbbbd27a6c5882,2021.09.21.17.53.12_veh-08_02449_02583,PLANNED_FIRST_OUTPUT,6.570091,OK,OK,1,2,0.333333,1.0,True,,MECHANISM_RETAINED,True,True,129.681946,129.979719,True,True,True,True,False
d0fbbbd27a6c5882,2021.09.21.17.53.12_veh-08_02449_02583,REALIZED_EGO_SEQUENCE,6.570091,NO_BRAKE_PHASE,NO_BRAKE_PHASE,0,0,,,False,MEASUREMENT_NOT_OK|BASELINE_PHASE_COUNT_NOT_ONE|TREATMENT_PHASE_COUNT_NOT_EXACTLY_TWO|RELEASE_FRACTION_LT_0P15|SECOND_PEAK_RATIO_LT_0P50,PHASE_MERGE,True,True,129.681946,129.979719,True,True,True,True,False
f464a2a451d85356,2021.08.27.13.08.25_veh-42_00375_01720,PLANNED_FIRST_OUTPUT,5.898916,OK,OK,1,2,0.333333,1.0,True,,MECHANISM_RETAINED,True,True,116.213465,116.50759,False,False,True,True,False
f464a2a451d85356,2021.08.27.13.08.25_veh-42_00375_01720,REALIZED_EGO_SEQUENCE,5.898916,NO_BRAKE_PHASE,NO_BRAKE_PHASE,0,0,,,False,MEASUREMENT_NOT_OK|BASELINE_PHASE_COUNT_NOT_ONE|TREATMENT_PHASE_COUNT_NOT_EXACTLY_TWO|RELEASE_FRACTION_LT_0P15|SECOND_PEAK_RATIO_LT_0P50,PHASE_MERGE,True,True,116.213465,116.50759,False,False,True,True,False
8e39a64c0e655afb,2021.10.01.19.16.42_veh-28_02011_02410,PLANNED_FIRST_OUTPUT,6.30832,OK,OK,1,2,0.333333,1.0,True,,MECHANISM_RETAINED,True,True,123.563711,123.990629,True,True,True,True,False
8e39a64c0e655afb,2021.10.01.19.16.42_veh-28_02011_02410,REALIZED_EGO_SEQUENCE,6.30832,NO_BRAKE_PHASE,NO_BRAKE_PHASE,0,0,,,False,MEASUREMENT_NOT_OK|BASELINE_PHASE_COUNT_NOT_ONE|TREATMENT_PHASE_COUNT_NOT_EXACTLY_TWO|RELEASE_FRACTION_LT_0P15|SECOND_PEAK_RATIO_LT_0P50,PHASE_MERGE,True,True,123.563711,123.990629,True,True,True,True,False
bd57b58eddb55436,2021.08.20.13.00.37_veh-08_02328_02673,PLANNED_FIRST_OUTPUT,0.000459,LOW_SPEED_ENDSTOP,LOW_SPEED_ENDSTOP,,,,,False,MEASUREMENT_NOT_OK|BASELINE_PHASE_COUNT_NOT_ONE|TREATMENT_PHASE_COUNT_NOT_EXACTLY_TWO|RELEASE_FRACTION_LT_0P15|SECOND_PEAK_RATIO_LT_0P50,LOW_SPEED_ENDSTOP,True,True,2.740252,2.840165,False,False,False,False,True
bd57b58eddb55436,2021.08.20.13.00.37_veh-08_02328_02673,REALIZED_EGO_SEQUENCE,0.000459,LOW_SPEED_ENDSTOP,LOW_SPEED_ENDSTOP,,,,,False,MEASUREMENT_NOT_OK|BASELINE_PHASE_COUNT_NOT_ONE|TREATMENT_PHASE_COUNT_NOT_EXACTLY_TWO|RELEASE_FRACTION_LT_0P15|SECOND_PEAK_RATIO_LT_0P50,LOW_SPEED_ENDSTOP,True,True,2.740252,2.840165,False,False,False,False,True
118dae215aa257e2,2021.09.17.18.16.32_veh-45_01447_01769,PLANNED_FIRST_OUTPUT,1.612966,LOW_SPEED_ENDSTOP,LOW_SPEED_ENDSTOP,,,,,False,MEASUREMENT_NOT_OK|BASELINE_PHASE_COUNT_NOT_ONE|TREATMENT_PHASE_COUNT_NOT_EXACTLY_TWO|RELEASE_FRACTION_LT_0P15|SECOND_PEAK_RATIO_LT_0P50,LOW_SPEED_ENDSTOP,True,True,30.951035,31.2864,True,True,False,True,False
118dae215aa257e2,2021.09.17.18.16.32_veh-45_01447_01769,REALIZED_EGO_SEQUENCE,1.612966,NO_BRAKE_PHASE,NO_BRAKE_PHASE,0,0,,,False,MEASUREMENT_NOT_OK|BASELINE_PHASE_COUNT_NOT_ONE|TREATMENT_PHASE_COUNT_NOT_EXACTLY_TWO|RELEASE_FRACTION_LT_0P15|SECOND_PEAK_RATIO_LT_0P50,PHASE_MERGE,True,True,30.951035,31.2864,True,True,False,True,False
bb5670893b7954be,2021.09.09.18.12.06_veh-42_00446_01239,PLANNED_FIRST_OUTPUT,0.053373,LOW_SPEED_ENDSTOP,LOW_SPEED_ENDSTOP,,,,,False,MEASUREMENT_NOT_OK|BASELINE_PHASE_COUNT_NOT_ONE|TREATMENT_PHASE_COUNT_NOT_EXACTLY_TWO|RELEASE_FRACTION_LT_0P15|SECOND_PEAK_RATIO_LT_0P50,LOW_SPEED_ENDSTOP,True,True,2.597673,2.867873,False,False,False,False,True
bb5670893b7954be,2021.09.09.18.12.06_veh-42_00446_01239,REALIZED_EGO_SEQUENCE,0.053373,LOW_SPEED_ENDSTOP,LOW_SPEED_ENDSTOP,,,,,False,MEASUREMENT_NOT_OK|BASELINE_PHASE_COUNT_NOT_ONE|TREATMENT_PHASE_COUNT_NOT_EXACTLY_TWO|RELEASE_FRACTION_LT_0P15|SECOND_PEAK_RATIO_LT_0P50,LOW_SPEED_ENDSTOP,True,True,2.597673,2.867873,False,False,False,False,True
