scenario_token,log_id,family,measurement_source,evaluation_status,mechanism_pair_status,mechanism_pair_pass,mechanism_failure_reasons,baseline_timestamp_max_deviation_s,treatment_timestamp_max_deviation_s,primary_f_match_status,primary_f_match_pass,baseline_status,treatment_status,baseline_retreat_or_phase_count,treatment_retreat_or_phase_count,baseline_commit_latency_s,treatment_commit_latency_s,baseline_monotonic_fraction,treatment_monotonic_fraction,treatment_release_fraction,treatment_second_peak_ratio
fd93956a3f9052dc,2021.08.23.15.14.44_veh-08_00917_01175,R-HLC,PLANNED_FIRST_OUTPUT,EVALUATED_80_CONSECUTIVE_ITERATIONS_ON_FROZEN_INDEX_GRID_NO_INTERPOLATION,HLC_MECHANISM_PAIR_FAIL,False,MEASUREMENT_NOT_OK|BASELINE_RETREAT_NOT_ZERO|TREATMENT_RETREAT_LT_ONE|COMMIT_LATENCY_NOT_EVALUABLE|MONOTONIC_NOT_EVALUABLE,0.0,0.0,F_MATCH_PASS,True,LOW_SPEED_TRANSITION,LOW_SPEED_TRANSITION,,,,,,,,
fd93956a3f9052dc,2021.08.23.15.14.44_veh-08_00917_01175,R-HLC,REALIZED_EGO_SEQUENCE,EVALUATED_80_CONSECUTIVE_ITERATIONS_ON_FROZEN_INDEX_GRID_NO_INTERPOLATION,HLC_MECHANISM_PAIR_FAIL,False,MEASUREMENT_NOT_OK|BASELINE_RETREAT_NOT_ZERO|TREATMENT_RETREAT_LT_ONE|COMMIT_LATENCY_NOT_EVALUABLE|MONOTONIC_NOT_EVALUABLE,0.000662,0.000662,F_MATCH_PASS,True,LOW_SPEED_TRANSITION,LOW_SPEED_TRANSITION,,,,,,,,
5d3f971cd6ff5a3a,2021.08.19.17.14.40_veh-45_02585_02856,R-HLC,PLANNED_FIRST_OUTPUT,EVALUATED_80_CONSECUTIVE_ITERATIONS_ON_FROZEN_INDEX_GRID_NO_INTERPOLATION,HLC_MECHANISM_PAIR_PASS,True,,0.0,0.0,F_MATCH_PASS,True,OK,OK,0,1,2.4,5.6,1.0,0.872697,,
5d3f971cd6ff5a3a,2021.08.19.17.14.40_veh-45_02585_02856,R-HLC,REALIZED_EGO_SEQUENCE,EVALUATED_80_CONSECUTIVE_ITERATIONS_ON_FROZEN_INDEX_GRID_NO_INTERPOLATION,HLC_MECHANISM_PAIR_FAIL,False,MONOTONIC_PENALTY_LT_0P1,0.00099,0.00099,F_MATCH_PASS,True,OK,OK,0,1,2.8,6.0,1.0,0.947436,,
bfdbb19e4ff85027,2021.09.15.17.01.41_veh-45_00425_01226,R-HLC,PLANNED_FIRST_OUTPUT,EVALUATED_80_CONSECUTIVE_ITERATIONS_ON_FROZEN_INDEX_GRID_NO_INTERPOLATION,HLC_MECHANISM_PAIR_FAIL,False,MEASUREMENT_NOT_OK|BASELINE_RETREAT_NOT_ZERO|TREATMENT_RETREAT_LT_ONE|COMMIT_LATENCY_NOT_EVALUABLE|MONOTONIC_NOT_EVALUABLE,0.0,0.0,F_MATCH_PASS,True,LOW_SPEED_TRANSITION,LOW_SPEED_TRANSITION,,,,,,,,
bfdbb19e4ff85027,2021.09.15.17.01.41_veh-45_00425_01226,R-HLC,REALIZED_EGO_SEQUENCE,EVALUATED_80_CONSECUTIVE_ITERATIONS_ON_FROZEN_INDEX_GRID_NO_INTERPOLATION,HLC_MECHANISM_PAIR_FAIL,False,MEASUREMENT_NOT_OK|BASELINE_RETREAT_NOT_ZERO|TREATMENT_RETREAT_LT_ONE|COMMIT_LATENCY_NOT_EVALUABLE|MONOTONIC_NOT_EVALUABLE,0.000796,0.000796,F_MATCH_PASS,True,LOW_SPEED_TRANSITION,LOW_SPEED_TRANSITION,,,,,,,,
84cd23d18b58550f,2021.06.23.16.54.19_veh-35_00808_01256,R-HLC,PLANNED_FIRST_OUTPUT,EVALUATED_80_CONSECUTIVE_ITERATIONS_ON_FROZEN_INDEX_GRID_NO_INTERPOLATION,HLC_MECHANISM_PAIR_PASS,True,,0.0,0.0,F_MATCH_PASS,True,OK,OK,0,1,2.4,5.6,1.0,0.872697,,
84cd23d18b58550f,2021.06.23.16.54.19_veh-35_00808_01256,R-HLC,REALIZED_EGO_SEQUENCE,EVALUATED_80_CONSECUTIVE_ITERATIONS_ON_FROZEN_INDEX_GRID_NO_INTERPOLATION,HLC_MECHANISM_PAIR_FAIL,False,MONOTONIC_PENALTY_LT_0P1,0.001282,0.001282,F_MATCH_PASS,True,OK,OK,0,1,2.8,6.0,1.0,0.947032,,
578993bfc973525e,2021.08.17.16.48.45_veh-43_02070_02652,R-HLC,PLANNED_FIRST_OUTPUT,EVALUATED_80_CONSECUTIVE_ITERATIONS_ON_FROZEN_INDEX_GRID_NO_INTERPOLATION,HLC_MECHANISM_PAIR_PASS,True,,0.0,0.0,F_MATCH_PASS,True,OK,OK,0,1,2.4,5.6,1.0,0.872697,,
578993bfc973525e,2021.08.17.16.48.45_veh-43_02070_02652,R-HLC,REALIZED_EGO_SEQUENCE,EVALUATED_80_CONSECUTIVE_ITERATIONS_ON_FROZEN_INDEX_GRID_NO_INTERPOLATION,HLC_MECHANISM_PAIR_FAIL,False,MONOTONIC_PENALTY_LT_0P1,0.0007,0.0007,F_MATCH_PASS,True,OK,OK,0,1,2.8,6.0,1.0,0.928255,,
d42842ff6aca5f6f,2021.09.23.17.03.56_veh-45_02539_02937,R-HLC,PLANNED_FIRST_OUTPUT,EVALUATED_80_CONSECUTIVE_ITERATIONS_ON_FROZEN_INDEX_GRID_NO_INTERPOLATION,HLC_MECHANISM_PAIR_PASS,True,,0.0,0.0,F_MATCH_PASS,True,OK,OK,0,1,2.4,5.6,1.0,0.872697,,
d42842ff6aca5f6f,2021.09.23.17.03.56_veh-45_02539_02937,R-HLC,REALIZED_EGO_SEQUENCE,EVALUATED_80_CONSECUTIVE_ITERATIONS_ON_FROZEN_INDEX_GRID_NO_INTERPOLATION,HLC_MECHANISM_PAIR_FAIL,False,TREATMENT_RETREAT_LT_ONE|MONOTONIC_PENALTY_LT_0P1,0.001138,0.001138,F_MATCH_PASS,True,OK,OK,0,0,3.7,6.5,1.0,1.0,,
14f06b5194ff5c85,2021.09.17.14.16.24_veh-45_01972_02284,R-HLC,PLANNED_FIRST_OUTPUT,EVALUATED_80_CONSECUTIVE_ITERATIONS_ON_FROZEN_INDEX_GRID_NO_INTERPOLATION,HLC_MECHANISM_PAIR_PASS,True,,0.0,0.0,F_MATCH_PASS,True,OK,OK,0,1,2.4,5.6,1.0,0.872697,,
14f06b5194ff5c85,2021.09.17.14.16.24_veh-45_01972_02284,R-HLC,REALIZED_EGO_SEQUENCE,EVALUATED_80_CONSECUTIVE_ITERATIONS_ON_FROZEN_INDEX_GRID_NO_INTERPOLATION,HLC_MECHANISM_PAIR_FAIL,False,TREATMENT_RETREAT_LT_ONE|MONOTONIC_PENALTY_LT_0P1,0.000957,0.000957,F_MATCH_PASS,True,OK,OK,0,0,2.8,6.1,1.0,0.994525,,
ff152a4cf9c4503b,2021.08.25.17.17.57_veh-42_01356_01819,R-TSB,PLANNED_FIRST_OUTPUT,EVALUATED_80_CONSECUTIVE_ITERATIONS_ON_FROZEN_INDEX_GRID_NO_INTERPOLATION,TSB_MECHANISM_PAIR_PASS,True,,0.0,0.0,F_MATCH_PASS,True,OK,OK,1,2,,,,,0.333333,1.0
ff152a4cf9c4503b,2021.08.25.17.17.57_veh-42_01356_01819,R-TSB,REALIZED_EGO_SEQUENCE,EVALUATED_80_CONSECUTIVE_ITERATIONS_ON_FROZEN_INDEX_GRID_NO_INTERPOLATION,TSB_MECHANISM_PAIR_FAIL,False,MEASUREMENT_NOT_OK|BASELINE_PHASE_COUNT_NOT_ONE|TREATMENT_PHASE_COUNT_NOT_EXACTLY_TWO|RELEASE_FRACTION_LT_0P15|SECOND_PEAK_RATIO_LT_0P50,0.000682,0.000682,F_MATCH_PASS,True,NO_BRAKE_PHASE,NO_BRAKE_PHASE,0,0,,,,,,
63f974504fa15b7d,2021.08.30.16.39.44_veh-45_00866_01142,R-TSB,PLANNED_FIRST_OUTPUT,EVALUATED_80_CONSECUTIVE_ITERATIONS_ON_FROZEN_INDEX_GRID_NO_INTERPOLATION,TSB_MECHANISM_PAIR_FAIL,False,MEASUREMENT_NOT_OK|BASELINE_PHASE_COUNT_NOT_ONE|TREATMENT_PHASE_COUNT_NOT_EXACTLY_TWO|RELEASE_FRACTION_LT_0P15|SECOND_PEAK_RATIO_LT_0P50,0.0,0.0,F_MATCH_PASS,True,LOW_SPEED_ENDSTOP,LOW_SPEED_ENDSTOP,,,,,,,,
63f974504fa15b7d,2021.08.30.16.39.44_veh-45_00866_01142,R-TSB,REALIZED_EGO_SEQUENCE,EVALUATED_80_CONSECUTIVE_ITERATIONS_ON_FROZEN_INDEX_GRID_NO_INTERPOLATION,TSB_MECHANISM_PAIR_FAIL,False,MEASUREMENT_NOT_OK|BASELINE_PHASE_COUNT_NOT_ONE|TREATMENT_PHASE_COUNT_NOT_EXACTLY_TWO|RELEASE_FRACTION_LT_0P15|SECOND_PEAK_RATIO_LT_0P50,0.000899,0.000899,F_MATCH_PASS,True,LOW_SPEED_ENDSTOP,LOW_SPEED_ENDSTOP,,,,,,,,
f5f5831fd0c05819,2021.09.21.18.54.31_veh-45_01637_02127,R-TSB,PLANNED_FIRST_OUTPUT,EVALUATED_80_CONSECUTIVE_ITERATIONS_ON_FROZEN_INDEX_GRID_NO_INTERPOLATION,TSB_MECHANISM_PAIR_PASS,True,,0.0,0.0,F_MATCH_PASS,True,OK,OK,1,2,,,,,0.333333,1.0
f5f5831fd0c05819,2021.09.21.18.54.31_veh-45_01637_02127,R-TSB,REALIZED_EGO_SEQUENCE,EVALUATED_80_CONSECUTIVE_ITERATIONS_ON_FROZEN_INDEX_GRID_NO_INTERPOLATION,TSB_MECHANISM_PAIR_FAIL,False,MEASUREMENT_NOT_OK|BASELINE_PHASE_COUNT_NOT_ONE|TREATMENT_PHASE_COUNT_NOT_EXACTLY_TWO|RELEASE_FRACTION_LT_0P15|SECOND_PEAK_RATIO_LT_0P50,0.000893,0.000893,F_MATCH_PASS,True,NO_BRAKE_PHASE,NO_BRAKE_PHASE,0,0,,,,,,
8a9802c7a8755477,2021.09.24.14.23.05_veh-45_02144_02442,R-TSB,PLANNED_FIRST_OUTPUT,EVALUATED_80_CONSECUTIVE_ITERATIONS_ON_FROZEN_INDEX_GRID_NO_INTERPOLATION,TSB_MECHANISM_PAIR_FAIL,False,MEASUREMENT_NOT_OK|BASELINE_PHASE_COUNT_NOT_ONE|TREATMENT_PHASE_COUNT_NOT_EXACTLY_TWO|RELEASE_FRACTION_LT_0P15|SECOND_PEAK_RATIO_LT_0P50,0.0,0.0,F_MATCH_PASS,True,LOW_SPEED_ENDSTOP,LOW_SPEED_ENDSTOP,,,,,,,,
8a9802c7a8755477,2021.09.24.14.23.05_veh-45_02144_02442,R-TSB,REALIZED_EGO_SEQUENCE,EVALUATED_80_CONSECUTIVE_ITERATIONS_ON_FROZEN_INDEX_GRID_NO_INTERPOLATION,TSB_MECHANISM_PAIR_FAIL,False,MEASUREMENT_NOT_OK|BASELINE_PHASE_COUNT_NOT_ONE|TREATMENT_PHASE_COUNT_NOT_EXACTLY_TWO|RELEASE_FRACTION_LT_0P15|SECOND_PEAK_RATIO_LT_0P50,0.000873,0.000873,F_MATCH_PASS,True,LOW_SPEED_ENDSTOP,LOW_SPEED_ENDSTOP,,,,,,,,
75ccfab926d352d0,2021.09.03.17.40.20_veh-42_00950_01784,R-TSB,PLANNED_FIRST_OUTPUT,EVALUATED_80_CONSECUTIVE_ITERATIONS_ON_FROZEN_INDEX_GRID_NO_INTERPOLATION,TSB_MECHANISM_PAIR_FAIL,False,MEASUREMENT_NOT_OK|BASELINE_PHASE_COUNT_NOT_ONE|TREATMENT_PHASE_COUNT_NOT_EXACTLY_TWO|RELEASE_FRACTION_LT_0P15|SECOND_PEAK_RATIO_LT_0P50,0.0,0.0,F_MATCH_PASS,True,LOW_SPEED_ENDSTOP,LOW_SPEED_ENDSTOP,,,,,,,,
75ccfab926d352d0,2021.09.03.17.40.20_veh-42_00950_01784,R-TSB,REALIZED_EGO_SEQUENCE,EVALUATED_80_CONSECUTIVE_ITERATIONS_ON_FROZEN_INDEX_GRID_NO_INTERPOLATION,TSB_MECHANISM_PAIR_FAIL,False,MEASUREMENT_NOT_OK|BASELINE_PHASE_COUNT_NOT_ONE|TREATMENT_PHASE_COUNT_NOT_EXACTLY_TWO|RELEASE_FRACTION_LT_0P15|SECOND_PEAK_RATIO_LT_0P50,0.000378,0.000378,F_MATCH_PASS,True,LOW_SPEED_ENDSTOP,LOW_SPEED_ENDSTOP,,,,,,,,
f5c321c583f95ac5,2021.09.24.14.23.05_veh-45_03426_03612,R-TSB,PLANNED_FIRST_OUTPUT,EVALUATED_80_CONSECUTIVE_ITERATIONS_ON_FROZEN_INDEX_GRID_NO_INTERPOLATION,TSB_MECHANISM_PAIR_FAIL,False,MEASUREMENT_NOT_OK|BASELINE_PHASE_COUNT_NOT_ONE|TREATMENT_PHASE_COUNT_NOT_EXACTLY_TWO|RELEASE_FRACTION_LT_0P15|SECOND_PEAK_RATIO_LT_0P50,0.0,0.0,F_MATCH_PASS,True,LOW_SPEED_ENDSTOP,LOW_SPEED_ENDSTOP,,,,,,,,
f5c321c583f95ac5,2021.09.24.14.23.05_veh-45_03426_03612,R-TSB,REALIZED_EGO_SEQUENCE,EVALUATED_80_CONSECUTIVE_ITERATIONS_ON_FROZEN_INDEX_GRID_NO_INTERPOLATION,TSB_MECHANISM_PAIR_FAIL,False,MEASUREMENT_NOT_OK|BASELINE_PHASE_COUNT_NOT_ONE|TREATMENT_PHASE_COUNT_NOT_EXACTLY_TWO|RELEASE_FRACTION_LT_0P15|SECOND_PEAK_RATIO_LT_0P50,0.000931,0.000931,F_MATCH_PASS,True,LOW_SPEED_ENDSTOP,LOW_SPEED_ENDSTOP,,,,,,,,
d0fbbbd27a6c5882,2021.09.21.17.53.12_veh-08_02449_02583,R-TSB,PLANNED_FIRST_OUTPUT,EVALUATED_80_CONSECUTIVE_ITERATIONS_ON_FROZEN_INDEX_GRID_NO_INTERPOLATION,TSB_MECHANISM_PAIR_PASS,True,,0.0,0.0,F_MATCH_PASS,True,OK,OK,1,2,,,,,0.333333,1.0
d0fbbbd27a6c5882,2021.09.21.17.53.12_veh-08_02449_02583,R-TSB,REALIZED_EGO_SEQUENCE,EVALUATED_80_CONSECUTIVE_ITERATIONS_ON_FROZEN_INDEX_GRID_NO_INTERPOLATION,TSB_MECHANISM_PAIR_FAIL,False,MEASUREMENT_NOT_OK|BASELINE_PHASE_COUNT_NOT_ONE|TREATMENT_PHASE_COUNT_NOT_EXACTLY_TWO|RELEASE_FRACTION_LT_0P15|SECOND_PEAK_RATIO_LT_0P50,0.000566,0.000566,F_MATCH_PASS,True,NO_BRAKE_PHASE,NO_BRAKE_PHASE,0,0,,,,,,
f464a2a451d85356,2021.08.27.13.08.25_veh-42_00375_01720,R-TSB,PLANNED_FIRST_OUTPUT,EVALUATED_80_CONSECUTIVE_ITERATIONS_ON_FROZEN_INDEX_GRID_NO_INTERPOLATION,TSB_MECHANISM_PAIR_PASS,True,,0.0,0.0,F_MATCH_PASS,True,OK,OK,1,2,,,,,0.333333,1.0
f464a2a451d85356,2021.08.27.13.08.25_veh-42_00375_01720,R-TSB,REALIZED_EGO_SEQUENCE,EVALUATED_80_CONSECUTIVE_ITERATIONS_ON_FROZEN_INDEX_GRID_NO_INTERPOLATION,TSB_MECHANISM_PAIR_FAIL,False,MEASUREMENT_NOT_OK|BASELINE_PHASE_COUNT_NOT_ONE|TREATMENT_PHASE_COUNT_NOT_EXACTLY_TWO|RELEASE_FRACTION_LT_0P15|SECOND_PEAK_RATIO_LT_0P50,0.00054,0.00054,F_MATCH_PASS,True,NO_BRAKE_PHASE,NO_BRAKE_PHASE,0,0,,,,,,
8e39a64c0e655afb,2021.10.01.19.16.42_veh-28_02011_02410,R-TSB,PLANNED_FIRST_OUTPUT,EVALUATED_80_CONSECUTIVE_ITERATIONS_ON_FROZEN_INDEX_GRID_NO_INTERPOLATION,TSB_MECHANISM_PAIR_PASS,True,,0.0,0.0,F_MATCH_PASS,True,OK,OK,1,2,,,,,0.333333,1.0
8e39a64c0e655afb,2021.10.01.19.16.42_veh-28_02011_02410,R-TSB,REALIZED_EGO_SEQUENCE,EVALUATED_80_CONSECUTIVE_ITERATIONS_ON_FROZEN_INDEX_GRID_NO_INTERPOLATION,TSB_MECHANISM_PAIR_FAIL,False,MEASUREMENT_NOT_OK|BASELINE_PHASE_COUNT_NOT_ONE|TREATMENT_PHASE_COUNT_NOT_EXACTLY_TWO|RELEASE_FRACTION_LT_0P15|SECOND_PEAK_RATIO_LT_0P50,0.000204,0.000204,F_MATCH_PASS,True,NO_BRAKE_PHASE,NO_BRAKE_PHASE,0,0,,,,,,
bd57b58eddb55436,2021.08.20.13.00.37_veh-08_02328_02673,R-TSB,PLANNED_FIRST_OUTPUT,EVALUATED_80_CONSECUTIVE_ITERATIONS_ON_FROZEN_INDEX_GRID_NO_INTERPOLATION,TSB_MECHANISM_PAIR_FAIL,False,MEASUREMENT_NOT_OK|BASELINE_PHASE_COUNT_NOT_ONE|TREATMENT_PHASE_COUNT_NOT_EXACTLY_TWO|RELEASE_FRACTION_LT_0P15|SECOND_PEAK_RATIO_LT_0P50,0.0,0.0,F_MATCH_PASS,True,LOW_SPEED_ENDSTOP,LOW_SPEED_ENDSTOP,,,,,,,,
bd57b58eddb55436,2021.08.20.13.00.37_veh-08_02328_02673,R-TSB,REALIZED_EGO_SEQUENCE,EVALUATED_80_CONSECUTIVE_ITERATIONS_ON_FROZEN_INDEX_GRID_NO_INTERPOLATION,TSB_MECHANISM_PAIR_FAIL,False,MEASUREMENT_NOT_OK|BASELINE_PHASE_COUNT_NOT_ONE|TREATMENT_PHASE_COUNT_NOT_EXACTLY_TWO|RELEASE_FRACTION_LT_0P15|SECOND_PEAK_RATIO_LT_0P50,0.000667,0.000667,F_MATCH_PASS,True,LOW_SPEED_ENDSTOP,LOW_SPEED_ENDSTOP,,,,,,,,
118dae215aa257e2,2021.09.17.18.16.32_veh-45_01447_01769,R-TSB,PLANNED_FIRST_OUTPUT,EVALUATED_80_CONSECUTIVE_ITERATIONS_ON_FROZEN_INDEX_GRID_NO_INTERPOLATION,TSB_MECHANISM_PAIR_FAIL,False,MEASUREMENT_NOT_OK|BASELINE_PHASE_COUNT_NOT_ONE|TREATMENT_PHASE_COUNT_NOT_EXACTLY_TWO|RELEASE_FRACTION_LT_0P15|SECOND_PEAK_RATIO_LT_0P50,0.0,0.0,F_MATCH_PASS,True,LOW_SPEED_ENDSTOP,LOW_SPEED_ENDSTOP,,,,,,,,
118dae215aa257e2,2021.09.17.18.16.32_veh-45_01447_01769,R-TSB,REALIZED_EGO_SEQUENCE,EVALUATED_80_CONSECUTIVE_ITERATIONS_ON_FROZEN_INDEX_GRID_NO_INTERPOLATION,TSB_MECHANISM_PAIR_FAIL,False,MEASUREMENT_NOT_OK|BASELINE_PHASE_COUNT_NOT_ONE|TREATMENT_PHASE_COUNT_NOT_EXACTLY_TWO|RELEASE_FRACTION_LT_0P15|SECOND_PEAK_RATIO_LT_0P50,0.000838,0.000838,F_MATCH_PASS,True,NO_BRAKE_PHASE,NO_BRAKE_PHASE,0,0,,,,,,
bb5670893b7954be,2021.09.09.18.12.06_veh-42_00446_01239,R-TSB,PLANNED_FIRST_OUTPUT,EVALUATED_80_CONSECUTIVE_ITERATIONS_ON_FROZEN_INDEX_GRID_NO_INTERPOLATION,TSB_MECHANISM_PAIR_FAIL,False,MEASUREMENT_NOT_OK|BASELINE_PHASE_COUNT_NOT_ONE|TREATMENT_PHASE_COUNT_NOT_EXACTLY_TWO|RELEASE_FRACTION_LT_0P15|SECOND_PEAK_RATIO_LT_0P50,0.0,0.0,F_MATCH_PASS,True,LOW_SPEED_ENDSTOP,LOW_SPEED_ENDSTOP,,,,,,,,
bb5670893b7954be,2021.09.09.18.12.06_veh-42_00446_01239,R-TSB,REALIZED_EGO_SEQUENCE,EVALUATED_80_CONSECUTIVE_ITERATIONS_ON_FROZEN_INDEX_GRID_NO_INTERPOLATION,TSB_MECHANISM_PAIR_FAIL,False,MEASUREMENT_NOT_OK|BASELINE_PHASE_COUNT_NOT_ONE|TREATMENT_PHASE_COUNT_NOT_EXACTLY_TWO|RELEASE_FRACTION_LT_0P15|SECOND_PEAK_RATIO_LT_0P50,0.000546,0.000546,F_MATCH_PASS,True,LOW_SPEED_ENDSTOP,LOW_SPEED_ENDSTOP,,,,,,,,
