run_id,scenario_token,log_id,family,smoke_arm,planner_call_count,position_error_m_min,position_error_m_median,position_error_m_p95,position_error_m_max,heading_error_rad_median,heading_error_rad_p95,heading_error_rad_max,speed_error_mps_median,speed_error_mps_p95,speed_error_mps_max,timestamp_error_us_median,timestamp_error_us_max,exact_first_state_continuity
R-HLC__fd93956a3f9052dc__B2R1_BASELINE,fd93956a3f9052dc,2021.08.23.15.14.44_veh-08_00917_01175,R-HLC,HLC_BASELINE_DECISIVE_MONOTONIC_LANE_CHANGE,149,0.229295,3.60374,3.616137,3.617081,1.010066,1.519668,1.598358,0.015369,0.962127,1.516516,0.0,0,False
R-HLC__fd93956a3f9052dc__B2R1_TREATMENT,fd93956a3f9052dc,2021.08.23.15.14.44_veh-08_00917_01175,R-HLC,HLC_TREATMENT_HLC_GEN_V2_OPTION_B,149,0.229296,4.54956,4.577107,4.577152,0.956302,1.625376,1.656039,0.068297,0.732583,1.062272,0.0,0,False
R-HLC__5d3f971cd6ff5a3a__B2R1_BASELINE,5d3f971cd6ff5a3a,2021.08.19.17.14.40_veh-45_02585_02856,R-HLC,HLC_BASELINE_DECISIVE_MONOTONIC_LANE_CHANGE,199,0.055044,0.084367,0.678031,0.771245,0.009037,0.123257,0.210386,6e-06,0.128094,0.359459,0.0,0,False
R-HLC__5d3f971cd6ff5a3a__B2R1_TREATMENT,5d3f971cd6ff5a3a,2021.08.19.17.14.40_veh-45_02585_02856,R-HLC,HLC_TREATMENT_HLC_GEN_V2_OPTION_B,199,0.006872,0.09425,0.598984,0.762709,0.017452,0.118581,0.167104,0.000272,0.090868,0.14446,0.0,0,False
R-HLC__bfdbb19e4ff85027__B2R1_BASELINE,bfdbb19e4ff85027,2021.09.15.17.01.41_veh-45_00425_01226,R-HLC,HLC_BASELINE_DECISIVE_MONOTONIC_LANE_CHANGE,149,0.097487,3.793233,3.828986,3.842063,1.066985,1.539433,1.611339,0.014812,1.000125,1.580412,0.0,0,False
R-HLC__bfdbb19e4ff85027__B2R1_TREATMENT,bfdbb19e4ff85027,2021.09.15.17.01.41_veh-45_00425_01226,R-HLC,HLC_TREATMENT_HLC_GEN_V2_OPTION_B,149,0.097486,4.776471,4.793765,4.793778,1.005796,1.637476,1.658743,0.071213,0.763417,1.10775,0.0,0,False
R-HLC__84cd23d18b58550f__B2R1_BASELINE,84cd23d18b58550f,2021.06.23.16.54.19_veh-35_00808_01256,R-HLC,HLC_BASELINE_DECISIVE_MONOTONIC_LANE_CHANGE,149,0.004779,0.281612,0.68345,0.775135,0.015649,0.125854,0.18278,0.00014,0.194997,0.349679,0.0,0,False
R-HLC__84cd23d18b58550f__B2R1_TREATMENT,84cd23d18b58550f,2021.06.23.16.54.19_veh-35_00808_01256,R-HLC,HLC_TREATMENT_HLC_GEN_V2_OPTION_B,149,0.004779,0.316092,0.682039,0.769337,0.031367,0.10587,0.154086,0.004834,0.159845,0.199725,0.0,0,False
R-HLC__578993bfc973525e__B2R1_BASELINE,578993bfc973525e,2021.08.17.16.48.45_veh-43_02070_02652,R-HLC,HLC_BASELINE_DECISIVE_MONOTONIC_LANE_CHANGE,199,0.113052,0.265619,0.621844,0.707232,0.007086,0.096525,0.18223,4e-06,0.141614,0.307794,0.0,0,False
R-HLC__578993bfc973525e__B2R1_TREATMENT,578993bfc973525e,2021.08.17.16.48.45_veh-43_02070_02652,R-HLC,HLC_TREATMENT_HLC_GEN_V2_OPTION_B,199,0.11869,0.245382,0.572589,0.711985,0.015349,0.10217,0.145623,0.000219,0.115369,0.155185,0.0,0,False
R-HLC__d42842ff6aca5f6f__B2R1_BASELINE,d42842ff6aca5f6f,2021.09.23.17.03.56_veh-45_02539_02937,R-HLC,HLC_BASELINE_DECISIVE_MONOTONIC_LANE_CHANGE,200,0.005895,1.004694,1.806817,2.18985,0.234076,0.842184,0.923178,2.5e-05,0.642813,1.179196,0.0,0,False
R-HLC__d42842ff6aca5f6f__B2R1_TREATMENT,d42842ff6aca5f6f,2021.09.23.17.03.56_veh-45_02539_02937,R-HLC,HLC_TREATMENT_HLC_GEN_V2_OPTION_B,200,0.005895,1.468287,1.786202,1.919842,0.215153,0.72679,1.12861,0.001386,0.433326,0.595061,0.0,0,False
R-HLC__14f06b5194ff5c85__B2R1_BASELINE,14f06b5194ff5c85,2021.09.17.14.16.24_veh-45_01972_02284,R-HLC,HLC_BASELINE_DECISIVE_MONOTONIC_LANE_CHANGE,149,0.099869,0.281267,0.799258,0.878414,0.017754,0.165763,0.269882,0.00026,0.270717,0.394249,0.0,0,False
R-HLC__14f06b5194ff5c85__B2R1_TREATMENT,14f06b5194ff5c85,2021.09.17.14.16.24_veh-45_01972_02284,R-HLC,HLC_TREATMENT_HLC_GEN_V2_OPTION_B,149,0.099869,0.402304,0.725785,0.883268,0.037252,0.168299,0.206892,0.009953,0.180055,0.189953,0.0,0,False
R-TSB__ff152a4cf9c4503b__B2R1_BASELINE,ff152a4cf9c4503b,2021.08.25.17.17.57_veh-42_01356_01819,R-TSB,TSB_BASELINE_SINGLE_CONTINUOUS_BRAKING,199,0.0,92.269398,176.167372,185.486407,0.0,0.0,0.0,1.5e-05,0.401202,0.522093,0.0,0,False
R-TSB__ff152a4cf9c4503b__B2R1_TREATMENT,ff152a4cf9c4503b,2021.08.25.17.17.57_veh-42_01356_01819,R-TSB,TSB_TREATMENT_TSB_GEN_V2_OPTION_A,199,0.0,92.667966,176.565935,185.884969,0.0,0.0,0.0,2.2e-05,0.174576,0.239303,0.0,0,False
R-TSB__63f974504fa15b7d__B2R1_BASELINE,63f974504fa15b7d,2021.08.30.16.39.44_veh-45_00866_01142,R-TSB,TSB_BASELINE_SINGLE_CONTINUOUS_BRAKING,149,0.0,4.911475,10.332837,10.935338,0.0,0.0,0.0,0.000436,0.423158,0.478936,0.0,0,False
R-TSB__63f974504fa15b7d__B2R1_TREATMENT,63f974504fa15b7d,2021.08.30.16.39.44_veh-45_00866_01142,R-TSB,TSB_TREATMENT_TSB_GEN_V2_OPTION_A,149,0.0,5.106859,10.527961,11.130462,0.0,0.0,0.0,0.000729,0.263299,0.295662,0.0,0,False
R-TSB__f5f5831fd0c05819__B2R1_BASELINE,f5f5831fd0c05819,2021.09.21.18.54.31_veh-45_01637_02127,R-TSB,TSB_BASELINE_SINGLE_CONTINUOUS_BRAKING,149,0.0,85.539398,163.411208,172.065721,0.0,0.0,0.0,0.000467,0.432761,0.508104,0.0,0,False
R-TSB__f5f5831fd0c05819__B2R1_TREATMENT,f5f5831fd0c05819,2021.09.21.18.54.31_veh-45_01637_02127,R-TSB,TSB_TREATMENT_TSB_GEN_V2_OPTION_A,149,0.0,85.856658,163.728254,172.382767,0.0,0.0,0.0,0.000708,0.206994,0.249035,0.0,0,False
R-TSB__8a9802c7a8755477__B2R1_BASELINE,8a9802c7a8755477,2021.09.24.14.23.05_veh-45_02144_02442,R-TSB,TSB_BASELINE_SINGLE_CONTINUOUS_BRAKING,200,0.0,9.023891,18.269955,19.297428,0.0,0.0,0.0,1.4e-05,0.459367,0.57077,0.0,0,False
R-TSB__8a9802c7a8755477__B2R1_TREATMENT,8a9802c7a8755477,2021.09.24.14.23.05_veh-45_02144_02442,R-TSB,TSB_TREATMENT_TSB_GEN_V2_OPTION_A,200,0.0,9.3857,18.631758,19.659231,0.0,0.0,0.0,2.1e-05,0.251315,0.286847,0.0,0,False
R-TSB__75ccfab926d352d0__B2R1_BASELINE,75ccfab926d352d0,2021.09.03.17.40.20_veh-42_00950_01784,R-TSB,TSB_BASELINE_SINGLE_CONTINUOUS_BRAKING,149,0.0,1.256917,2.588954,2.736885,0.0,0.0,0.0,1.4e-05,0.115235,0.198422,0.0,0,False
R-TSB__75ccfab926d352d0__B2R1_TREATMENT,75ccfab926d352d0,2021.09.03.17.40.20_veh-42_00950_01784,R-TSB,TSB_TREATMENT_TSB_GEN_V2_OPTION_A,149,0.0,1.356335,2.688423,2.836355,0.0,0.0,0.0,5.2e-05,0.141826,0.198422,0.0,0,False
R-TSB__f5c321c583f95ac5__B2R1_BASELINE,f5c321c583f95ac5,2021.09.24.14.23.05_veh-45_03426_03612,R-TSB,TSB_BASELINE_SINGLE_CONTINUOUS_BRAKING,149,0.0,1.258443,2.590624,2.738529,0.0,0.0,0.0,1.4e-05,0.114284,0.199397,0.0,0,False
R-TSB__f5c321c583f95ac5__B2R1_TREATMENT,f5c321c583f95ac5,2021.09.24.14.23.05_veh-45_03426_03612,R-TSB,TSB_TREATMENT_TSB_GEN_V2_OPTION_A,149,0.0,1.358125,2.690357,2.838262,0.0,0.0,0.0,5.2e-05,0.140722,0.199397,0.0,0,False
R-TSB__d0fbbbd27a6c5882__B2R1_BASELINE,d0fbbbd27a6c5882,2021.09.21.17.53.12_veh-08_02449_02583,R-TSB,TSB_BASELINE_SINGLE_CONTINUOUS_BRAKING,200,0.0,64.311649,123.146901,129.681946,0.0,0.0,0.0,1.4e-05,0.399376,0.521577,0.0,0,False
R-TSB__d0fbbbd27a6c5882__B2R1_TREATMENT,d0fbbbd27a6c5882,2021.09.21.17.53.12_veh-08_02449_02583,R-TSB,TSB_TREATMENT_TSB_GEN_V2_OPTION_A,200,0.0,64.609428,123.444673,129.979719,0.0,0.0,0.0,2.1e-05,0.220966,0.260091,0.0,0,False
R-TSB__f464a2a451d85356__B2R1_BASELINE,f464a2a451d85356,2021.08.27.13.08.25_veh-42_00375_01720,R-TSB,TSB_BASELINE_SINGLE_CONTINUOUS_BRAKING,200,1e-06,57.518821,110.344876,116.213465,0.0,0.0,0.0,1.4e-05,0.418746,0.545055,0.0,0,False
R-TSB__f464a2a451d85356__B2R1_TREATMENT,f464a2a451d85356,2021.08.27.13.08.25_veh-42_00375_01720,R-TSB,TSB_TREATMENT_TSB_GEN_V2_OPTION_A,200,1e-06,57.812955,110.639002,116.50759,0.0,0.0,0.0,2.4e-05,0.247705,0.272119,0.0,0,False
R-TSB__8e39a64c0e655afb__B2R1_BASELINE,8e39a64c0e655afb,2021.10.01.19.16.42_veh-28_02011_02410,R-TSB,TSB_BASELINE_SINGLE_CONTINUOUS_BRAKING,199,0.0,61.109875,117.317639,123.563711,0.0,0.0,0.0,1.6e-05,0.48298,0.606077,0.0,0,False
R-TSB__8e39a64c0e655afb__B2R1_TREATMENT,8e39a64c0e655afb,2021.10.01.19.16.42_veh-28_02011_02410,R-TSB,TSB_TREATMENT_TSB_GEN_V2_OPTION_A,199,0.0,61.536798,117.744557,123.990629,0.0,0.0,0.0,2.2e-05,0.25254,0.310125,0.0,0,False
R-TSB__bd57b58eddb55436__B2R1_BASELINE,bd57b58eddb55436,2021.08.20.13.00.37_veh-08_02328_02673,R-TSB,TSB_BASELINE_SINGLE_CONTINUOUS_BRAKING,149,0.0,1.260157,2.592237,2.740252,0.0,0.0,0.0,1.4e-05,0.113339,0.199541,0.0,0,False
R-TSB__bd57b58eddb55436__B2R1_TREATMENT,bd57b58eddb55436,2021.08.20.13.00.37_veh-08_02328_02673,R-TSB,TSB_TREATMENT_TSB_GEN_V2_OPTION_A,149,0.0,1.360018,2.692149,2.840165,0.0,0.0,0.0,5.3e-05,0.139641,0.199541,0.0,0,False
R-TSB__118dae215aa257e2__B2R1_BASELINE,118dae215aa257e2,2021.09.17.18.16.32_veh-45_01447_01769,R-TSB,TSB_BASELINE_SINGLE_CONTINUOUS_BRAKING,200,0.0,14.902319,29.346634,30.951035,0.0,0.0,0.0,1.4e-05,0.409473,0.539776,0.0,0,False
R-TSB__118dae215aa257e2__B2R1_TREATMENT,118dae215aa257e2,2021.09.17.18.16.32_veh-45_01447_01769,R-TSB,TSB_TREATMENT_TSB_GEN_V2_OPTION_A,200,0.0,15.237689,29.682,31.2864,0.0,0.0,0.0,2e-05,0.233628,0.262492,0.0,0,False
R-TSB__bb5670893b7954be__B2R1_BASELINE,bb5670893b7954be,2021.09.09.18.12.06_veh-42_00446_01239,R-TSB,TSB_BASELINE_SINGLE_CONTINUOUS_BRAKING,149,0.0,1.122703,2.449738,2.597673,0.0,0.0,0.0,0.002878,0.136853,0.161569,0.0,0,False
R-TSB__bb5670893b7954be__B2R1_TREATMENT,bb5670893b7954be,2021.09.09.18.12.06_veh-42_00446_01239,R-TSB,TSB_TREATMENT_TSB_GEN_V2_OPTION_A,149,0.0,1.387866,2.719902,2.867873,0.0,0.0,0.0,5.4e-05,0.128035,0.161572,0.0,0,False
