scenario_token,log_id,measurement_source,baseline_retreat_count,treatment_retreat_count,baseline_commit_latency_s,treatment_commit_latency_s,commit_latency_delta_s,baseline_monotonic_fraction,treatment_monotonic_fraction,monotonic_delta,mechanism_pair_pass,failure_reasons,forensic_class,secondary_heading_delta_near_2pi,engineering_pass,baseline_continuity_position_max_m,treatment_continuity_position_max_m
fd93956a3f9052dc,2021.08.23.15.14.44_veh-08_00917_01175,PLANNED_FIRST_OUTPUT,,,,,,,,,False,MEASUREMENT_NOT_OK|BASELINE_RETREAT_NOT_ZERO|TREATMENT_RETREAT_LT_ONE|COMMIT_LATENCY_NOT_EVALUABLE|MONOTONIC_NOT_EVALUABLE,GEOMETRY_PROJECTION,True,False,3.617081,4.577152
fd93956a3f9052dc,2021.08.23.15.14.44_veh-08_00917_01175,REALIZED_EGO_SEQUENCE,,,,,,,,,False,MEASUREMENT_NOT_OK|BASELINE_RETREAT_NOT_ZERO|TREATMENT_RETREAT_LT_ONE|COMMIT_LATENCY_NOT_EVALUABLE|MONOTONIC_NOT_EVALUABLE,GEOMETRY_PROJECTION,True,False,3.617081,4.577152
5d3f971cd6ff5a3a,2021.08.19.17.14.40_veh-45_02585_02856,PLANNED_FIRST_OUTPUT,0,1,2.4,5.6,3.2,1.0,0.872697,-0.127303,True,,REPLAN_DISCONTINUITY,False,True,0.771245,0.762709
5d3f971cd6ff5a3a,2021.08.19.17.14.40_veh-45_02585_02856,REALIZED_EGO_SEQUENCE,0,1,2.8,6.0,3.2,1.0,0.947436,-0.052564,False,MONOTONIC_PENALTY_LT_0P1,MONOTONIC_GATE,False,True,0.771245,0.762709
bfdbb19e4ff85027,2021.09.15.17.01.41_veh-45_00425_01226,PLANNED_FIRST_OUTPUT,,,,,,,,,False,MEASUREMENT_NOT_OK|BASELINE_RETREAT_NOT_ZERO|TREATMENT_RETREAT_LT_ONE|COMMIT_LATENCY_NOT_EVALUABLE|MONOTONIC_NOT_EVALUABLE,GEOMETRY_PROJECTION,True,False,3.842063,4.793778
bfdbb19e4ff85027,2021.09.15.17.01.41_veh-45_00425_01226,REALIZED_EGO_SEQUENCE,,,,,,,,,False,MEASUREMENT_NOT_OK|BASELINE_RETREAT_NOT_ZERO|TREATMENT_RETREAT_LT_ONE|COMMIT_LATENCY_NOT_EVALUABLE|MONOTONIC_NOT_EVALUABLE,GEOMETRY_PROJECTION,True,False,3.842063,4.793778
84cd23d18b58550f,2021.06.23.16.54.19_veh-35_00808_01256,PLANNED_FIRST_OUTPUT,0,1,2.4,5.6,3.2,1.0,0.872697,-0.127303,True,,REPLAN_DISCONTINUITY,False,True,0.775135,0.769337
84cd23d18b58550f,2021.06.23.16.54.19_veh-35_00808_01256,REALIZED_EGO_SEQUENCE,0,1,2.8,6.0,3.2,1.0,0.947032,-0.052968,False,MONOTONIC_PENALTY_LT_0P1,MONOTONIC_GATE,False,True,0.775135,0.769337
578993bfc973525e,2021.08.17.16.48.45_veh-43_02070_02652,PLANNED_FIRST_OUTPUT,0,1,2.4,5.6,3.2,1.0,0.872697,-0.127303,True,,REPLAN_DISCONTINUITY,False,True,0.707232,0.711985
578993bfc973525e,2021.08.17.16.48.45_veh-43_02070_02652,REALIZED_EGO_SEQUENCE,0,1,2.8,6.0,3.2,1.0,0.928255,-0.071745,False,MONOTONIC_PENALTY_LT_0P1,MONOTONIC_GATE,False,True,0.707232,0.711985
d42842ff6aca5f6f,2021.09.23.17.03.56_veh-45_02539_02937,PLANNED_FIRST_OUTPUT,0,1,2.4,5.6,3.2,1.0,0.872697,-0.127303,True,,REPLAN_DISCONTINUITY,False,False,2.18985,1.919842
d42842ff6aca5f6f,2021.09.23.17.03.56_veh-45_02539_02937,REALIZED_EGO_SEQUENCE,0,0,3.7,6.5,2.8,1.0,1.0,0.0,False,TREATMENT_RETREAT_LT_ONE|MONOTONIC_PENALTY_LT_0P1,RETREAT_NOT_RETAINED,False,False,2.18985,1.919842
14f06b5194ff5c85,2021.09.17.14.16.24_veh-45_01972_02284,PLANNED_FIRST_OUTPUT,0,1,2.4,5.6,3.2,1.0,0.872697,-0.127303,True,,REPLAN_DISCONTINUITY,False,True,0.878414,0.883268
14f06b5194ff5c85,2021.09.17.14.16.24_veh-45_01972_02284,REALIZED_EGO_SEQUENCE,0,0,2.8,6.1,3.3,1.0,0.994525,-0.005475,False,TREATMENT_RETREAT_LT_ONE|MONOTONIC_PENALTY_LT_0P1,RETREAT_NOT_RETAINED,False,True,0.878414,0.883268
