residual_family,feature_id,role,source_kind,unit,pre_or_post_treatment,primary_gate,rationale,implementation_status
R-HLC,raw33.lane_change_oscillation_score_proxy,M_behavior,existing_target_v0.1,fraction,post-treatment_or_whole-window,true,post-treatment morphology/mechanism qualification; never Primary F_match,EXISTING_DEFINITION
R-HLC,raw33.front_pressure_score,Semantic_probe_only,existing_target_v0.1,m proxy,whole-window_descriptor_not_context,false,retained for D1 semantic probing or secondary description; not a Primary D4 matching gate,EXISTING_DEFINITION
R-HLC,raw33.left_front_min_gap,Semantic_probe_only,existing_target_v0.1,m,whole-window_descriptor_not_context,false,retained for D1 semantic probing or secondary description; not a Primary D4 matching gate,EXISTING_DEFINITION
R-HLC,raw33.left_rear_min_gap,Semantic_probe_only,existing_target_v0.1,m,whole-window_descriptor_not_context,false,retained for D1 semantic probing or secondary description; not a Primary D4 matching gate,EXISTING_DEFINITION
R-HLC,raw33.right_front_min_gap,Semantic_probe_only,existing_target_v0.1,m,whole-window_descriptor_not_context,false,retained for D1 semantic probing or secondary description; not a Primary D4 matching gate,EXISTING_DEFINITION
R-HLC,raw33.right_rear_min_gap,Semantic_probe_only,existing_target_v0.1,m,whole-window_descriptor_not_context,false,retained for D1 semantic probing or secondary description; not a Primary D4 matching gate,EXISTING_DEFINITION
R-HLC,raw33.left_gap_min,Semantic_probe_only,existing_target_v0.1,m,whole-window_descriptor_not_context,false,retained for D1 semantic probing or secondary description; not a Primary D4 matching gate,EXISTING_DEFINITION
R-HLC,raw33.right_gap_min,Semantic_probe_only,existing_target_v0.1,m,whole-window_descriptor_not_context,false,retained for D1 semantic probing or secondary description; not a Primary D4 matching gate,EXISTING_DEFINITION
R-HLC,raw33.left_gap_acceptance_proxy,Semantic_probe_only,existing_target_v0.1,fraction,whole-window_descriptor_not_context,false,retained for D1 semantic probing or secondary description; not a Primary D4 matching gate,EXISTING_DEFINITION
R-HLC,raw33.right_gap_acceptance_proxy,Semantic_probe_only,existing_target_v0.1,fraction,whole-window_descriptor_not_context,false,retained for D1 semantic probing or secondary description; not a Primary D4 matching gate,EXISTING_DEFINITION
R-HLC,raw33.rear_vehicle_pressure_proxy,Semantic_probe_only,existing_target_v0.1,m/s proxy,whole-window_descriptor_not_context,false,retained for D1 semantic probing or secondary description; not a Primary D4 matching gate,EXISTING_DEFINITION
R-HLC,raw33.yielding_score_proxy,Semantic_probe_only,existing_target_v0.1,1/s proxy,whole-window_descriptor_not_context,false,retained for D1 semantic probing or secondary description; not a Primary D4 matching gate,EXISTING_DEFINITION
R-HLC,raw33.assertiveness_score_proxy,Semantic_probe_only,existing_target_v0.1,fraction,whole-window_descriptor_not_context,false,retained for D1 semantic probing or secondary description; not a Primary D4 matching gate,EXISTING_DEFINITION
R-HLC,longitudinal_v2.ego_speed_smoothed,Semantic_probe_only,existing_target_v0.1,m/s,whole-window_descriptor_not_context,false,retained for D1 semantic probing or secondary description; not a Primary D4 matching gate,EXISTING_DEFINITION
R-HLC,longitudinal_v2.ego_longitudinal_accel,Semantic_probe_only,existing_target_v0.1,m/s^2,whole-window_descriptor_not_context,false,retained for D1 semantic probing or secondary description; not a Primary D4 matching gate,EXISTING_DEFINITION
R-HLC,longitudinal_v2.ego_longitudinal_jerk,Semantic_probe_only,existing_target_v0.1,m/s^3,whole-window_descriptor_not_context,false,retained for D1 semantic probing or secondary description; not a Primary D4 matching gate,EXISTING_DEFINITION
R-HLC,context.map_location,Context_match,pre_treatment_contract,category,pre-treatment_only,true,Map/location identity known before treatment,BIND_EXACT_COLUMN_BEFORE_D4_EXECUTION
R-HLC,context.road_class,Context_match,pre_treatment_contract,category,pre-treatment_only,true,Road/lane topology class known before treatment,BIND_EXACT_COLUMN_BEFORE_D4_EXECUTION
R-HLC,context.log_id,Context_match,pre_treatment_contract,identifier,pre-treatment_only,true,Log cluster identity; matching/blocking only,BIND_EXACT_COLUMN_BEFORE_D4_EXECUTION
R-HLC,context.intended_lane_change_direction,Context_match,pre_treatment_contract,category,pre-treatment_only,true,Pre-treatment intended maneuver direction,BIND_EXACT_COLUMN_BEFORE_D4_EXECUTION
R-HLC,context.initial_speed_mps,Context_match,pre_treatment_contract,m/s,pre-treatment_only,true,Ego speed at frozen pre-treatment anchor,BIND_EXACT_COLUMN_BEFORE_D4_EXECUTION
R-HLC,context.initial_lane_offset_m,Context_match,pre_treatment_contract,m,pre-treatment_only,true,Ego lane offset at pre-treatment anchor,BIND_EXACT_COLUMN_BEFORE_D4_EXECUTION
R-HLC,context.traffic_density,Context_match,pre_treatment_contract,count or frozen bin,pre-treatment_only,true,Pre-treatment traffic-density measure,BIND_EXACT_COLUMN_BEFORE_D4_EXECUTION
R-HLC,context.neighbor_availability_pattern,Context_match,pre_treatment_contract,bit pattern,pre-treatment_only,true,Pre-treatment semantic-slot availability,BIND_EXACT_COLUMN_BEFORE_D4_EXECUTION
R-HLC,context.target_lane_initial_front_gap_m,Context_match,pre_treatment_contract,m,pre-treatment_only,true,Target-lane front gap at pre-treatment anchor,BIND_EXACT_COLUMN_BEFORE_D4_EXECUTION
R-HLC,context.target_lane_initial_rear_gap_m,Context_match,pre_treatment_contract,m,pre-treatment_only,true,Target-lane rear gap at pre-treatment anchor,BIND_EXACT_COLUMN_BEFORE_D4_EXECUTION
R-HLC,mechanism.hesitation_retreat_count,M_behavior,family_specific_mechanism_contract,count,post-treatment_mechanism,true,Count of predeclared retreat/reversal episodes before commitment,IMPLEMENT_AND_SHA_BIND_BEFORE_D4_EXECUTION
R-HLC,mechanism.commit_latency_s,M_behavior,family_specific_mechanism_contract,s,post-treatment_mechanism,true,Time from opportunity/intent anchor to committed transition,IMPLEMENT_AND_SHA_BIND_BEFORE_D4_EXECUTION
R-HLC,mechanism.monotonic_transition_fraction,M_behavior,family_specific_mechanism_contract,fraction,post-treatment_mechanism,true,Fraction of transition progress consistent with committed direction,IMPLEMENT_AND_SHA_BIND_BEFORE_D4_EXECUTION
R-TSB,ego13.mean_speed,F_match,existing_target_v0.1,m/s,whole-window_descriptor_not_context,true,core fixed-summary descriptor controlled for this residual family,EXISTING_DEFINITION
R-TSB,ego13.std_speed,Semantic_probe_only,existing_target_v0.1,m/s,whole-window_descriptor_not_context,false,retained for D1 semantic probing or secondary description; not a Primary D4 matching gate,EXISTING_DEFINITION
R-TSB,ego13.p95_speed,Semantic_probe_only,existing_target_v0.1,m/s,whole-window_descriptor_not_context,false,retained for D1 semantic probing or secondary description; not a Primary D4 matching gate,EXISTING_DEFINITION
R-TSB,ego13.end_minus_start_speed,F_match,existing_target_v0.1,m/s,whole-window_descriptor_not_context,true,core fixed-summary descriptor controlled for this residual family,EXISTING_DEFINITION
R-TSB,ego13.rms_accel,Semantic_probe_only,existing_target_v0.1,m/s^2,whole-window_descriptor_not_context,false,retained for D1 semantic probing or secondary description; not a Primary D4 matching gate,EXISTING_DEFINITION
R-TSB,ego13.mean_abs_accel,F_match,existing_target_v0.1,m/s^2,whole-window_descriptor_not_context,true,core fixed-summary descriptor controlled for this residual family,EXISTING_DEFINITION
R-TSB,ego13.p95_abs_accel,Semantic_probe_only,existing_target_v0.1,m/s^2,whole-window_descriptor_not_context,false,retained for D1 semantic probing or secondary description; not a Primary D4 matching gate,EXISTING_DEFINITION
R-TSB,ego13.rms_jerk,Semantic_probe_only,existing_target_v0.1,m/s^3,whole-window_descriptor_not_context,false,retained for D1 semantic probing or secondary description; not a Primary D4 matching gate,EXISTING_DEFINITION
R-TSB,ego13.p95_abs_jerk,Semantic_probe_only,existing_target_v0.1,m/s^3,whole-window_descriptor_not_context,false,retained for D1 semantic probing or secondary description; not a Primary D4 matching gate,EXISTING_DEFINITION
R-TSB,ego13.rms_yaw_rate,Semantic_probe_only,existing_target_v0.1,rad/s,whole-window_descriptor_not_context,false,retained for D1 semantic probing or secondary description; not a Primary D4 matching gate,EXISTING_DEFINITION
R-TSB,ego13.mean_abs_yaw_rate,Semantic_probe_only,existing_target_v0.1,rad/s,whole-window_descriptor_not_context,false,retained for D1 semantic probing or secondary description; not a Primary D4 matching gate,EXISTING_DEFINITION
R-TSB,ego13.heading_change_abs_total,Semantic_probe_only,existing_target_v0.1,rad,whole-window_descriptor_not_context,false,retained for D1 semantic probing or secondary description; not a Primary D4 matching gate,EXISTING_DEFINITION
R-TSB,ego13.path_length,F_match,existing_target_v0.1,m,whole-window_descriptor_not_context,true,core fixed-summary descriptor controlled for this residual family,EXISTING_DEFINITION
R-TSB,raw33.rms_accel,M_behavior,existing_target_v0.1,m/s^2,post-treatment_or_whole-window,true,post-treatment morphology/mechanism qualification; never Primary F_match,EXISTING_DEFINITION
R-TSB,raw33.rms_jerk,M_behavior,existing_target_v0.1,m/s^3,post-treatment_or_whole-window,true,post-treatment morphology/mechanism qualification; never Primary F_match,EXISTING_DEFINITION
R-TSB,raw33.max_abs_accel,Semantic_probe_only,existing_target_v0.1,m/s^2,whole-window_descriptor_not_context,false,retained for D1 semantic probing or secondary description; not a Primary D4 matching gate,EXISTING_DEFINITION
R-TSB,raw33.max_abs_jerk,M_behavior,existing_target_v0.1,m/s^3,post-treatment_or_whole-window,true,post-treatment morphology/mechanism qualification; never Primary F_match,EXISTING_DEFINITION
R-TSB,raw33.mean_thw,Semantic_probe_only,existing_target_v0.1,s,whole-window_descriptor_not_context,false,retained for D1 semantic probing or secondary description; not a Primary D4 matching gate,EXISTING_DEFINITION
R-TSB,raw33.min_thw,Semantic_probe_only,existing_target_v0.1,s,whole-window_descriptor_not_context,false,retained for D1 semantic probing or secondary description; not a Primary D4 matching gate,EXISTING_DEFINITION
R-TSB,raw33.mean_front_distance,Semantic_probe_only,existing_target_v0.1,m,whole-window_descriptor_not_context,false,retained for D1 semantic probing or secondary description; not a Primary D4 matching gate,EXISTING_DEFINITION
R-TSB,raw33.min_front_distance,Semantic_probe_only,existing_target_v0.1,m,whole-window_descriptor_not_context,false,retained for D1 semantic probing or secondary description; not a Primary D4 matching gate,EXISTING_DEFINITION
R-TSB,raw33.mean_rel_speed,Semantic_probe_only,existing_target_v0.1,m/s,whole-window_descriptor_not_context,false,retained for D1 semantic probing or secondary description; not a Primary D4 matching gate,EXISTING_DEFINITION
R-TSB,raw33.p95_rel_speed,Semantic_probe_only,existing_target_v0.1,m/s,whole-window_descriptor_not_context,false,retained for D1 semantic probing or secondary description; not a Primary D4 matching gate,EXISTING_DEFINITION
R-TSB,raw33.rms_yaw_rate,Semantic_probe_only,existing_target_v0.1,rad/s,whole-window_descriptor_not_context,false,retained for D1 semantic probing or secondary description; not a Primary D4 matching gate,EXISTING_DEFINITION
R-TSB,raw33.rms_curvature,Semantic_probe_only,existing_target_v0.1,1/m,whole-window_descriptor_not_context,false,retained for D1 semantic probing or secondary description; not a Primary D4 matching gate,EXISTING_DEFINITION
R-TSB,raw33.heading_change_total,Semantic_probe_only,existing_target_v0.1,rad,whole-window_descriptor_not_context,false,retained for D1 semantic probing or secondary description; not a Primary D4 matching gate,EXISTING_DEFINITION
R-TSB,raw33.lane_change_count_proxy,Semantic_probe_only,existing_target_v0.1,count,whole-window_descriptor_not_context,false,retained for D1 semantic probing or secondary description; not a Primary D4 matching gate,EXISTING_DEFINITION
R-TSB,raw33.lane_change_rate_proxy,Semantic_probe_only,existing_target_v0.1,1/s,whole-window_descriptor_not_context,false,retained for D1 semantic probing or secondary description; not a Primary D4 matching gate,EXISTING_DEFINITION
R-TSB,raw33.lane_change_left_count_proxy,Semantic_probe_only,existing_target_v0.1,count,whole-window_descriptor_not_context,false,retained for D1 semantic probing or secondary description; not a Primary D4 matching gate,EXISTING_DEFINITION
R-TSB,raw33.lane_change_right_count_proxy,Semantic_probe_only,existing_target_v0.1,count,whole-window_descriptor_not_context,false,retained for D1 semantic probing or secondary description; not a Primary D4 matching gate,EXISTING_DEFINITION
R-TSB,raw33.lane_change_duration_mean_proxy,Semantic_probe_only,existing_target_v0.1,s/frame proxy,whole-window_descriptor_not_context,false,retained for D1 semantic probing or secondary description; not a Primary D4 matching gate,EXISTING_DEFINITION
R-TSB,raw33.max_lateral_speed,Semantic_probe_only,existing_target_v0.1,m/s,whole-window_descriptor_not_context,false,retained for D1 semantic probing or secondary description; not a Primary D4 matching gate,EXISTING_DEFINITION
R-TSB,raw33.rms_lateral_accel,Semantic_probe_only,existing_target_v0.1,m/s per frame,whole-window_descriptor_not_context,false,retained for D1 semantic probing or secondary description; not a Primary D4 matching gate,EXISTING_DEFINITION
R-TSB,raw33.lane_change_oscillation_score_proxy,Semantic_probe_only,existing_target_v0.1,fraction,whole-window_descriptor_not_context,false,retained for D1 semantic probing or secondary description; not a Primary D4 matching gate,EXISTING_DEFINITION
R-TSB,raw33.front_pressure_score,Semantic_probe_only,existing_target_v0.1,m proxy,whole-window_descriptor_not_context,false,retained for D1 semantic probing or secondary description; not a Primary D4 matching gate,EXISTING_DEFINITION
R-TSB,raw33.left_front_min_gap,Semantic_probe_only,existing_target_v0.1,m,whole-window_descriptor_not_context,false,retained for D1 semantic probing or secondary description; not a Primary D4 matching gate,EXISTING_DEFINITION
R-TSB,raw33.left_rear_min_gap,Semantic_probe_only,existing_target_v0.1,m,whole-window_descriptor_not_context,false,retained for D1 semantic probing or secondary description; not a Primary D4 matching gate,EXISTING_DEFINITION
R-TSB,raw33.right_front_min_gap,Semantic_probe_only,existing_target_v0.1,m,whole-window_descriptor_not_context,false,retained for D1 semantic probing or secondary description; not a Primary D4 matching gate,EXISTING_DEFINITION
R-TSB,raw33.right_rear_min_gap,Semantic_probe_only,existing_target_v0.1,m,whole-window_descriptor_not_context,false,retained for D1 semantic probing or secondary description; not a Primary D4 matching gate,EXISTING_DEFINITION
R-TSB,raw33.left_gap_min,Semantic_probe_only,existing_target_v0.1,m,whole-window_descriptor_not_context,false,retained for D1 semantic probing or secondary description; not a Primary D4 matching gate,EXISTING_DEFINITION
R-TSB,raw33.right_gap_min,Semantic_probe_only,existing_target_v0.1,m,whole-window_descriptor_not_context,false,retained for D1 semantic probing or secondary description; not a Primary D4 matching gate,EXISTING_DEFINITION
R-TSB,raw33.left_gap_acceptance_proxy,Semantic_probe_only,existing_target_v0.1,fraction,whole-window_descriptor_not_context,false,retained for D1 semantic probing or secondary description; not a Primary D4 matching gate,EXISTING_DEFINITION
R-TSB,raw33.right_gap_acceptance_proxy,Semantic_probe_only,existing_target_v0.1,fraction,whole-window_descriptor_not_context,false,retained for D1 semantic probing or secondary description; not a Primary D4 matching gate,EXISTING_DEFINITION
R-TSB,raw33.rear_vehicle_pressure_proxy,Semantic_probe_only,existing_target_v0.1,m/s proxy,whole-window_descriptor_not_context,false,retained for D1 semantic probing or secondary description; not a Primary D4 matching gate,EXISTING_DEFINITION
R-TSB,raw33.yielding_score_proxy,Semantic_probe_only,existing_target_v0.1,1/s proxy,whole-window_descriptor_not_context,false,retained for D1 semantic probing or secondary description; not a Primary D4 matching gate,EXISTING_DEFINITION
R-TSB,raw33.assertiveness_score_proxy,Semantic_probe_only,existing_target_v0.1,fraction,whole-window_descriptor_not_context,false,retained for D1 semantic probing or secondary description; not a Primary D4 matching gate,EXISTING_DEFINITION
R-TSB,longitudinal_v2.ego_speed_smoothed,Semantic_probe_only,existing_target_v0.1,m/s,whole-window_descriptor_not_context,false,retained for D1 semantic probing or secondary description; not a Primary D4 matching gate,EXISTING_DEFINITION
R-TSB,longitudinal_v2.ego_longitudinal_accel,Semantic_probe_only,existing_target_v0.1,m/s^2,whole-window_descriptor_not_context,false,retained for D1 semantic probing or secondary description; not a Primary D4 matching gate,EXISTING_DEFINITION
R-TSB,longitudinal_v2.ego_longitudinal_jerk,Semantic_probe_only,existing_target_v0.1,m/s^3,whole-window_descriptor_not_context,false,retained for D1 semantic probing or secondary description; not a Primary D4 matching gate,EXISTING_DEFINITION
R-TSB,context.map_location,Context_match,pre_treatment_contract,category,pre-treatment_only,true,Map/location identity known before treatment,BIND_EXACT_COLUMN_BEFORE_D4_EXECUTION
R-TSB,context.road_class,Context_match,pre_treatment_contract,category,pre-treatment_only,true,Road/lane topology class known before treatment,BIND_EXACT_COLUMN_BEFORE_D4_EXECUTION
R-TSB,context.log_id,Context_match,pre_treatment_contract,identifier,pre-treatment_only,true,Log cluster identity; matching/blocking only,BIND_EXACT_COLUMN_BEFORE_D4_EXECUTION
R-TSB,context.initial_speed_mps,Context_match,pre_treatment_contract,m/s,pre-treatment_only,true,Ego speed at frozen pre-treatment anchor,BIND_EXACT_COLUMN_BEFORE_D4_EXECUTION
R-TSB,context.initial_front_gap_m,Context_match,pre_treatment_contract,m,pre-treatment_only,true,Current-lane front gap at pre-treatment anchor,BIND_EXACT_COLUMN_BEFORE_D4_EXECUTION
R-TSB,context.initial_lead_relative_speed_mps,Context_match,pre_treatment_contract,m/s,pre-treatment_only,true,Lead relative speed at pre-treatment anchor,BIND_EXACT_COLUMN_BEFORE_D4_EXECUTION
R-TSB,context.initial_thw_s,Context_match,pre_treatment_contract,s,pre-treatment_only,true,THW at pre-treatment anchor with frozen validity/sentinel rule,BIND_EXACT_COLUMN_BEFORE_D4_EXECUTION
R-TSB,context.traffic_density,Context_match,pre_treatment_contract,count or frozen bin,pre-treatment_only,true,Pre-treatment traffic-density measure,BIND_EXACT_COLUMN_BEFORE_D4_EXECUTION
R-TSB,context.neighbor_availability_pattern,Context_match,pre_treatment_contract,bit pattern,pre-treatment_only,true,Pre-treatment semantic-slot availability,BIND_EXACT_COLUMN_BEFORE_D4_EXECUTION
R-TSB,context.planned_stop_or_hazard_class,Context_match,pre_treatment_contract,category,pre-treatment_only,true,Pre-treatment route/hazard intent class,BIND_EXACT_COLUMN_BEFORE_D4_EXECUTION
R-TSB,mechanism.brake_phase_count,M_behavior,family_specific_mechanism_contract,count,post-treatment_mechanism,true,Count of separated braking phases under frozen acceleration thresholds,IMPLEMENT_AND_SHA_BIND_BEFORE_D4_EXECUTION
R-TSB,mechanism.interstage_release_fraction,M_behavior,family_specific_mechanism_contract,fraction,post-treatment_mechanism,true,Release magnitude between first and second braking phases,IMPLEMENT_AND_SHA_BIND_BEFORE_D4_EXECUTION
R-TSB,mechanism.second_brake_peak_ratio,M_behavior,family_specific_mechanism_contract,ratio,post-treatment_mechanism,true,Second-to-first peak braking magnitude ratio,IMPLEMENT_AND_SHA_BIND_BEFORE_D4_EXECUTION
R-IP,ego13.mean_speed,F_match,existing_target_v0.1,m/s,whole-window_descriptor_not_context,true,core fixed-summary descriptor controlled for this residual family,EXISTING_DEFINITION
R-IP,ego13.std_speed,Semantic_probe_only,existing_target_v0.1,m/s,whole-window_descriptor_not_context,false,retained for D1 semantic probing or secondary description; not a Primary D4 matching gate,EXISTING_DEFINITION
R-IP,ego13.p95_speed,Semantic_probe_only,existing_target_v0.1,m/s,whole-window_descriptor_not_context,false,retained for D1 semantic probing or secondary description; not a Primary D4 matching gate,EXISTING_DEFINITION
R-IP,ego13.end_minus_start_speed,F_match,existing_target_v0.1,m/s,whole-window_descriptor_not_context,true,core fixed-summary descriptor controlled for this residual family,EXISTING_DEFINITION
R-IP,ego13.rms_accel,Semantic_probe_only,existing_target_v0.1,m/s^2,whole-window_descriptor_not_context,false,retained for D1 semantic probing or secondary description; not a Primary D4 matching gate,EXISTING_DEFINITION
R-IP,ego13.mean_abs_accel,Semantic_probe_only,existing_target_v0.1,m/s^2,whole-window_descriptor_not_context,false,retained for D1 semantic probing or secondary description; not a Primary D4 matching gate,EXISTING_DEFINITION
R-IP,ego13.p95_abs_accel,Semantic_probe_only,existing_target_v0.1,m/s^2,whole-window_descriptor_not_context,false,retained for D1 semantic probing or secondary description; not a Primary D4 matching gate,EXISTING_DEFINITION
R-IP,ego13.rms_jerk,Semantic_probe_only,existing_target_v0.1,m/s^3,whole-window_descriptor_not_context,false,retained for D1 semantic probing or secondary description; not a Primary D4 matching gate,EXISTING_DEFINITION
R-IP,ego13.p95_abs_jerk,Semantic_probe_only,existing_target_v0.1,m/s^3,whole-window_descriptor_not_context,false,retained for D1 semantic probing or secondary description; not a Primary D4 matching gate,EXISTING_DEFINITION
R-IP,ego13.rms_yaw_rate,Semantic_probe_only,existing_target_v0.1,rad/s,whole-window_descriptor_not_context,false,retained for D1 semantic probing or secondary description; not a Primary D4 matching gate,EXISTING_DEFINITION
R-IP,ego13.mean_abs_yaw_rate,Semantic_probe_only,existing_target_v0.1,rad/s,whole-window_descriptor_not_context,false,retained for D1 semantic probing or secondary description; not a Primary D4 matching gate,EXISTING_DEFINITION
R-IP,ego13.heading_change_abs_total,Semantic_probe_only,existing_target_v0.1,rad,whole-window_descriptor_not_context,false,retained for D1 semantic probing or secondary description; not a Primary D4 matching gate,EXISTING_DEFINITION
R-IP,ego13.path_length,F_match,existing_target_v0.1,m,whole-window_descriptor_not_context,true,core fixed-summary descriptor controlled for this residual family,EXISTING_DEFINITION
R-IP,raw33.rms_accel,Semantic_probe_only,existing_target_v0.1,m/s^2,whole-window_descriptor_not_context,false,retained for D1 semantic probing or secondary description; not a Primary D4 matching gate,EXISTING_DEFINITION
