dataset_release,db_version,source_database_reproducible_identity,source_alias_paths,log_id,log_name,db_file,vehicle_name,source_split,map_location,map_version,log_date,log_timestamp_us,lidar_timestamp_min_us,lidar_timestamp_max_us,runnable_timestamp_min_us,runnable_timestamp_max_us,scene_count,lidar_pc_count,runnable_scenario_token_count,runnable_scenario_token_min,runnable_scenario_token_max,runnable_scenario_token_set_sha256,runnable_scenario_type_family_counts_json,runnable_tagged_distinct_token_count,runnability_rule,materialization_level,historical_token_matches_in_log,historical_log_excluded
nuplan-v1.1_LOCAL_PATH_CONVENTION,sqlite:3.53.1;schema_sha256:6cc76ba986501f0b50b3f30be4fe99285f7fd664299483d0b028e4d7ec3a07a4;page_count:5687;page_size:4096,path:/Users/liuqing/Projects/01_E2E_QA_Code/nuplan/dataset/data/cache/train_pittsburgh/2021.08.20.13.55.47_veh-08_02119_02235.db;size:23293952;mtime_ns:1663911020000000000,/Users/liuqing/Projects/01_E2E_QA_Code/nuplan/dataset/data/cache/train_pittsburgh/2021.08.20.13.55.47_veh-08_02119_02235.db,3a5c92dfc3ef55b5,2021.08.20.13.55.47_veh-08_02119_02235,2021.08.20.13.55.47_veh-08_02119_02235.db,veh-08,train_pittsburgh,us-pa-pittsburgh-hazelwood,us-pa-pittsburgh-hazelwood,2021-08-20,1629467955950432,1629470075450207,1629470191400249,1629470095949959,1629470155900470,7,2320,1200,00376a028d6d5501,ffb1442be3ff51ca,9aca9df287c5001dfb5e77241c98b10a61c5e4ae8986370f276f041d1618cc4f,{},0,official-compatible scene rank: ROW_NUMBER(scene ORDER BY name)>=3 and <scene_count-1,ONE_ROW_PER_LOG; complete sorted runnable-token set bound by count/min/max/SHA256,0,false
nuplan-v1.1_LOCAL_PATH_CONVENTION,sqlite:3.53.1;schema_sha256:6cc76ba986501f0b50b3f30be4fe99285f7fd664299483d0b028e4d7ec3a07a4;page_count:906;page_size:4096,path:/Users/liuqing/Projects/01_E2E_QA_Code/nuplan/dataset/data/cache/train_pittsburgh/2021.08.20.14.28.03_veh-45_03203_03263.db;size:3710976;mtime_ns:1663912192000000000,/Users/liuqing/Projects/01_E2E_QA_Code/nuplan/dataset/data/cache/train_pittsburgh/2021.08.20.14.28.03_veh-45_03203_03263.db,9384fd1838985b97,2021.08.20.14.28.03_veh-45_03203_03263,2021.08.20.14.28.03_veh-45_03203_03263.db,veh-45,train_pittsburgh,us-pa-pittsburgh-hazelwood,us-pa-pittsburgh-hazelwood,2021-08-20,1629469794549786,1629472997650846,1629473057600572,,,4,1200,0,,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,{},0,official-compatible scene rank: ROW_NUMBER(scene ORDER BY name)>=3 and <scene_count-1,ONE_ROW_PER_LOG; complete sorted runnable-token set bound by count/min/max/SHA256,0,false
nuplan-v1.1_LOCAL_PATH_CONVENTION,sqlite:3.53.1;schema_sha256:6cc76ba986501f0b50b3f30be4fe99285f7fd664299483d0b028e4d7ec3a07a4;page_count:1030;page_size:4096,path:/Users/liuqing/Projects/01_E2E_QA_Code/nuplan/dataset/data/cache/train_pittsburgh/2021.08.20.16.54.30_veh-08_00228_00289.db;size:4218880;mtime_ns:1663912192000000000,/Users/liuqing/Projects/01_E2E_QA_Code/nuplan/dataset/data/cache/train_pittsburgh/2021.08.20.16.54.30_veh-08_00228_00289.db,a30cb89d9a865fdc,2021.08.20.16.54.30_veh-08_00228_00289,2021.08.20.16.54.30_veh-08_00228_00289.db,veh-08,train_pittsburgh,us-pa-pittsburgh-hazelwood,us-pa-pittsburgh-hazelwood,2021-08-20,1629478576649483,1629478805649882,1629478866599445,,,4,1220,0,,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,{},0,official-compatible scene rank: ROW_NUMBER(scene ORDER BY name)>=3 and <scene_count-1,ONE_ROW_PER_LOG; complete sorted runnable-token set bound by count/min/max/SHA256,0,false
nuplan-v1.1_LOCAL_PATH_CONVENTION,sqlite:3.53.1;schema_sha256:6cc76ba986501f0b50b3f30be4fe99285f7fd664299483d0b028e4d7ec3a07a4;page_count:1072;page_size:4096,path:/Users/liuqing/Projects/01_E2E_QA_Code/nuplan/dataset/data/cache/train_pittsburgh/2021.08.20.16.54.30_veh-08_02610_02673.db;size:4390912;mtime_ns:1663912192000000000,/Users/liuqing/Projects/01_E2E_QA_Code/nuplan/dataset/data/cache/train_pittsburgh/2021.08.20.16.54.30_veh-08_02610_02673.db,b04f107bb2135821,2021.08.20.16.54.30_veh-08_02610_02673,2021.08.20.16.54.30_veh-08_02610_02673.db,veh-08,train_pittsburgh,us-pa-pittsburgh-hazelwood,us-pa-pittsburgh-hazelwood,2021-08-20,1629478576649483,1629481187649741,1629481250599533,,,4,1260,0,,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,{},0,official-compatible scene rank: ROW_NUMBER(scene ORDER BY name)>=3 and <scene_count-1,ONE_ROW_PER_LOG; complete sorted runnable-token set bound by count/min/max/SHA256,0,false
nuplan-v1.1_LOCAL_PATH_CONVENTION,sqlite:3.53.1;schema_sha256:6cc76ba986501f0b50b3f30be4fe99285f7fd664299483d0b028e4d7ec3a07a4;page_count:2132;page_size:4096,path:/Users/liuqing/Projects/01_E2E_QA_Code/nuplan/dataset/data/cache/train_pittsburgh/2021.08.20.17.54.47_veh-45_00482_00549.db;size:8732672;mtime_ns:1663912193000000000,/Users/liuqing/Projects/01_E2E_QA_Code/nuplan/dataset/data/cache/train_pittsburgh/2021.08.20.17.54.47_veh-45_00482_00549.db,5c8a9edc9d195e30,2021.08.20.17.54.47_veh-45_00482_00549,2021.08.20.17.54.47_veh-45_00482_00549.db,veh-45,train_pittsburgh,us-pa-pittsburgh-hazelwood,us-pa-pittsburgh-hazelwood,2021-08-20,1629482181499790,1629482664350225,1629482731300202,,,4,1340,0,,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,{},0,official-compatible scene rank: ROW_NUMBER(scene ORDER BY name)>=3 and <scene_count-1,ONE_ROW_PER_LOG; complete sorted runnable-token set bound by count/min/max/SHA256,0,false
nuplan-v1.1_LOCAL_PATH_CONVENTION,sqlite:3.53.1;schema_sha256:6cc76ba986501f0b50b3f30be4fe99285f7fd664299483d0b028e4d7ec3a07a4;page_count:969;page_size:4096,path:/Users/liuqing/Projects/01_E2E_QA_Code/nuplan/dataset/data/cache/train_pittsburgh/2021.08.20.17.54.47_veh-45_03050_03111.db;size:3969024;mtime_ns:1663912193000000000,/Users/liuqing/Projects/01_E2E_QA_Code/nuplan/dataset/data/cache/train_pittsburgh/2021.08.20.17.54.47_veh-45_03050_03111.db,560fd58d2cc05029,2021.08.20.17.54.47_veh-45_03050_03111,2021.08.20.17.54.47_veh-45_03050_03111.db,veh-45,train_pittsburgh,us-pa-pittsburgh-hazelwood,us-pa-pittsburgh-hazelwood,2021-08-20,1629482181499790,1629485232349523,1629485293300182,,,4,1220,0,,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,{},0,official-compatible scene rank: ROW_NUMBER(scene ORDER BY name)>=3 and <scene_count-1,ONE_ROW_PER_LOG; complete sorted runnable-token set bound by count/min/max/SHA256,0,false
nuplan-v1.1_LOCAL_PATH_CONVENTION,sqlite:3.53.1;schema_sha256:6cc76ba986501f0b50b3f30be4fe99285f7fd664299483d0b028e4d7ec3a07a4;page_count:2993;page_size:4096,path:/Users/liuqing/Projects/01_E2E_QA_Code/nuplan/dataset/data/cache/train_pittsburgh/2021.08.23.12.33.24_veh-42_01929_02029.db;size:12259328;mtime_ns:1663912194000000000,/Users/liuqing/Projects/01_E2E_QA_Code/nuplan/dataset/data/cache/train_pittsburgh/2021.08.23.12.33.24_veh-42_01929_02029.db,0ea74841eeef5893,2021.08.23.12.33.24_veh-42_01929_02029,2021.08.23.12.33.24_veh-42_01929_02029.db,veh-42,train_pittsburgh,us-pa-pittsburgh-hazelwood,us-pa-pittsburgh-hazelwood,2021-08-23,1629722087549750,1629724017099603,1629724117050632,1629724047549917,1629724087499636,6,2000,800,001f6bf54a055dc5,ffe5a4dfa27b5f13,ed8117159c4a9a859388639b4a7f89b75e050ca4fbdb105c795e0ce3583b53c9,"{""stationary"":{""distinct_tokens"":800,""tag_rows"":800}}",800,official-compatible scene rank: ROW_NUMBER(scene ORDER BY name)>=3 and <scene_count-1,ONE_ROW_PER_LOG; complete sorted runnable-token set bound by count/min/max/SHA256,0,false
nuplan-v1.1_LOCAL_PATH_CONVENTION,sqlite:3.53.1;schema_sha256:6cc76ba986501f0b50b3f30be4fe99285f7fd664299483d0b028e4d7ec3a07a4;page_count:1966;page_size:4096,path:/Users/liuqing/Projects/01_E2E_QA_Code/nuplan/dataset/data/cache/train_pittsburgh/2021.08.23.12.37.38_veh-45_01111_01182.db;size:8052736;mtime_ns:1663912194000000000,/Users/liuqing/Projects/01_E2E_QA_Code/nuplan/dataset/data/cache/train_pittsburgh/2021.08.23.12.37.38_veh-45_01111_01182.db,23029c9b36485d22,2021.08.23.12.37.38_veh-45_01111_01182,2021.08.23.12.37.38_veh-45_01111_01182.db,veh-45,train_pittsburgh,us-pa-pittsburgh-hazelwood,us-pa-pittsburgh-hazelwood,2021-08-23,1629722336499386,1629723447699485,1629723518650636,1629723476499387,1629723496449354,5,1420,400,0074fa0bfb3a5491,ff106480dfe15da7,10103a049396ac11cd023b2364ae3eaf1b0fbbcb7696c8ebffa367f7fe791b12,"{""stationary"":{""distinct_tokens"":400,""tag_rows"":400}}",400,official-compatible scene rank: ROW_NUMBER(scene ORDER BY name)>=3 and <scene_count-1,ONE_ROW_PER_LOG; complete sorted runnable-token set bound by count/min/max/SHA256,0,false
nuplan-v1.1_LOCAL_PATH_CONVENTION,sqlite:3.53.1;schema_sha256:6cc76ba986501f0b50b3f30be4fe99285f7fd664299483d0b028e4d7ec3a07a4;page_count:1045;page_size:4096,path:/Users/liuqing/Projects/01_E2E_QA_Code/nuplan/dataset/data/cache/train_pittsburgh/2021.08.23.13.17.08_veh-42_00863_00924.db;size:4280320;mtime_ns:1663912194000000000,/Users/liuqing/Projects/01_E2E_QA_Code/nuplan/dataset/data/cache/train_pittsburgh/2021.08.23.13.17.08_veh-42_00863_00924.db,b5a490a1321f5dca,2021.08.23.13.17.08_veh-42_00863_00924,2021.08.23.13.17.08_veh-42_00863_00924.db,veh-42,train_pittsburgh,us-pa-pittsburgh-hazelwood,us-pa-pittsburgh-hazelwood,2021-08-23,1629724704799528,1629725568750064,1629725629699482,,,4,1220,0,,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,{},0,official-compatible scene rank: ROW_NUMBER(scene ORDER BY name)>=3 and <scene_count-1,ONE_ROW_PER_LOG; complete sorted runnable-token set bound by count/min/max/SHA256,0,false
nuplan-v1.1_LOCAL_PATH_CONVENTION,sqlite:3.53.1;schema_sha256:6cc76ba986501f0b50b3f30be4fe99285f7fd664299483d0b028e4d7ec3a07a4;page_count:3406;page_size:4096,path:/Users/liuqing/Projects/01_E2E_QA_Code/nuplan/dataset/data/cache/train_pittsburgh/2021.08.23.13.28.21_veh-08_01965_02031.db;size:13950976;mtime_ns:1663912194000000000,/Users/liuqing/Projects/01_E2E_QA_Code/nuplan/dataset/data/cache/train_pittsburgh/2021.08.23.13.28.21_veh-08_01965_02031.db,d695fdeacddf58f1,2021.08.23.13.28.21_veh-08_01965_02031,2021.08.23.13.28.21_veh-08_01965_02031.db,veh-08,train_pittsburgh,us-pa-pittsburgh-hazelwood,us-pa-pittsburgh-hazelwood,2021-08-23,1629725669150059,1629727634749873,1629727700700017,,,4,1320,0,,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,{},0,official-compatible scene rank: ROW_NUMBER(scene ORDER BY name)>=3 and <scene_count-1,ONE_ROW_PER_LOG; complete sorted runnable-token set bound by count/min/max/SHA256,0,false
nuplan-v1.1_LOCAL_PATH_CONVENTION,sqlite:3.53.1;schema_sha256:6cc76ba986501f0b50b3f30be4fe99285f7fd664299483d0b028e4d7ec3a07a4;page_count:3420;page_size:4096,path:/Users/liuqing/Projects/01_E2E_QA_Code/nuplan/dataset/data/cache/train_pittsburgh/2021.08.23.14.02.02_veh-42_00654_00738.db;size:14008320;mtime_ns:1663912194000000000,/Users/liuqing/Projects/01_E2E_QA_Code/nuplan/dataset/data/cache/train_pittsburgh/2021.08.23.14.02.02_veh-42_00654_00738.db,f2d3aeb4f65351ea,2021.08.23.14.02.02_veh-42_00654_00738,2021.08.23.14.02.02_veh-42_00654_00738.db,veh-42,train_pittsburgh,us-pa-pittsburgh-hazelwood,us-pa-pittsburgh-hazelwood,2021-08-23,1629727398150254,1629728052199603,1629728136149462,1629728078149515,1629728098100060,5,1680,400,0045c6fbf27e5a89,ffa51749bcbd5c27,b2f6214916636077fe2a62dec2a235a28742d4854fe5404c7bf9ac9c24159de7,"{""on_carpark"":{""distinct_tokens"":400,""tag_rows"":400},""stationary"":{""distinct_tokens"":400,""tag_rows"":400}}",400,official-compatible scene rank: ROW_NUMBER(scene ORDER BY name)>=3 and <scene_count-1,ONE_ROW_PER_LOG; complete sorted runnable-token set bound by count/min/max/SHA256,0,false
nuplan-v1.1_LOCAL_PATH_CONVENTION,sqlite:3.53.1;schema_sha256:6cc76ba986501f0b50b3f30be4fe99285f7fd664299483d0b028e4d7ec3a07a4;page_count:3112;page_size:4096,path:/Users/liuqing/Projects/01_E2E_QA_Code/nuplan/dataset/data/cache/train_pittsburgh/2021.08.23.14.02.02_veh-42_01042_01130.db;size:12746752;mtime_ns:1663912194000000000,/Users/liuqing/Projects/01_E2E_QA_Code/nuplan/dataset/data/cache/train_pittsburgh/2021.08.23.14.02.02_veh-42_01042_01130.db,dfc3ccb604755e3e,2021.08.23.14.02.02_veh-42_01042_01130,2021.08.23.14.02.02_veh-42_01042_01130.db,veh-42,train_pittsburgh,us-pa-pittsburgh-hazelwood,us-pa-pittsburgh-hazelwood,2021-08-23,1629727398150254,1629728440200130,1629728528149616,1629728478149791,1629728498099662,5,1760,400,008fcccda0d85a98,ffcc6fcd15cf5da2,f6ee905f99d5a9cdac50ae40ae8926aa84251be79738aa2340c994babb2f5896,"{""low_magnitude_speed"":{""distinct_tokens"":34,""tag_rows"":34},""on_carpark"":{""distinct_tokens"":400,""tag_rows"":400},""stationary"":{""distinct_tokens"":287,""tag_rows"":287}}",400,official-compatible scene rank: ROW_NUMBER(scene ORDER BY name)>=3 and <scene_count-1,ONE_ROW_PER_LOG; complete sorted runnable-token set bound by count/min/max/SHA256,0,false
nuplan-v1.1_LOCAL_PATH_CONVENTION,sqlite:3.53.1;schema_sha256:6cc76ba986501f0b50b3f30be4fe99285f7fd664299483d0b028e4d7ec3a07a4;page_count:1233;page_size:4096,path:/Users/liuqing/Projects/01_E2E_QA_Code/nuplan/dataset/data/cache/train_pittsburgh/2021.08.23.14.27.31_veh-45_00034_00095.db;size:5050368;mtime_ns:1663912195000000000,/Users/liuqing/Projects/01_E2E_QA_Code/nuplan/dataset/data/cache/train_pittsburgh/2021.08.23.14.27.31_veh-45_00034_00095.db,8c779f51dbbd5d3c,2021.08.23.14.27.31_veh-45_00034_00095,2021.08.23.14.27.31_veh-45_00034_00095.db,veh-45,train_pittsburgh,us-pa-pittsburgh-hazelwood,us-pa-pittsburgh-hazelwood,2021-08-23,1629728977149827,1629729012149403,1629729073099807,,,4,1220,0,,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,{},0,official-compatible scene rank: ROW_NUMBER(scene ORDER BY name)>=3 and <scene_count-1,ONE_ROW_PER_LOG; complete sorted runnable-token set bound by count/min/max/SHA256,0,false
